org_id,count
Amazon Trust Services,3706650
GlobalSign nv-sa,1661140
DigiCert,10306221
"Viking Cloud, Inc.",10116
QuoVadis,24958
SwissSign AG,9128
Entrust,200253
GoDaddy,789321
Sectigo,3897537
Certigna,14510
Chunghwa Telecom,13673
Atos Trustcenter,667
SSL.com,21252
Microsec Ltd.,1578
Telia Company,3750
Google Trust Services LLC,4116011
Internet Security Research Group,13815915
D-TRUST,3484
Actalis,101475
"SECOM Trust Systems CO., LTD.",114110
Asseco Data Systems S.A. (previously Unizeto Certum),234793
eMudhra Technologies Limited,1528
"Shanghai Electronic Certification Authority Co., Ltd.",751
"IdenTrust Services, LLC",30339
Deutsche Telekom Security GmbH,12403
Buypass,7204
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)",3495
China Financial Certification Authority (CFCA),6478
Autoridad de Certificacion Firmaprofesional,2945
Taiwan-CA Inc. (TWCA),18911
Start Commercial (StartCom) Ltd.,436
"Government of Hong Kong (SAR), Hongkong Post, Certizen",3862
Netlock,6520
"Disig, a.s.",172
Izenpe S.A.,1562
Serviço Federal de Processamento de Dados,378
certSIGN,953
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)",383
HARICA,1106
"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)",1308
"Government of Turkey, Kamu Sertifikasyon Merkezi (Kamu SM)",468
OISTE,278
E-Tugra,19
WoSign CA Limited,125
SI-TRUST,9
e-tugra,34
"Global Digital Cybersecurity Authority Co., Ltd. (Formerly Guang Dong Certificate Authority (GDCA))",44
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)",1
TrustCor Systems,8
Agence Nationale de Certification Electronique,21
e-commerce monitoring GmbH,4
Krajowa Izba Rozliczeniowa S.A. (KIR),7
"Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert)",9
Network Solutions,1
Thailand National Root Certificate Authority (Electronic Transactions Development Agency),1
"Government of Taiwan, Government Root Certification Authority (GRCA)",3
DocuSign (OpenTrust/Keynectis),2
Japan Local Authority Information Systems (J-LIS),1
