org_id,count
GMO-DNS,324797
SELECTEL-MSK,34863
RU-CENTER,292027
ISIONUK,92222
ITCREATION,1643
SUPERHOSTING_AS,56809
INTERNET_AG,101688
GANDI-LIVEDNS,462651
RTCOMM-AS,74013
AKAMAI-LINODE-AP,323307
ONECOM,183962
TRANSIP-AS,220144
PORTLANE,45740
ARUBA-ASN,543337
INTERNET-CZ,225356
ZEN-ECN,17558
T-HT,3413
IDCF,182440
ICN-BG,7191
QRATOR,16780
UKSERVERS-AS,6485
WPX,37285
WEDOS,59940
SKB-AS,421929
weide,6072
FOXCLOUD,2558
KIXS-AS-KR,393897
DTPNET-AS-AP,247
UTM-AS-AP,520
OPT-NC-AS-AP,308
TELIANET-DENMARK,3708
CLOUDNSNET,368963
ATW-AS,12502
xneelo,108200
WorldStream,21439
SOPRADO-ANY,5144
VARGONEN,6918
PEARSON-APAC,6456
ADDIX-AS,353
CITM-NGIA-MRC-MO,15
UNINETT,5524
BLACKNIGHT-AS,32837
ERX-TANET-ASN1,19950
RCODEZERO-ANYCAST-SEC2,205469
CHINATELECOM-IDC-BTHBD-AP,1229
WEHOSTWEBSITES-COM,15543
VTDC-AS-VN,51153
CLOUDPIT,50805
i3Dnet,2021
NETACTUATE-AS-AP,382281
REGISTER-AS,67933
Groupe_LDLC,588
RETNRU-AS,84251
NAZWAPL,100539
acens_AS,65190
EDNS,26768
COMVIVE-AS,13217
TENCENT-NET-AP-CN,391609
bbonline,1672
GBTC-TW,72
FASTHOSTS-INTERNET,211751
GTSCE,20025
DATACENTER-AS,13322
AS-HITME,10264
ASEPL-AS-AP,300254
TENCENT-NET-AP,211335
TSF-IP-Core,15192
VNPT-AS-VN,90792
CF-KRK,186499
LEASEWEB-NL-AMS-01,101284
EC-AS,49248
Ukraine-AS,136819
CHINATELECOM-Ctcloud,11570
ADVANCEDHOSTERS-AS,197314
RAI-AS,984
VK-AS,22151
ZITCOM,97877
IS-AS-1,31113
Telefonica_de_Espana,29276
ASIATECH,36311
IIJ,60097
CHINA169-BJ,18770
DSMART,253
NETREGISTRY-AS-AP,19643
TopHost,14601
MASTERTEL-AS,2653
CIRA-CLOUD2,69154
LOADING,24200
CHINANET-BACKBONE,113279
NICAT,147755
NETMAGIC-AP,6280
CASABLANCA-AS,74483
RAGE4-DNS-AS,4865
CLDIN-NL,135599
ASN-XTUDIONET,45010
DEFENSE-NET,120320
ORACLE-BMC-31898,306341
aysima,6387
SWEB-AS,41061
MIROHOST,175507
NICNET-VSNL-BOARDER-AP,24771
RTRT-PEGASO,908
NMM-AS,156155
UHC,1321
Telia-Lietuva,12756
cloudbuilders,6441
ATMAN-ISP-AS,9023
NBPAP-AS-AP,19754
ASN-CBN,1512
CIZGI,40405
CHINANET-IDC-BJ-AP,37484
ASN-TELSTRA,4741
ARVANCLOUD-CDN-IR,91953
BT-UK-AS,16970
AS-ANEXIA,23356
IDNIC-DISKOMINFO-JATENG-AS-ID,1213
SELECTEL,140493
EZIT-AS,11442
AS-ZXCS,18012
SAKURA-C,106890
GOHOSTING-AS-AP,837
CISCOSYSTEMS,5919
ASN-METANET,24388
SINGLEHOP-LLC,57714
AS5413,2548
PUCHDACI-AS,304
GMOCL-NET,46926
AXARNET-AS,38818
DENIT-AS,3545
WII,4196
EXABYTES-AS-AP,34456
RACKSPACE,98494
INET-AS-ID,43
GABIA-AS-KR,22725
BELNET,17744
CHINA169-Backbone,173484
CRI-AS-AP,33084
XANDMAIL-ASN,24807
SINET-AS,36285
GOOGLE-CLOUD-PLATFORM,404463
Interneto-vizija,51440
SejongTelecom-AS-KR,3968
HINET,73549
SUPERDATA-AS-VN,87520
D-CRUISENET,1858
SAKURA-B,112374
guzelhosting,19388
QBRANCH,251
CHIEFANTIDDOS,258
netmihan,18736
UKFAST,25478
KAKAO-10158-AS-KR,137320
EVO,46234
EPLDT-AS-AP,802
HITRON-AS-AP,4707
SEACOM-AS,390
SMILESERV-AS-KR,3236
CONTABO,94898
INTERNET-PRO-AS,59554
TRAVIANGAMES,1304
UNIXSTORM-AS,3411
INTERNETX-AS,97148
PSL,64
QRATOR-CZ,306
LEASEWEB-DE-FRA-10,15736
AS12876,156746
Tecnocratica,8956
KIR,23838
RAKUTEN,17825
Vodafone_Iceland,1190
SUCURI-SEC,49359
LGDACOM,125696
WPS-AS,621
GLOBE-AS,147709
SYNERGYWHOLESALE-AP,42889
UOW-AS,1106
FR-LyRES,1224
SERVERS-COM,46307
CentralNic-Anycast-I,14184
FUNDAMENTS-AS,7726
BCC-BD,11931
netbase,3066
CLARANET-AS,19383
UNICOM-GuangZhou-IDC,48938
Equinix,13076
MITTWALD-AS,29501
KYLOS-AS,3982
TOPNET,1633
NEXUSGUARD-AS-AP,17876
FlokiNET,3109
MYLOC-AS,104168
BCELU,1262
BJBRAILA-AS,13
DREAMSCAPE-AS-AP,71991
ARUBAFR-AS,26437
UMA-TECH-AS,3121
Tebyan,30032
CHINANET-SH-AP,129722
RC-AS,372
SHARKTECH,30770
Onlineserver,156
MEO-RESIDENCIAL,13776
INTERVIA,2826
UNICOM-SHFT-IDC,82596
CHILDRENSMN,124
NEXTRA-IN,338
DOMENESHOP,24645
HEUREKA_GROUP,10360
INTERQ,80967
PEARSON-EMEA,6456
HOSTERION,32483
CentralNic-Anycast-F,7022
TimeWeb-AS,154385
TELIA-TCN,2399
ASIWELT,622
nhn-AS-KR,44500
SERVERGARDEN-AS,17481
Unelink,2125
TLH-AS,3959
ZNETCLOUD-AS,2064
ACTIVEHOST-RU-AS,11950
NERONET,2784
SEEWEB,50417
STATENS-VEGVESEN,396
EASYHOST-COLO-AS,38443
NETNOD-IX,39714
hostturka,347
TASK-AS,7099
NET23-AS,6501
KARNIT,510
IranHOST-AS,1661
IQPL-AS,8545
CHINATELECOM-TIANJIN,6722
BELPAK-AS,47935
TELLCOM-AS,51649
SSC-299-25689,1608
UNITEDNET,26284
SAMSUNGSDS-AS-KR,31466
AGORA,3978
NETWORK-SOLUTIONS-HOSTING,365833
RUBY-AS,75430
MYSERVER-MEDIA-AS,2791
AS8240,1894
U-CHICAGO-AS,2210
SAP_DC_SIN,5759
MCNET,7093
BORUSANTELEKOM-AS,8287
UMICH-AS-5,5283
APPLE-ENGINEERING,13438
CRITEO-AS-AP,722
POINTER,6989
LiveDns,5235
AS-HOSTINGER,48609
Flesk-AS,24184
MizbanWebPaytakht-EHOST,442
tarhely,25913
NBTC-THAI-AS-TH,114
ASGARR,30448
NTU-TW,7775
TK1,90
TTM,4162
YURTEH-AS,1556
TNF-AS,1828
INAMES-AS-KR,4462
EUROBYTE,50175
SPRINTHOST,32098
BN-AS,32965
Netease-Network,11517
GRUNERNETT,24193
HFHS-ASN,68
FUTURE,13778
DTAG,35806
MASTERHOST-AS,195911
ACENET,4112
WEBEDIA-AS,26791
STARKEY,194
DIMENOC,40254
VIRTUA-HEALTH,36
GD-EMEA-DC-CGN1,7739
O2SWITCH,71884
KSITM-AS-AP,2265
InfoSphere,42379
SCIP-AS,33979
SANET,3756
ChinaNet-NANJING-JISHAN-IDC,88076
NBLNETWORKS-AS,12614
SIMPLYTRANSIT,33018
GTS-BACKBONE,32239
Smartbit,3013
telkomnet-as-ap,9491
LOOPIA,81993
SKYROCK,6804
DINAHOSTING-AS,195201
VIRTUA-SYSTEMS,5377
HELPNET,30
JCU-AS-AP,486
GGoC1-AS,1464
NCIC-TW,32289
VSHOSTING,51739
THCProjects,565
HWCLOUDS-AS-AP,39102
NEXTHOP,753
NETINTERNET,10485
NIKKEI,1060
So-net,3440
SH-COM-TR,2457
NHANHOA-AS-VN,19095
AS-UPTIME,667
LYCOS,4800
EDGECAST,42772
JANET,90062
CYSO-AS,4815
CSL,7365
alastyr,7125
PSKZ-AST,11738
BIZNET2-AS-ID,635
CPI-NET,34151
COLTENGINE,13786
NETUSE,8056
NL-BIT,30138
GLOBAL_DC,156482
TVR-AS,249
LHPL,22414
TTNet,50071
SERVERPLAN-AS,58972
PROXAD,22266
ASN-ROUTELABEL,4253
VNET-AS,21776
IDNIC-LINKGO-AS-ID,476
ASSUPERNOVA,33073
EURO-WEB-AS,18428
SPRINT-SDC,7358
TP,10252
NTL,10136
IDCF2554,11024
QWORDS-AS-ID,11941
BAR-AS,628
FACEBOOK,45821
DISIC-RIE-AS,7616
BRUTALSYS,202
NEDZONE-AS,8534
DNM-AS,693
Mercedes-Benz-AS-AP,3575
CUII,1799
NICALIAINTERNET,6279
Infomaniak-AS,50300
RENAULT,4542
NKN-CORE-NW,18738
FNXTEC,1232
HOSTLAND,16153
RIPN-RU,15105
RedIRIS,23528
DKB,336
AARNET-AS-AP,17304
ITGRAD,4260
Serverpars,8583
VERIDYEN,10632
CHINATELECOM-Fujian-Xiamen-IDC1,1433
RAX-AS,213
ERX-ERNET-AS,1058
MEGAGROUP-AS,18808
BRENNERCOM-AS,1209
ATE-AS,3870
CIRA-CLOUD1,83577
CSTNET-AS-AP,3134
CHINANET-SCIDC-AS-AP,16893
Afrihost,19074
FR-RENATER,52884
IMH-IAD,31263
Serverius-as,9179
BYTEMARK-AS,5590
CLOUDWEBMANAGE-IL,6596
IDNIC-PUSKOMEDIANET-AS-ID,96
M247,13340
XL-AS,13157
NAMECHEAP-NET,17416
YONCU,2524
ROSSIYA-SEGODNYA,44
SUBISU-CABLENET-AS-AP,730
SIAPI-AS,4294
UPCLOUD,32258
DENINET-HU-AS,11967
CSLOX-IDC-AS-AP,18396
YUANJHEN-AS-TW,8710
GCORE,15271
COMBELL-AS,77839
RACKSPACE-LON,10234
ASTELEKOM,1255
ASN-UNOV,568
AMUAS1,1215
ASN-IBSNAZ,9299
NTNU-TW,692
ECRITEL-FRANCE,8712
TCS,144
CTRLS-AS-IN,5008
MTN-UG,364
ZONE,29999
IpHost,7075
YandexCloud,52527
RINGIERSK-AS,8674
VODAFONE-PT,2171
SITA,8106
DEN-ISP-AS-IN-AP,23
Deutsche-Welle,1694
VIETNAMNET-AS-VN,81
OPTAGE,3836
NIC-LV-ANYCAST-AS,3557
AXA-TECH,1868
OCN,26157
GREENFLOID-AS,7299
CTNET,549
WEB4U,4628
ROMARG,67011
RU-CENTER-AS,51807
AEROTEK-AS,32403
LWS,34098
DFN,43728
ELISA-AS,9616
CRONON-AS,19942
SERVEREL-AS,49713
LEVEL3,25596
Invitech,26318
CNCGROUP-SZ,7189
ADOBE-NET-INFRA,5346
LAYER-AS,452
SPITFIRE,135
EWETEL,3620
LOGOL-AS,1648
HSBC-HK-AS,1654
CHIRORO,700
PROENNET-AS,1457
EUROTUX,1207
AS-UZZPRO,1523
PROFESIONALHOSTING,16940
RUNSYSTEM-AS-VN,52879
SARNET,263
ITLAS,4804
XS4ALL-NL,4121
AS8659,4150
ANX-CLOUDDNS,4328
NICUA-AS,8111
RAV-NET-01,1934
ADOBE-IRELAND-AS,5348
RAMNODE,19896
Vodacom-VB,1151
Publicloud,15500
REFLECTED,10202
EDIS-AS-EU,7570
PL-OKTAWAVE-AS,6504
IGINDEX-PLC,854
FORDSRL-AS,5678
EUSKALTEL,8555
RUSONYX-AS,5746
hostinet_AS,4102
ODN,14073
ETOP-AS,9704
ERX-CUHKNET,2399
NETPLUZ-AS-AP,215
POLRI-AS-ID,2056
HOSTPOINT-AS,39237
PLUTEX,552
VEESP-AS,3293
ESTPAK,28149
SELECTEL-NSK,16022
TMVADS-AP,4269
TNT-EXP-ICS,374
LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE,2810
CICA,10611
MSYS,3735
NFRANCE,6756
WEDARE,1032
NFORCE,84691
PREVIDER-AS,20808
netcup-AS,36074
TELEMAXX,8872
MAROCCONNECT,1901
ING-AS,3405
RAMBLER-TELECOM-AS,8832
GREENER-AS,5409
INET-TH-AS,6738
AS45671-NET-AU,5398
NETLINK-AS,1678
PROGRESO,3794
PRIVATESYSTEMS,42611
SCANIA-AS,639
WIBO-AS,5495
WEBHOST1-AS,20197
INFOWEB,9899
ESECUREDATA,1799
MAURITEL,156
SAKURA-A,12703
ADYEN2,1388
DDOS-GUARD,24449
BANDWIDTH-AS,10699
HOSTOPIA-AU,10949
RBASoft-AS,32
ZONER-AS,11172
ENSTINET-EG,1627
PS-BZU-AS,384
TISNET,888
IDNIC-IDCLOUDHOST-AS-ID,7714
EUROTA-ASN,2559
UN-UKRAINE-AS,6185
A1BG,2276
HETZNER-CLOUD2-AS,19821
TELEWEB,1050
GlobalConnect-NO,10727
IGNUM-AS,32313
NETNOD-NDS,6760
MUPHR,48
QUANTCOM-AS,23880
CYON,12716
SPARK-NZ,595
ACCESSKENYA-KE,546
ALMOUROLTEC,32722
TELIA-NORWAY-AS,740
MEDIACENTER-AS,9587
ISP-ASn2,486
DATAWAYS,1156
AS3215,28631
CEPATNET-AS-ID,2090
OSE,22
IAM-AS,5322
Vox-Telecom,1836
SYSUP-AT,463
BitCommand,38180
SAFEBRANDS-AS,8935
PROX,1585
S4N-AS,1856
KABSI-AS,1066
NETWORKDYNAMICS-PTY-LTD-AS-AP,839
UR,982
abstract,9700
NASK-COMMERCIAL,18823
INFOCO-COLRUYT-AS,366
wix_com,14896
SYRACUSE-UNIVERSITY,836
PETERSTAR-AS,1092
SEFROYEKPARDAZENG-AS,4977
MICSNET,39
AsacAS01,1675
RACKFOREST-AS,33547
VolvoITJapan,692
SKHOSTING-EU,389
irandata,1238
DELTA-BG-AS,4434
cat-Cloud-AP,23047
DETELNETWORKS-ID,406
AIR,1275
SI-ARCTUR,1349
COLO-AS-AP,30365
