id,domain,software,users_count,monthly_active_users
18059,mastodon.social,Mastodon,2950927,257598
17937,misskey.io,Misskey,683973,3070
18006,pixelfed.social,Pixelfed,505641,67718
18033,mstdn.jp,Mastodon,413210,12335
17921,mastodon.cloud,Mastodon,277756,1784
18048,mstdn.social,Mastodon,266997,11158
11856,micro.blog,Microdotblog,219171,5642
16811,mastodon.world,Mastodon,193378,7945
18053,mastodon.online,Mastodon,189114,8657
18040,mas.to,Mastodon,188300,10612
66350,lemmy.world,Lemmy,182927,14524
21452,phijkchu.com,PeerTube,124319,8328
5585,fed.brid.gy,Bridgy-fed,121968,
4411,techhub.social,Mastodon,84666,4530
15853,infosec.exchange,Mastodon,78515,11885
16999,pixelfed.de,Pixelfed,78492,3744
17935,mastodon.uno,Mastodon,78122,5562
9294,mastodon.sdf.org,Mastodon,73193,2012
28964,masto.ai,Mastodon,73192,1598
157163,forum.magicmirror.builders,NodeBB,72406,741
32135,social.vivaldi.net,Mastodon,71661,6526
17378,c.im,Mastodon,67988,2119
45432,loforo.com,Mastodon,66933,12522
18015,fosstodon.org,Mastodon,62485,8418
23869,hachyderm.io,Mastodon,56971,8291
24685,gram.social,Pixelfed,56514,9603
18512,lemmy.ml,Lemmy,56155,2083
30282,mstdn.party,Mastodon,53001,1618
16950,mastodon.top,Mastodon,51260,1037
28626,aethy.com,Mastodon,49040,6097
17575,m.cmx.im,Mastodon,48113,6119
17920,troet.cafe,Mastodon,47669,6103
16605,pixelfed.uno,Pixelfed,44893,5848
17996,mastodon.nl,Mastodon,44395,3594
27766,piaille.fr,Mastodon,42987,8058
18037,kolektiva.social,Mastodon,40835,3097
18046,mastodon.art,Mastodon,40642,3871
29966,ohai.social,Mastodon,40503,1587
17775,fedibird.com,Fedibird,40088,7940
18027,mamot.fr,Mastodon,40014,2678
19121,meetup.furryfederation.com,Mobilizon,39700,
17515,sfba.social,Mastodon,39336,1839
6158,pxlmo.com,Pixelfed,38075,6073
47346,mast.lat,Mastodon,37492,416
23339,tkz.one,Mastodon,37346,642
19617,misskey.design,Misskey,36625,
17867,planet.moe,Mastodon,36591,9929
23268,mindly.social,Mastodon,36117,948
23732,mstdn.ca,Mastodon,35701,2196
157161,beautifulmind.club,NodeBB,35012,830
16634,nijimiss.moe,Misskey,34898,59
16575,mastodon.gamedev.place,Mastodon,34100,4590
17979,alive.bar,Mastodon,33198,3065
28043,toot.community,Mastodon,32798,1627
66445,sh.itjust.works,Lemmy,32563,2540
49780,me.dm,Mastodon,32530,924
143261,loops.video,Loops,31464,1165
155136,forum.cloudron.io,NodeBB,30511,374
31624,masto.es,Mastodon,30448,1900
10472,mastodon.scot,Mastodon,29314,1844
17912,mastodon.xyz,Mastodon,28434,709
17945,qoto.org,Mastodon,27691,0
