#,Domain,Users,MAU,Posts,Posts/Users,Peers,Updated,Registrations,Software
1,lounge.dtzbts.xyz,4,1,1889,472.25,11275,2025-11-09 22:41,Closed,Misskey 2025.10.1-beta.2
2,social.flipdot.org,16,6,835,52.19,19080,2025-11-09 22:41,Approval Required,Mastodon 4.3.12
3,lemmy.zip,7175,1715,69334,9.66,,2025-11-09 22:41,Open,Lemmy 0.19.13
4,pixel.momou.social,3,2,2,0.67,562,2025-11-09 22:41,Closed,Pixelfed 3.5.3
5,mastodon.muage.org,9,3,22707,2523.00,16408,2025-11-09 22:41,Open,Mastodon 4.5.0
6,reaper.homes,1,1,15446,15446.00,3270,2025-11-09 22:41,Invite,Mastodon 4.4.8
7,social.shirokurostone.com,1,,20,20.00,152,2025-11-09 22:41,Closed,Gotosocial 0.19.0+git-ab204
8,planetboca.com,2,0,14,7.00,5595,2025-11-09 22:41,Invite,Mastodon 4.5.0
9,littlewing.yumieko.com,11,,1066,96.91,871,2025-11-09 22:41,Closed,Misskey 2025.10.2
10,rss.bovine.social,0,0,0,,,2025-11-09 22:41,Closed,Cattle-grid 0.5.12a7
11,climatejustice.global,223,79,85538,383.58,30529,2025-11-09 22:41,Approval Required,Mastodon 4.4.8-stable+ff1
12,pixels.stammtisch.wien,6,4,1,0.17,19,2025-11-09 22:41,Closed,Pixelfed 3.5.3
13,aode.seediqbale.xyz,1,1,0,0.00,,2025-11-09 22:41,Open,Aoderelay v0.3.116-HEAD-6f
14,social-test.sunet.se,39,2,103,2.64,360,2025-11-09 22:41,Open,Mastodon 4.4.8
15,3v.is,14,3,358,25.57,18893,2025-11-09 22:41,Open,Akkoma 3.10.2
16,don.neso.tech,6,0,136167,22694.50,7658,2025-11-09 22:41,Closed,Mastodon 3.5.1
17,nsfw.lgbt,0,56,0,,11689,2025-11-09 22:41,Open,Sharkey 2025.4.4
18,nattomaki.social,4,1,1720,430.00,10920,2025-11-09 22:41,Closed,Calckey 14.0.0-rc3
19,music.fabiomanganiello.com,1,1,,0.00,,2025-11-09 22:41,Closed,Funkwhale 1.4.0
20,gts.doony.me,2,,439,219.50,8179,2025-11-09 22:41,Closed,Gotosocial 0.20.1+git-ee429
21,photos.tolehata.net,1,1,0,0.00,124,2025-11-09 22:41,Closed,Pixelfed 3.5.3
22,arkm.media,2,1,6,3.00,14,2025-11-09 22:41,Closed,Pixelfed 3.5.3
23,relay.c.im,1,0,0,0.00,,2025-11-09 22:41,Open,Activityrelay 0.3.2
24,ibis.wiki,8,18,24,3.00,,2025-11-09 22:41,Open,Ibis 0.3.1
25,tormentnexus.dev,109895,10483,484462,4.41,4511,2025-11-09 22:41,Closed,Gotosocial 0.20.1+git-ee429
26,friendica.bakeneko.ru,0,,0,,0,2025-11-09 22:41,Closed,Friendica 2024.12-1576
27,mastodon.jabbxi.de,3,1,56,18.67,6359,2025-11-09 22:41,Approval Required,Mastodon 4.4.8
28,m.eri.cx,4,,599,149.75,659,2025-11-09 22:41,Closed,Misskey 2025.5.0
29,social.jonaskoeritz.de,2,1,4034,2017.00,13664,2025-11-09 22:41,Closed,Mastodon 4.4.5
30,hdev.im,3,3,4303,1434.33,18936,2025-11-09 22:41,Invite,Mastodon 4.3.8
31,tapbots.social,8,4,22053,2756.62,33940,2025-11-09 22:41,Closed,Mastodon 4.5.0
32,social.freifunk.net,9,8,416,46.22,7279,2025-11-09 22:41,Invite,Mastodon 4.4.8
33,adney.land,2,1,367,183.50,18667,2025-11-09 22:41,Closed,Mastodon 4.6.0-alpha.1
34,lsngl.us,24,4,4372,182.17,28188,2025-11-09 22:41,Closed,Mastodon 4.5.0
35,itools.jp,2,2,235,117.50,13623,2025-11-09 22:41,Invite,Mastodon 4.4.8
36,grand-duchy.net,6,0,44,7.33,5461,2025-11-09 22:41,Invite,Mastodon 4.5.0
37,social.over-world.org,2,1,30,15.00,4338,2025-11-09 22:41,Approval Required,Mastodon 4.4.5
38,fedi.carriere.cloud,1,,131,131.00,5337,2025-11-09 22:41,Closed,Gotosocial 0.19.1+git-6574d
39,crafter.social,5,1,138,27.60,7685,2025-11-09 22:41,Approval Required,Sharkey 2025.4.4
40,reclaim.rocks,10,2,2947,294.70,7185,2025-11-09 22:41,Approval Required,Mastodon 4.3.5
41,live.jacksonchen666.com,1,1,17,17.00,0,2025-11-09 22:41,Closed,Owncast 0.2.3
42,crxb.cc,1,1,61,61.00,0,2025-11-09 22:41,Closed,Owncast 0.2.2
43,music.groumpf-legroupe.fr,1,0,,0.00,,2025-11-09 22:41,Closed,Funkwhale 1.3.3+git.03f435
44,boeck.social,2,0,4,2.00,2747,2025-11-09 22:41,Invite,Mastodon 4.5.0
45,pixelig.social,6,2,6967,1161.17,15933,2025-11-09 22:41,Invite,Mastodon 4.5.0
46,platform.alleganygalactic.space,11,1,177,16.09,5548,2025-11-09 22:41,Approval Required,Mastodon 4.5.0-alpha.1
47,msky-25227.aere-sanctuary.net,6,,0,0.00,23,2025-11-09 22:41,Closed,Misskey 2025.2.0
48,spotoftheball.com,53,25,28133,530.81,0,2025-11-09 22:41,Open,Mastodon 4.5.0-alpha.2
49,toots.n7.gg,2,1,1806,903.00,9943,2025-11-09 22:41,Closed,Mastodon 4.5.0
50,mk.yumeka.xyz,4,,3,0.75,17,2025-11-09 22:41,Closed,Misskey 2025.10.2
51,gallery.welshpixie.art,0,,0,,4196,2025-11-09 22:41,Closed,Gotosocial 0.19.1+git-6574d
52,supersocial.space,1,1,778,778.00,7483,2025-11-09 22:41,Invite,Mastodon 4.5.0
53,fish.otagao.net,12,7,1508,125.67,1741,2025-11-09 22:41,Open,Iceshrimp 2023.12.14
54,fedispace.de,3,2,28056,9352.00,13694,2025-11-09 22:41,Invite,Mastodon 4.5.0
55,toot.ale.gd,8,4,15355,1919.38,15057,2025-11-09 22:41,Invite,Mastodon 4.5.0-alpha.2+gl
56,as89.it,1,1,84,84.00,6786,2025-11-09 22:41,Closed,Akkoma 3.10.4-0-gebfb61
57,starry.cafe,4,,544,136.00,8362,2025-11-09 22:41,Closed,Sharkey 2024.9.3
58,the.cat.broker,1,0,198,198.00,15605,2025-11-09 22:41,Invite,Akkoma 3.13.2-0-g050bc7
59,ublog.byme.at,2,1,306,153.00,10324,2025-11-09 22:41,Approval Required,Pleroma 2.9.1
60,tau-ceti.space,3,2,18353,6117.67,22586,2025-11-09 22:41,Invite,Mastodon 4.6.0-alpha.1+gl
61,music.heathenlab.net,1,1,,0.00,,2025-11-09 22:41,Closed,Funkwhale 1.4.1
62,mastodon.fonsos.com,1,1,740,740.00,11805,2025-11-09 22:41,Closed,Mastodon 4.5.0
63,caracasadj.aitorres.com,1,,4102,4102.00,,2025-11-09 22:41,Closed,Single file acti 0.000000001
64,shark.misskey.jp,9,,1408,156.44,1306,2025-11-09 22:41,Closed,Misskey 2025.10.2
65,lemmy.curiana.net,0,1,11,,,2025-11-09 22:41,Closed,Lemmy 0.19.12
66,nawang.chat,3,0,6,2.00,2,2025-11-09 22:41,Open,Iceshrimp 2023.12.14
67,mastodon.lo0.uk,3,3,325,108.33,5646,2025-11-09 22:41,Invite,Mastodon 4.5.0
68,pix.pifferi.io,1,1,124,124.00,331,2025-11-09 22:41,Closed,Pixelfed 3.5.3
69,social.targaryen.house,3774,32,112112,29.71,39005,2025-11-09 22:41,Closed,Mastodon 4.3.4
70,hoplagenda.fr,33,,256,7.76,,2025-11-09 22:41,Closed,Mobilizon 5.1.2
71,social.learnlearn.in,1,,217,217.00,,2025-11-09 22:41,Closed,Microblogpub 2.0.0+4e1bb330
72,ma.id10t.it,4,1,1,0.25,1956,2025-11-09 22:41,Approval Required,Mastodon 4.5.0
73,tabletop.social,3160,126,161343,51.06,40632,2025-11-09 22:41,Invite,Mastodon 4.5.0+glitch
74,breezy.blue,1,1,61,61.00,5,2025-11-09 22:41,Invite,Mastodon 4.3.8
75,home.solitude.bar,2,1,167,83.50,6726,2025-11-09 22:41,Invite,Akkoma 3.15.2-0-g5bceb1
