asn,nb_hostnames
395747,1388
21664,759
213120,665
394192,305
394507,189
16276,162
6752,101
8075,97
8560,75
211612,65
19551,54
42612,52
215859,44
197712,38
39572,33
204915,32
31577,32
3352,31
62567,28
2635,26
12322,25
31936,24
30961,22
14853,21
7979,20
14907,20
200521,17
63293,17
24600,17
56958,15
30148,14
214455,13
8839,11
133795,11
1897,10
16371,10
15699,10
12640,10
203461,10
213232,10
203178,9
3457,9
39020,9
49635,8
50474,8
16383,8
8657,8
200960,8
45666,7
5545,7
39263,7
16153,7
60781,6
29222,6
59692,6
25117,6
207970,6
12386,6
44907,6
41541,6
12357,6
40824,6
9094,6
200325,5
57633,5
6656,5
198968,5
35280,5
13238,5
49714,5
198066,4
57910,4
34655,4
208769,4
141995,4
25354,4
208036,4
23352,4
12178,4
8228,4
199218,4
48703,3
13041,3
5761,3
42220,3
57542,3
200107,3
62243,3
12353,3
34309,3
57724,3
199524,3
43520,3
61098,3
14340,3
205193,3
205796,3
8304,3
6185,3
6496,3
394303,3
60855,3
202242,3
59467,3
64437,3
45037,3
31627,3
197876,3
52580,3
10753,3
8195,3
207697,2
208128,2
30818,2
33191,2
51888,2
58061,2
139144,2
208591,2
34285,2
200356,2
12678,2
33837,2
62416,2
29169,2
53824,2
34788,2
33157,2
27589,2
328832,2
20546,2
57269,2
62856,2
211187,2
50980,2
34920,2
24611,2
399358,2
13442,2
31586,2
55293,2
10954,2
46606,2
12338,2
64512,2
22612,2
7941,2
15630,2
202448,2
201085,2
216353,2
2057,2
49287,2
17668,2
26496,2
42240,2
13348,2
15937,1
12565,1
676,1
25285,1
31178,1
44386,1
30846,1
139341,1
38369,1
41994,1
2514,1
63410,1
138650,1
32338,1
199496,1
56798,1
9159,1
16701,1
200019,1
398743,1
47577,1
59787,1
30109,1
26347,1
8069,1
35744,1
202054,1
15548,1
42422,1
10480,1
212363,1
36420,1
36459,1
33876,1
34624,1
201346,1
49981,1
5505,1
20784,1
42532,1
54994,1
203280,1
43415,1
204050,1
393874,1
50583,1
21009,1
61144,1
201744,1
215656,1
60314,1
196890,1
3273,1
208353,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
6939,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
36692,1
43578,1
60350,1
27823,1
28604,1
41191,1
205373,1
3262,1
57656,1
52489,1
263173,1
2571,1
34993,1
58233,1
9009,1
16085,1
53332,1
47447,1
30722,1
24608,1
24768,1
212815,1
152880,1
43211,1
12641,1
34304,1
60922,1
37963,1
210403,1
201748,1
209349,1
12833,1
214390,1
204544,1
48669,1
196713,1
15685,1
55081,1
214855,1
40021,1
204556,1
137409,1
39444,1
140688,1
44932,1
24482,1
26666,1
25253,1
200000,1
48048,1
4258,1
48314,1
60550,1
48744,1
211316,1
42567,1
29003,1
35171,1
41653,1
41690,1
201499,1
35425,1
24920,1
199777,1
52030,1
205461,1
199236,1
51621,1
14441,1
203444,1
44527,1
11281,1
201512,1
31428,1
401200,1
198792,1
400797,1
52361,1
6724,1
51468,1
42656,1
200320,1
204800,1
41233,1
10929,1
42848,1
24971,1
206264,1
44297,1
