asn,nb_hostnames
395747,4799
21664,1113
213120,825
394507,293
8075,270
8960,231
394192,211
39572,148
35540,141
204915,134
215859,87
62567,70
202024,69
19551,51
15802,51
204206,50
26496,49
15317,48
3457,43
201678,39
214455,31
60781,29
31936,28
30148,27
213232,27
22612,25
395458,24
2635,23
14907,22
63293,21
7979,20
133795,18
397849,17
37963,17
40824,17
14466,15
148000,15
10753,15
35280,14
205585,14
141995,14
17668,14
59692,13
6496,13
14441,13
14853,13
27589,12
53824,12
40699,11
55293,11
60068,11
8195,11
46606,10
26666,10
8560,10
328832,10
47422,10
9730,9
36420,9
32338,9
3844,9
28398,9
18881,9
12956,9
263945,9
6057,9
62768,9
17025,9
132337,9
19653,9
6762,9
328137,9
41722,9
28320,9
37662,9
24600,9
15605,9
19422,9
56696,9
1916,9
50482,9
51182,9
54641,9
49714,8
44534,8
49981,8
139341,8
26347,8
9829,8
200019,8
45845,8
200284,8
12322,7
18229,7
131223,7
200325,7
49612,7
398256,7
35425,7
204800,7
62068,6
133037,6
6427,6
197024,6
50989,6
56479,6
200039,6
137409,6
24482,6
8708,6
25465,6
51433,6
3920,6
54994,6
40009,6
57702,6
56898,6
38369,6
44907,6
49287,6
12178,6
202425,5
207970,5
393299,5
32494,5
201106,5
14117,5
49665,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
262427,5
37251,5
329356,5
132602,5
63240,5
52468,5
45352,5
136373,5
6327,5
52320,5
17984,5
9015,5
19782,5
61568,5
29169,5
132045,5
20764,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
44684,5
35589,5
23520,5
48641,5
35360,5
7589,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
4134,5
35598,5
264409,5
52025,5
50628,5
14537,5
205920,5
23576,5
59467,5
201340,5
58061,5
132224,5
45090,5
40021,5
37728,5
204832,4
48254,4
10480,4
45644,4
62243,4
60140,4
208800,4
52148,4
214744,4
49676,4
42567,4
210275,4
29066,4
13442,4
45773,4
207728,4
63932,4
215300,4
199524,4
33157,4
202368,4
200449,3
46844,3
139144,3
48729,3
58283,3
5761,3
64437,3
43641,3
17436,3
34369,3
132420,3
192,3
60885,3
20264,3
36080,3
216014,3
9760,3
19324,3
6185,3
7941,3
205213,3
9583,3
6698,3
202521,3
9009,3
33191,2
201012,2
6656,2
138341,2
202715,2
147303,2
32903,2
214124,2
137130,2
212216,2
61976,2
136252,2
30818,2
33182,2
133185,2
37936,2
6168,2
24961,2
206264,2
57163,2
61210,2
204770,2
3387,2
51905,2
204544,2
198610,2
204034,2
397273,2
208922,2
51852,2
8069,2
134888,2
42848,2
29256,2
132193,2
44112,2
137978,2
197540,2
46475,2
133231,2
60248,2
63760,2
53667,2
134251,2
24572,2
45894,2
32780,2
26042,2
44696,2
63199,2
59939,2
200851,2
202053,2
215845,2
141004,2
211922,2
59253,2
135222,2
201768,2
42532,2
9764,2
22720,2
199758,1
200195,1
213438,1
50980,1
38224,1
48809,1
14315,1
133256,1
215402,1
46864,1
786,1
131283,1
4775,1
131341,1
141464,1
44386,1
135205,1
11281,1
149202,1
14340,1
132779,1
1897,1
19969,1
43298,1
34947,1
211864,1
30083,1
214390,1
203444,1
2780,1
208488,1
29684,1
62390,1
132717,1
38365,1
328553,1
9230,1
13984,1
398493,1
50090,1
207481,1
137854,1
36066,1
23752,1
141504,1
48434,1
36850,1
28753,1
9688,1
42186,1
44932,1
201744,1
42846,1
135905,1
400797,1
17185,1
61098,1
20294,1
50517,1
13601,1
36352,1
49352,1
55569,1
200928,1
56341,1
56126,1
140708,1
24611,1
58294,1
63410,1
1624,1
9940,1
211942,1
14472,1
36459,1
8796,1
52000,1
201512,1
207418,1
53930,1
59796,1
37637,1
64049,1
15149,1
16072,1
31577,1
213166,1
7590,1
59441,1
141388,1
151373,1
49474,1
203378,1
31270,1
208161,1
5377,1
35124,1
31458,1
59323,1
35258,1
327766,1
64422,1
42194,1
136184,1
150078,1
23352,1
132557,1
197482,1
141518,1
59695,1
17841,1
21121,1
200000,1
47577,1
200324,1
198993,1
53850,1
27264,1
4150,1
30600,1
18222,1
200596,1
56655,1
149528,1
57168,1
199729,1
58698,1
48040,1
208710,1
53332,1
5576,1
198503,1
13830,1
8987,1
41690,1
43955,1
42160,1
197019,1
136324,1
141177,1
134909,1
33083,1
26752,1
51236,1
23816,1
59451,1
50214,1
210250,1
327724,1
63444,1
27647,1
399566,1
57352,1
146940,1
20661,1
24971,1
208128,1
2665,1
51468,1
215322,1
212552,1
24736,1
61306,1
63362,1
133210,1
135360,1
32097,1
394432,1
9752,1
23470,1
38913,1
34222,1
62856,1
52130,1
198032,1
138424,1
35179,1
7203,1
205762,1
65115,1
135745,1
31080,1
39560,1
396032,1
12129,1
45221,1
6758,1
138233,1
393874,1
14113,1
44009,1
38264,1
137670,1
137108,1
150436,1
18310,1
50979,1
212422,1
7859,1
393689,1
10954,1
43037,1
20799,1
216154,1
6724,1
57344,1
13627,1
31276,1
47524,1
38193,1
207304,1
28885,1
13122,1
60976,1
47846,1
395162,1
205373,1
328174,1
200514,1
1625,1
136762,1
61144,1
200554,1
44803,1
32234,1
62370,1
19905,1
7544,1
133050,1
18209,1
131173,1
22560,1
203147,1
133666,1
132680,1
6713,1
205193,1
203995,1
34918,1
43211,1
133430,1
58521,1
399358,1
45664,1
