asn,nb_hostnames
395747,3480
21664,774
213120,497
35540,422
394507,334
51433,293
215859,287
394192,276
205585,198
212216,171
204915,170
39572,144
62567,122
32338,110
8075,87
211505,84
58469,74
29066,74
204213,65
31936,57
15317,57
7979,54
60248,52
22612,47
60976,42
47846,40
40824,40
26666,36
59441,35
60781,33
58061,33
2635,32
201634,32
14907,32
63293,31
49676,31
37963,31
34369,28
202368,26
19551,25
27589,25
48434,25
214455,25
204800,25
212296,24
211904,24
46606,24
55330,23
26496,22
139341,20
208161,20
204544,20
30148,18
200324,18
38369,17
60068,17
209227,16
25184,16
8560,15
42337,15
14853,15
214105,14
60077,14
133795,13
43358,12
57497,12
206596,12
53824,12
62048,11
14441,11
59587,11
13442,11
36420,11
141995,11
212552,11
49981,10
44907,10
3457,10
12178,10
45090,10
44932,9
201999,9
59692,9
56898,9
200019,9
200325,9
34918,9
50482,9
49714,8
44534,8
51431,8
64437,8
214124,8
50041,8
6185,8
395458,8
51468,7
26347,7
21341,7
215300,7
214225,7
10753,7
54994,7
9121,7
6496,7
8195,7
17668,7
62068,6
46844,6
150078,6
43955,6
49610,6
3920,6
55293,6
328832,6
35425,6
24600,6
12322,6
47422,6
22720,6
8705,5
49612,5
200449,5
48309,5
50989,5
62243,5
205857,5
209783,5
198913,5
48254,5
202425,5
9009,5
3844,5
28398,5
18881,5
12956,5
263945,5
6057,5
62768,5
17025,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
37662,5
15605,5
19422,5
56696,5
1916,5
141447,5
6698,5
50722,5
61976,5
54641,5
200296,4
207728,4
27223,4
199729,4
2516,4
59623,4
8069,4
62442,4
21419,4
401200,4
200554,4
207970,4
8739,4
57687,4
397569,4
21840,4
45773,4
137409,4
35589,4
397273,4
202492,4
49287,4
15802,4
23352,3
786,3
12908,3
33191,3
133719,3
216139,3
204039,3
49665,3
198610,3
45178,3
139057,3
205435,3
19853,3
138322,3
207304,3
211922,3
49352,3
50980,3
42567,3
7941,3
52148,3
135376,3
10480,3
60526,3
59796,3
51894,3
203616,3
395092,3
140688,3
8517,3
207208,3
142541,3
131284,3
202242,3
40021,3
56341,3
55960,3
24961,3
47330,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
9015,3
19782,3
61568,3
29169,3
200039,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
24482,3
64475,3
207841,3
270014,3
44684,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
44436,3
206264,3
202053,3
151373,3
59253,3
4258,3
6724,3
59467,3
42848,3
214003,3
58521,3
24440,3
33157,3
397849,3
199218,3
148000,3
34432,3
51970,2
138341,2
200107,2
204601,2
208264,2
14576,2
42846,2
36459,2
139651,2
210275,2
5761,2
19969,2
43948,2
7203,2
207796,2
213438,2
40539,2
149173,2
9605,2
59431,2
42990,2
395412,2
197540,2
215708,2
47524,2
201703,2
21245,2
133618,2
150436,2
53667,2
52030,2
393299,2
32494,2
201106,2
14117,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
6427,2
262427,2
37251,2
329356,2
132602,2
9730,2
63760,2
43211,2
213222,2
2675,2
60374,2
204050,2
8960,2
203684,2
215845,2
215322,2
202798,2
131223,2
577,2
137331,2
3387,2
9123,2
139144,2
34119,2
204001,2
60638,2
201295,2
14472,2
44136,2
60144,2
53850,2
197553,2
133894,2
135575,2
28753,2
57580,2
15699,2
399358,2
141477,2
44477,2
209836,2
48040,2
9688,2
20756,2
1842,2
42240,2
17289,2
200532,2
34360,2
137693,1
47760,1
53332,1
31586,1
16839,1
8481,1
201706,1
39134,1
32903,1
50733,1
25145,1
51008,1
33387,1
17713,1
58153,1
56694,1
42656,1
210250,1
57457,1
55106,1
205833,1
28885,1
63410,1
46130,1
43043,1
216074,1
55684,1
30968,1
197937,1
44880,1
136911,1
210288,1
41441,1
215402,1
132471,1
29068,1
14824,1
40009,1
208675,1
64422,1
56715,1
18905,1
3768,1
34309,1
8262,1
24611,1
206848,1
44410,1
393874,1
43962,1
7590,1
6738,1
11106,1
3361,1
34947,1
47625,1
2780,1
13830,1
15318,1
8193,1
58212,1
44672,1
136479,1
41174,1
134112,1
47577,1
51852,1
46475,1
3223,1
36850,1
44386,1
212490,1
61144,1
10122,1
9752,1
53976,1
47558,1
49474,1
60922,1
36352,1
5467,1
29091,1
4713,1
41227,1
211942,1
28839,1
202656,1
11094,1
58282,1
41690,1
44803,1
34655,1
210756,1
205588,1
13041,1
24572,1
23816,1
34699,1
11807,1
151081,1
60527,1
400797,1
37153,1
35704,1
57352,1
29222,1
15149,1
14315,1
31276,1
7396,1
63199,1
142592,1
55272,1
31577,1
37936,1
36066,1
211864,1
41653,1
32780,1
58331,1
395532,1
131965,1
16200,1
57152,1
133363,1
399250,1
31264,1
200195,1
209445,1
47521,1
209171,1
30475,1
33956,1
46440,1
203916,1
25260,1
58294,1
200000,1
211703,1
137975,1
48729,1
44609,1
62744,1
10929,1
4835,1
203639,1
8422,1
43689,1
63362,1
30083,1
39072,1
199973,1
393689,1
15817,1
56872,1
42043,1
30340,1
31727,1
27522,1
12064,1
203053,1
39686,1
4725,1
394695,1
965,1
214390,1
134963,1
43091,1
63954,1
31689,1
205193,1
24971,1
45753,1
34749,1
205373,1
38913,1
32156,1
198792,1
33322,1
203417,1
13601,1
2665,1
398983,1
41372,1
139884,1
211871,1
42910,1
39368,1
17363,1
44160,1
6733,1
35258,1
42868,1
1625,1
44009,1
62265,1
25234,1
200928,1
11281,1
210474,1
27500,1
20616,1
199524,1
132222,1
46981,1
41231,1
394230,1
395226,1
42400,1
211408,1
196763,1
47643,1
137895,1
37496,1
61323,1
199867,1
59442,1
136165,1
202816,1
14466,1
137517,1
198032,1
153323,1
51295,1
31476,1
206170,1
204770,1
397423,1
59435,1
399566,1
210296,1
49859,1
202917,1
20559,1
200960,1
10297,1
152194,1
8523,1
209596,1
28977,1
216154,1
23576,1
30277,1
55569,1
1152,1
28838,1
39029,1
201768,1
50517,1
4769,1
214618,1
39825,1
8473,1
2497,1
214927,1
53264,1
25264,1
207809,1
200312,1
62563,1
26277,1
2057,1
7859,1
10954,1
202509,1
25697,1
14745,1
135298,1
10578,1
12678,1
42121,1
9644,1
58112,1
393960,1
