asn,nb_hostnames
395747,957
213120,413
21664,388
394192,189
394507,144
8075,56
39572,41
2635,36
62567,36
31936,25
59467,25
204915,23
49714,22
44534,22
207970,20
215859,20
7979,18
46606,16
14853,16
61976,16
214455,15
63293,12
19551,12
35540,12
30148,11
49612,11
26496,10
11139,9
56341,8
133795,7
11594,7
36420,7
264645,7
15317,6
14907,6
54641,6
210756,5
201706,5
40699,5
8560,5
58112,5
33265,5
50989,5
53824,5
44386,4
22612,4
30475,4
62243,4
44696,4
43298,4
15699,4
210656,4
34147,4
12178,4
58061,4
55033,4
40824,4
5761,3
44907,3
54994,3
49352,3
214124,3
37963,3
19246,3
13601,3
59692,3
6185,3
7859,3
20264,3
400754,3
22194,3
26666,2
205312,2
3728,2
7393,2
51852,2
13767,2
398787,2
47577,2
62358,2
6698,2
4258,2
200325,2
44310,2
63410,2
205865,2
49675,2
59601,2
64437,2
60781,2
48254,2
203725,2
59840,2
201012,2
7941,2
215740,2
401200,2
6496,2
35280,2
29182,2
60068,2
771,2
20033,2
42240,2
137409,1
14340,1
36066,1
14555,1
30109,1
202425,1
5639,1
139341,1
55081,1
41185,1
57352,1
33191,1
31586,1
13450,1
133050,1
32338,1
48729,1
200449,1
54290,1
61306,1
19969,1
36080,1
48669,1
23576,1
38369,1
6427,1
206264,1
2514,1
398256,1
40425,1
54913,1
9371,1
46475,1
50448,1
61144,1
38365,1
702,1
399358,1
18945,1
34655,1
44014,1
41690,1
19785,1
44477,1
201512,1
26752,1
43247,1
42065,1
36459,1
200195,1
213438,1
397849,1
23470,1
11019,1
398743,1
3387,1
32632,1
399566,1
3457,1
393874,1
24482,1
28067,1
15685,1
203444,1
10753,1
45894,1
22720,1
214390,1
30599,1
14441,1
24611,1
53332,1
22653,1
207986,1
62082,1
393689,1
15967,1
215322,1
208176,1
13442,1
10480,1
9009,1
204800,1
60114,1
200019,1
50980,1
8987,1
27522,1
50313,1
205373,1
46562,1
214881,1
20847,1
201085,1
30689,1
24282,1
197482,1
14813,1
57629,1
208561,1
31727,1
140688,1
61969,1
400797,1
13830,1
15149,1
44009,1
63362,1
62755,1
27264,1
4150,1
30600,1
32780,1
199524,1
11281,1
40021,1
22049,1
46844,1
60922,1
398402,1
33664,1
213232,1
41000,1
