asn,nb_hostnames
395747,4294
21664,927
213120,915
394507,346
394192,337
215859,292
35540,270
8075,115
39572,105
204915,102
5576,84
19551,83
62567,75
141995,61
14907,51
60068,50
31936,44
2635,41
202242,41
200325,39
15317,39
214455,36
22612,33
213206,33
60781,31
205585,30
40824,29
59692,26
197706,24
55293,24
26496,24
14853,24
46606,23
197664,22
63293,21
52030,21
8560,21
17668,21
31080,20
58061,18
43037,16
50616,16
56682,15
24961,15
51433,15
395458,15
7979,14
6496,14
133795,14
58137,14
49612,14
10753,14
24600,14
49981,13
328832,13
41722,13
52130,13
27589,13
12322,13
3844,12
28398,12
18881,12
12956,12
8231,12
263945,12
8195,12
6057,12
62768,12
17025,12
132337,12
19653,12
6762,12
328137,12
28320,12
37662,12
15605,12
19422,12
56696,12
1916,12
50482,12
8535,11
30148,11
39392,10
49714,10
44534,10
6427,10
137,10
20546,10
213683,10
12178,10
202368,9
14441,9
8400,9
42460,9
393299,9
32494,9
201106,9
14117,9
49665,9
13030,9
1273,9
61049,9
61573,9
48571,9
8529,9
64126,9
1000,9
131073,9
18377,9
262427,9
37251,9
329356,9
132602,9
9730,9
64437,9
35506,9
47846,9
200019,9
51859,9
30961,9
215740,8
59467,8
8708,8
29066,8
21246,8
61976,8
6698,8
204800,8
12874,7
395092,7
44907,7
207970,7
26666,7
47447,7
26347,7
62068,7
51577,7
34788,7
50989,7
197540,7
29170,6
58521,6
202425,6
51025,6
39896,6
6821,6
3457,6
44880,6
47394,6
25472,6
47422,6
30722,5
62243,5
61057,5
60047,5
3920,5
7203,5
5403,5
12640,5
8839,5
57788,5
60248,5
36420,5
2780,5
1897,5
27647,5
25117,5
37963,5
49287,5
2057,5
42656,5
199218,5
199524,5
54641,5
32097,4
63410,4
207368,4
215300,4
38369,4
48314,4
56898,4
8661,4
61098,4
8705,4
34309,4
50973,4
42567,4
42371,4
196818,4
20523,4
57633,4
45090,4
204601,4
49676,4
17984,4
137409,4
24482,4
53824,4
34369,4
24971,4
200449,4
207728,4
35589,4
213232,4
7941,3
10480,3
206566,3
43358,3
207208,3
48164,3
34772,3
6185,3
48434,3
206264,3
53667,3
32338,3
42848,3
29097,3
139341,3
12678,3
12713,3
30818,3
12306,3
202115,3
29222,3
44696,3
213980,3
205762,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
9015,3
19782,3
61568,3
29169,3
200039,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
23520,3
48641,3
35360,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
133210,3
135360,3
7859,3
38952,3
31577,3
2819,3
6724,3
8856,3
198913,3
212216,3
34222,3
54994,3
15685,3
201200,3
398256,3
60114,3
200386,3
212792,3
31586,3
211505,3
214308,3
34619,3
16161,3
33191,2
12929,2
24994,2
57344,2
39217,2
24898,2
61065,2
8585,2
5761,2
31424,2
44901,2
213306,2
64999,2
32632,2
8228,2
43641,2
15456,2
15512,2
3223,2
8685,2
47524,2
51852,2
200324,2
31083,2
201012,2
44932,2
18310,2
202492,2
214881,2
51468,2
24611,2
8473,2
50980,2
36459,2
25516,2
207697,2
31727,2
202179,2
197248,2
44477,2
63760,2
15149,2
8288,2
14576,2
197746,2
201744,2
399566,2
23576,2
34699,2
215845,2
8937,2
198610,2
216353,2
59886,2
201863,2
33964,2
197642,2
204544,2
48254,2
9123,2
9121,2
198319,2
35425,2
47242,2
205544,2
35744,2
200195,2
48040,2
210079,2
19969,2
201706,2
20580,2
3387,2
211922,2
30083,2
213438,2
210579,2
59587,2
209150,2
205193,2
46475,2
216154,2
46844,2
8968,2
48815,2
213737,2
198279,2
41828,2
