asn,nb_hostnames
395747,3236
21664,559
213120,491
215859,338
394507,255
35540,226
394192,209
61976,192
49612,168
49352,130
59467,125
29182,117
198610,116
197497,112
207728,109
62567,96
39572,89
58061,84
9123,83
8075,82
60781,80
204601,75
141995,74
49800,73
204915,69
44534,64
49714,64
15317,62
51225,59
8932,54
205585,53
207970,50
210656,50
49981,49
14907,48
216058,46
59692,41
200205,41
201706,40
2635,39
43298,39
51433,38
12297,35
31936,34
210079,32
40824,31
46606,29
55293,28
48008,28
214455,26
44094,25
48040,25
49665,25
200019,24
200896,23
56694,22
205312,22
44310,21
6697,20
63293,20
44696,20
210756,20
209176,19
12322,19
211381,19
19551,18
206980,18
26496,18
47623,17
37963,17
32338,16
14441,16
201063,16
7979,14
205368,14
207208,14
201499,13
202368,13
41722,13
60068,13
395458,13
44128,12
202376,12
50482,12
42240,12
51852,11
56341,11
30818,11
201512,11
59939,11
17668,11
54994,10
44112,10
24961,10
44907,10
133795,10
6496,10
204039,10
5537,10
14853,10
47422,10
50979,10
35425,9
29066,9
60144,9
62243,9
200325,9
42745,9
39134,9
44477,9
62082,9
49676,9
328832,9
24600,9
38369,8
200449,8
52160,8
199867,8
3457,8
215300,8
46844,8
56974,8
17025,8
37662,8
10753,8
62768,8
12956,8
328137,8
19653,8
28320,8
6762,8
18881,8
56696,8
132337,8
15605,8
28398,8
19422,8
3844,8
1916,8
8195,8
6057,8
263945,8
8920,8
210644,8
7203,8
199524,8
212749,7
206264,7
57352,7
14576,7
27589,7
13442,7
50989,7
49287,7
12178,7
200532,7
44386,6
57491,6
44901,6
60248,6
50250,6
206407,6
48282,6
54290,6
28753,6
60922,6
34369,6
48434,6
214744,6
61400,6
200039,6
210976,6
212490,6
24482,6
35598,6
45090,6
30968,6
211642,6
41976,6
44256,5
26666,5
48254,5
212216,5
60330,5
204343,5
36420,5
211505,5
52130,5
215644,5
8560,5
26347,5
59587,5
202425,5
34147,5
54641,5
25184,5
63240,5
52468,5
45352,5
136373,5
6327,5
52320,5
17984,5
9015,5
19782,5
61568,5
29169,5
132045,5
20764,5
137409,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
44684,5
35589,5
23520,5
48641,5
35360,5
8708,5
7589,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
4134,5
264409,5
52025,5
50628,5
14537,5
205920,5
15802,5
205865,5
6185,5
204800,5
50113,5
57304,5
34702,4
197553,4
6724,4
213166,4
214927,4
3920,4
52000,4
64437,4
30148,4
216139,4
58112,4
200487,4
56898,4
8856,4
43358,4
47577,4
212136,4
214653,4
209030,4
30058,4
42632,4
50448,4
48684,4
60077,4
42245,4
6698,4
204544,3
41000,3
33972,3
200324,3
20661,3
60602,3
48675,3
44812,3
56851,3
56561,3
139341,3
42991,3
211522,3
21051,3
53667,3
63410,3
198561,3
64999,3
32632,3
48614,3
214822,3
23352,3
31629,3
3223,3
49297,3
50496,3
212792,3
43037,3
205954,3
216071,3
62068,3
208795,3
48096,3
199669,3
21104,3
42337,3
44932,3
59601,3
51011,3
201186,3
197482,3
20852,3
214881,3
207810,3
20848,3
60976,3
201119,3
62160,3
58521,3
51248,3
397849,3
215498,3
22612,3
393299,3
32494,3
201106,3
14117,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6427,3
262427,3
37251,3
329356,3
132602,3
9730,3
212531,3
30083,3
42082,3
42532,3
61424,3
48729,3
42656,3
22720,3
31577,2
203087,2
216475,2
216206,2
63199,2
201744,2
20545,2
43247,2
25393,2
16262,2
202090,2
211922,2
47522,2
401200,2
61272,2
208161,2
202223,2
24971,2
202015,2
62563,2
61306,2
215402,2
3387,2
43955,2
42775,2
200107,2
202696,2
47478,2
59840,2
139144,2
20546,2
393874,2
5761,2
207809,2
57344,2
205634,2
207984,2
214798,2
36459,2
201012,2
25032,2
60357,2
213737,2
47330,2
34432,2
140688,2
200784,2
200386,2
43211,2
57687,2
57580,2
207569,2
8312,2
7941,2
202656,2
48988,2
31080,2
204194,2
205696,2
8739,2
14555,2
213438,2
12555,2
43641,2
206871,2
205544,2
42688,2
8901,2
10480,2
59796,2
34662,2
215322,2
216154,2
9009,2
202798,2
34947,2
23576,2
200044,2
33191,2
8069,2
207104,2
208997,2
43362,2
44880,2
34222,2
47111,2
50722,2
25249,2
42121,2
204424,2
199218,2
48009,2
9764,2
41441,1
39160,1
215845,1
33993,1
46864,1
215421,1
203461,1
212552,1
37936,1
8441,1
49535,1
208450,1
204720,1
24676,1
35594,1
56864,1
58010,1
50980,1
21419,1
200904,1
200651,1
12361,1
15149,1
57849,1
48719,1
33083,1
49127,1
33797,1
24611,1
57206,1
138650,1
48753,1
208626,1
198913,1
43487,1
36850,1
34918,1
50313,1
41233,1
44670,1
53589,1
202053,1
214977,1
8440,1
40966,1
34342,1
59967,1
214390,1
204846,1
12824,1
215708,1
210390,1
49326,1
393689,1
56322,1
53755,1
50341,1
203417,1
59504,1
214573,1
213877,1
25234,1
53332,1
48922,1
58212,1
6352,1
39032,1
41111,1
5386,1
56128,1
200928,1
212422,1
62005,1
56631,1
58031,1
48061,1
44903,1
42849,1
216127,1
2514,1
50214,1
20771,1
10929,1
34309,1
35258,1
2780,1
39686,1
12816,1
31174,1
49392,1
42834,1
203951,1
215625,1
22653,1
202521,1
34920,1
43415,1
51468,1
49433,1
61276,1
41231,1
209445,1
207983,1
207304,1
214790,1
47002,1
8839,1
35673,1
16984,1
203444,1
61055,1
209847,1
208273,1
49099,1
62137,1
28838,1
39029,1
207362,1
12678,1
41738,1
13041,1
42442,1
205193,1
207986,1
42179,1
63362,1
215730,1
42422,1
198348,1
204620,1
40021,1
55106,1
8987,1
48965,1
197019,1
35680,1
131965,1
44820,1
5523,1
29208,1
41690,1
8515,1
56803,1
44066,1
41653,1
7859,1
212872,1
6656,1
205373,1
200195,1
40651,1
41619,1
29141,1
61098,1
61144,1
212247,1
9752,1
26752,1
43581,1
62255,1
58143,1
21121,1
202242,1
205125,1
51682,1
36356,1
57363,1
43091,1
51342,1
204706,1
65535,1
205516,1
205293,1
208526,1
34619,1
51013,1
50041,1
59684,1
61280,1
51894,1
49675,1
23470,1
198032,1
51765,1
29389,1
208744,1
215206,1
205701,1
205216,1
200000,1
397273,1
197988,1
11281,1
57700,1
40034,1
44014,1
215840,1
60580,1
205567,1
208128,1
39896,1
39571,1
12997,1
48108,1
31476,1
42106,1
48757,1
201639,1
57629,1
199274,1
24851,1
12993,1
15699,1
201201,1
61239,1
34360,1
48968,1
50053,1
200554,1
34207,1
201498,1
133777,1
14824,1
25292,1
13830,1
8705,1
49693,1
201999,1
6769,1
216365,1
202492,1
201200,1
207640,1
204338,1
16557,1
208488,1
43896,1
47890,1
33157,1
210671,1
198265,1
209361,1
35344,1
44160,1
35511,1
199673,1
208677,1
204738,1
2057,1
27264,1
4150,1
30600,1
205762,1
65115,1
210296,1
42567,1
53824,1
206817,1
62048,1
62173,1
38952,1
213232,1
208096,1
42848,1
213220,1
50474,1
46475,1
59441,1
204159,1
44704,1
201589,1
399358,1
44609,1
34788,1
43278,1
48018,1
43048,1
12578,1
52184,1
42072,1
207056,1
44244,1
203714,1
64422,1
31200,1
29226,1
61251,1
4837,1
206805,1
57530,1
30081,1
51954,1
43647,1
48669,1
21581,1
42223,1
398343,1
