asn,nb_hostnames
395747,4202
21664,1001
213120,595
394507,481
394192,316
204915,256
215859,224
16276,209
8075,164
62567,104
24768,101
39572,69
12833,61
327788,56
37963,49
214455,47
19551,46
22612,44
14441,44
2635,43
8657,40
31936,38
327806,34
63293,33
33876,32
1897,31
37096,30
52580,28
26666,28
59787,27
328211,26
37119,26
141995,26
1916,25
211612,25
26496,24
36907,23
46606,22
60781,22
3457,21
38369,21
28604,21
395458,21
15201,20
47846,20
30148,20
204450,20
37153,19
14853,19
12322,18
14907,17
133795,17
17400,17
7979,17
18881,17
327932,16
12353,16
6656,15
40824,15
36420,14
200325,14
5545,14
45090,14
58061,13
10753,13
6496,13
12178,13
5626,13
6762,12
37059,12
55293,12
328832,12
29169,12
24600,12
17668,12
52320,12
62416,11
8560,11
137409,11
17025,11
50482,11
37662,11
41722,11
62768,11
12956,11
328137,11
19653,11
24482,11
28320,11
56696,11
132337,11
15605,11
28398,11
19422,11
3844,11
8195,11
6057,11
263945,11
49287,11
59692,10
139341,10
54641,10
63240,10
52468,10
45352,10
136373,10
6327,10
17984,10
8919,10
396390,10
61568,10
52167,10
45517,10
20764,10
2027,10
13786,10
51530,10
196753,10
64475,10
207841,10
270014,10
136620,10
5381,10
23520,10
48641,10
35360,10
8708,10
7589,10
15958,10
2614,10
14016,10
35600,10
38726,10
1031,10
29049,10
36678,10
35598,10
264409,10
52025,10
50628,10
14537,10
205920,10
15802,10
46844,9
46475,9
37645,9
200019,9
35425,9
52148,8
63410,8
23352,8
266444,8
48040,8
44907,8
39384,8
204800,8
57724,7
328154,7
49714,7
13238,7
60144,7
33837,7
139144,7
215740,6
28753,6
13442,6
150078,6
58521,6
53107,6
35280,6
12640,6
12926,6
10480,6
199524,6
6185,6
202425,5
62068,5
274483,5
9009,5
200449,5
16371,5
202492,5
26347,5
34920,5
29066,5
37036,5
54994,5
203976,5
53824,5
5761,4
27589,4
266400,4
53017,4
211922,4
6698,4
49981,4
52130,4
47384,4
10954,4
28299,4
200107,4
329209,4
328273,4
328943,4
4258,4
397273,4
6939,4
37147,4
203461,4
271755,4
64437,4
37611,4
30058,4
40021,4
3920,4
199218,4
50980,3
205435,3
23470,3
15699,3
63290,3
41008,3
200000,3
21612,3
24961,3
215300,3
328174,3
206264,3
397849,3
7941,3
49352,3
202242,3
139057,3
29222,3
45898,3
58294,3
327979,3
8739,3
31586,3
270424,3
135905,3
29003,3
49941,3
207970,3
36917,3
329270,3
62243,3
34119,3
37590,3
56341,3
60550,3
328165,3
45753,3
46864,3
61976,3
131138,3
398787,2
44477,2
329194,2
28209,2
214744,2
51970,2
8839,2
53038,2
45644,2
61144,2
11807,2
3387,2
138415,2
20253,2
12357,2
37384,2
55688,2
31577,2
264713,2
