asn,nb_hostnames
395747,3183
21664,1427
213120,442
273584,351
394507,339
7303,297
11664,240
16276,234
22185,230
394192,229
8075,215
27823,202
204915,184
52361,156
62567,119
16814,106
27967,78
215859,64
4270,61
11014,54
19551,51
139144,50
18747,46
10753,44
3457,40
23352,39
3449,37
52318,36
39572,33
266660,33
20207,32
10480,30
53824,30
27790,28
211612,27
16701,26
5692,24
26496,23
2635,22
31936,21
61493,21
63293,20
264808,19
8560,19
262222,19
27875,17
264649,17
14853,17
133795,16
214455,16
52373,16
63410,15
271800,15
27747,14
213232,14
52459,13
7979,13
52308,13
35280,13
22612,13
27981,13
59692,12
13474,12
36420,12
52440,12
39020,11
60781,11
264848,11
14907,11
61515,11
30961,11
44477,10
398256,10
6121,10
46606,10
262156,10
202492,10
26666,10
5545,9
57724,9
14441,9
26347,9
40699,9
395458,9
52270,8
30083,8
47195,8
52293,8
11392,8
52438,8
204450,8
52236,7
14845,7
27993,7
31577,7
265884,7
27883,7
6698,7
17668,7
40824,7
52444,6
33182,6
14466,6
267867,6
264618,6
6057,6
64437,6
12956,6
49287,6
53667,6
17025,6
7203,6
5381,6
12322,5
44907,5
137409,5
200325,5
263235,5
27988,5
11878,5
265859,5
24971,5
55293,5
48254,5
200019,5
27879,5
205193,5
141995,5
52427,5
22798,5
34342,5
58521,5
50482,5
37662,5
41722,5
62768,5
328137,5
19653,5
24482,5
24600,5
28320,5
6762,5
18881,5
56696,5
132337,5
15605,5
28398,5
19422,5
3844,5
1916,5
8195,5
328832,5
6496,5
263945,5
28107,5
61486,5
202425,5
61496,5
204800,5
44901,4
61317,4
263217,4
52424,4
263791,4
206264,4
13442,4
263718,4
271790,4
42612,4
30340,4
34699,4
42567,4
37963,4
28009,4
262216,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
8919,4
396390,4
61568,4
29169,4
52167,4
45517,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
136620,4
23520,4
48641,4
