asn,nb_hostnames
395747,165
213120,95
21664,57
394507,51
394192,40
39572,16
62567,11
63293,10
214455,9
31936,8
8075,7
14853,7
46606,4
33837,4
133795,3
199524,3
36297,3
7979,3
9751,3
19551,3
16276,2
60781,2
19648,2
14907,2
2635,2
29992,2
6185,2
17668,2
26496,2
200195,1
213438,1
6698,1
4258,1
6360,1
46475,1
8739,1
215859,1
41690,1
50980,1
209227,1
26666,1
36459,1
12178,1
53824,1
7941,1
204915,1
200325,1
211612,1
64437,1
204800,1
393874,1
48254,1
51433,1
48763,1
200019,1
58061,1
27264,1
4150,1
30600,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
328832,1
8195,1
10753,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
6496,1
18377,1
37662,1
6939,1
24600,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
11281,1
17993,1
27647,1
44907,1
27522,1
34655,1
