asn,nb_hostnames
395747,4101
21664,1928
213120,980
394192,546
8075,447
394507,262
19551,157
16276,71
55532,56
4738,50
62567,43
2635,42
215859,37
399566,33
132680,32
14853,32
17668,30
38544,28
133795,26
39572,25
201755,25
17477,25
150689,24
9280,23
31936,20
10753,20
38880,19
14907,18
59692,16
211612,16
30148,16
63293,16
17409,16
35280,15
134948,14
3457,13
200325,13
204915,13
136557,12
22612,11
38369,11
9552,11
33157,11
214455,10
133159,10
23576,10
9509,10
6496,9
27589,9
53824,9
37963,9
56163,9
24572,8
9258,8
53667,8
401200,8
139341,8
5545,8
395458,8
40824,8
45090,8
7979,7
23816,7
6939,7
64437,7
4764,7
10480,7
36420,7
133123,7
26496,7
45898,6
26666,6
3844,6
328832,6
63199,6
138908,6
133050,6
131138,6
9480,6
9764,6
202425,5
38858,5
9688,5
54994,5
6698,5
60781,5
17025,5
50482,5
37662,5
41722,5
62768,5
12956,5
328137,5
19653,5
24600,5
28320,5
6762,5
18881,5
56696,5
132337,5
15605,5
28398,5
19422,5
1916,5
8195,5
6057,5
263945,5
33837,5
7645,5
215740,5
57724,5
201106,5
134688,5
136521,5
9760,4
45780,4
135905,4
7859,4
1851,4
21787,4
37978,4
5761,4
18000,4
137409,4
58915,4
38719,4
38280,4
136572,4
22720,4
132064,4
4802,4
199218,4
6185,4
35425,4
204450,4
140290,4
51852,3
9313,3
9290,3
8560,3
138681,3
65225,3
44907,3
45894,3
24482,3
7589,3
46606,3
14340,3
56105,3
198993,3
9518,3
134433,3
27223,3
132321,3
42532,3
205585,3
200019,3
152302,3
12178,3
36080,3
4792,3
393299,3
32494,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
327788,3
132602,3
9730,3
4822,3
7941,3
49287,3
5381,3
4770,3
133081,2
18310,2
400275,2
38825,2
60248,2
56898,2
22560,2
139006,2
45947,2
61210,2
22439,2
12322,2
5377,2
53303,2
8400,2
58698,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
8919,2
396390,2
61568,2
29169,2
52167,2
45517,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
23520,2
48641,2
35360,2
8708,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
36678,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
