asn,nb_hostnames
395747,162
21664,125
213120,72
394192,62
3238,53
394507,37
8075,23
42649,19
43948,9
24751,9
19551,9
62567,9
14907,7
12929,7
215859,6
63293,6
8523,6
202053,5
43958,5
215776,5
41878,4
39651,4
8473,4
14853,4
24714,3
2635,3
5761,3
206170,2
16276,2
48579,2
42977,2
44136,2
12306,2
41528,2
49172,2
41369,2
204937,2
205696,2
200134,2
58061,2
15424,2
6793,1
43558,1
25176,1
35744,1
27647,1
40509,1
60781,1
20514,1
215393,1
209705,1
41701,1
11281,1
30148,1
47467,1
42400,1
39648,1
205721,1
5381,1
213232,1
393874,1
2833,1
39572,1
202816,1
31936,1
25545,1
211316,1
36459,1
42307,1
1738,1
202509,1
15991,1
51468,1
214813,1
400797,1
