asn,nb_hostnames
395747,4490
21664,518
213120,372
215859,276
16276,261
206977,243
394507,211
394192,161
39572,138
204915,123
61976,111
57724,97
29049,94
207728,85
62567,82
5545,74
200729,65
8075,61
58061,56
49981,56
49352,56
60781,55
29584,51
59467,51
29182,40
40824,40
204601,39
31936,36
207970,35
48040,35
9123,34
141995,33
198610,32
59692,31
13238,30
49714,30
14907,29
200019,25
34619,25
214455,24
49665,22
48835,21
210656,21
42846,21
213881,20
46606,19
12322,18
32338,18
14441,18
26496,18
24961,17
9121,17
201706,17
8705,17
63293,16
216206,15
22612,15
7979,15
27589,14
37963,14
15815,14
44696,14
52148,14
207251,13
19551,13
31721,12
210756,12
43298,12
211612,12
36420,11
204016,11
210079,11
64437,11
44310,11
209700,11
204039,11
2635,10
215300,10
56694,10
38369,10
52130,10
206980,10
201167,9
6697,9
55293,9
200325,9
49392,9
205585,8
202492,8
39134,8
44907,8
200449,8
207619,8
211381,8
42240,8
21245,7
26666,7
29479,7
56898,7
210976,7
14576,7
139341,7
209853,7
207208,7
51852,7
29066,7
44128,7
50274,7
62082,7
205312,7
204800,7
14853,7
62243,6
50482,6
51433,6
33837,6
199985,6
56341,6
199867,6
53824,6
30818,6
44477,6
210665,6
201512,6
202425,6
44901,6
58521,6
211642,6
6698,6
200532,6
42216,5
59939,5
34222,5
41722,5
54994,5
60144,5
133795,5
209374,5
203622,5
206407,5
42745,5
44256,5
8920,5
197540,5
199524,5
41111,4
212531,4
60922,4
208450,4
48018,4
8560,4
211871,4
49287,4
6496,4
45090,4
46844,4
210388,4
42567,4
200446,4
49126,4
6185,4
139144,4
206264,4
47522,4
209711,4
13442,4
213252,4
60330,4
44112,4
57152,4
202368,4
42910,4
206871,4
212136,4
30148,4
34388,4
7203,4
50979,4
60232,4
21051,3
52167,3
205865,3
199731,3
43641,3
214744,3
30083,3
35369,3
211937,3
10753,3
47577,3
212490,3
6939,3
8517,3
196645,3
203576,3
52000,3
44386,3
209030,3
395092,3
41441,3
62160,3
211143,3
202053,3
6205,3
61306,3
211922,3
196925,3
50448,3
28787,3
30058,3
211522,3
28753,3
42868,3
48684,3
42926,3
210644,3
395458,3
24600,3
17668,3
61424,3
54641,3
48287,3
51248,2
42422,2
133210,2
135360,2
57352,2
13099,2
41902,2
10480,2
44725,2
61400,2
30081,2
200487,2
48729,2
60707,2
26347,2
204343,2
17025,2
37662,2
62768,2
12956,2
328137,2
29169,2
137409,2
19653,2
24482,2
28320,2
6762,2
18881,2
56696,2
132337,2
15605,2
