asn,nb_hostnames
395747,3371
215859,1225
21664,592
213120,518
200698,339
394507,256
16276,244
394192,204
12417,202
62567,151
203744,104
141995,97
39572,91
8075,83
204915,79
9146,72
207604,64
209098,57
16178,54
26496,48
200440,44
40824,43
60114,41
51859,40
60781,37
5545,37
31936,36
8400,36
14907,36
16145,32
211612,31
20875,29
22612,29
35779,29
133795,28
50537,27
201563,27
60009,26
200325,26
46606,26
2635,25
204800,25
49981,24
202632,24
12322,23
55293,22
9009,22
35648,21
214455,20
14441,20
63293,20
59692,20
2108,19
61065,19
41336,18
41528,18
197540,18
19551,17
26347,17
51577,17
48164,17
42432,15
12178,14
43752,14
8560,14
12644,14
14853,14
27589,13
201719,12
34594,12
198785,12
31012,12
51278,12
57344,11
52130,11
213306,11
7979,11
200514,11
42571,11
43128,11
59778,11
48894,10
63410,10
54641,10
6700,9
29066,9
48314,9
51025,9
58061,9
6794,9
34788,9
57724,9
152356,9
24961,9
20546,8
3457,8
64437,8
47948,8
13092,8
208898,8
39392,7
7203,7
33837,7
6698,7
202425,6
206575,6
48254,6
44880,6
29085,6
26666,6
30148,6
202053,6
42681,5
46844,5
38955,5
58046,5
215300,5
42567,5
200386,5
215740,5
32338,5
204601,5
51430,5
207970,5
31080,5
199524,5
6496,4
43037,4
8692,4
200019,4
34931,4
44907,4
401200,4
49714,4
13238,4
59886,4
35744,4
6764,4
213232,4
64407,4
56898,4
40994,4
43547,4
399566,4
27647,4
45090,4
42656,4
57352,3
59524,3
212531,3
34222,3
32780,3
214744,3
398256,3
212792,3
214308,3
24676,3
44306,3
39896,3
33157,3
62068,3
5403,3
44136,3
8585,3
24971,3
206264,3
56682,3
42848,3
200449,3
10480,3
56341,3
20068,3
6939,3
36420,3
207728,3
211922,3
30961,3
14576,3
3320,3
30818,3
15554,3
54994,2
64427,2
213737,2
196752,2
27223,2
41075,2
43614,2
8473,2
51852,2
49172,2
197942,2
139341,2
202492,2
9001,2
212572,2
212548,2
205762,2
201744,2
25234,2
34309,2
47917,2
23576,2
57869,2
14417,2
400754,2
7941,2
29222,2
34779,2
15456,2
34362,2
47447,2
34798,2
16161,2
49815,2
20616,2
24611,2
14824,2
20522,2
12929,2
61976,2
31424,2
36352,2
53850,2
200928,2
25277,2
23421,2
200195,2
61098,2
216154,2
35425,2
6185,2
205913,2
200356,2
203463,2
8231,2
328832,2
29015,2
62243,2
207746,2
39210,2
50980,2
198994,2
398787,2
50198,2
6724,2
48729,2
43427,2
200651,2
34943,2
60592,2
210250,2
60117,2
42186,2
207517,2
13830,2
57788,2
206542,2
39387,2
47195,2
19969,2
2107,2
59774,2
42422,2
137870,2
57595,2
205313,2
12437,2
8481,2
211864,2
39790,2
47524,2
199401,2
206808,2
47846,2
15958,2
34131,2
48040,2
17668,2
17025,2
24600,2
35567,1
202634,1
40021,1
198324,1
207139,1
400513,1
198610,1
216053,1
216014,1
215845,1
35646,1
41690,1
215840,1
20799,1
42216,1
15967,1
53667,1
203506,1
12874,1
65115,1
203417,1
52030,1
15685,1
205193,1
35785,1
49659,1
44932,1
43520,1
196622,1
41916,1
8708,1
202242,1
60368,1
206548,1
2057,1
12488,1
3920,1
209230,1
25393,1
28834,1
29182,1
207069,1
21360,1
215402,1
214640,1
203444,1
42791,1
62563,1
44009,1
197019,1
50410,1
5385,1
43953,1
48689,1
138650,1
206618,1
26752,1
30081,1
44066,1
60435,1
48753,1
57088,1
207697,1
47242,1
211187,1
206344,1
57775,1
1113,1
12306,1
30905,1
47381,1
53824,1
395412,1
61210,1
35704,1
43091,1
197248,1
8375,1
24909,1
42585,1
53755,1
400797,1
199114,1
200608,1
8535,1
43948,1
6720,1
2119,1
59905,1
3330,1
47169,1
39796,1
24482,1
38952,1
44386,1
8001,1
44925,1
34989,1
43351,1
213438,1
51468,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
48571,1
263945,1
8529,1
64126,1
8195,1
10753,1
6057,1
62768,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
23876,1
21245,1
208488,1
30456,1
12640,1
48760,1
216416,1
22169,1
60087,1
39787,1
393874,1
201936,1
12778,1
199218,1
152880,1
39478,1
13442,1
200000,1
25499,1
41121,1
29647,1
203612,1
47881,1
39686,1
51586,1
41970,1
45420,1
33191,1
43359,1
201777,1
213205,1
36080,1
52152,1
8441,1
12993,1
44477,1
399358,1
203877,1
52148,1
43190,1
8288,1
8705,1
201200,1
6656,1
205373,1
44453,1
205453,1
212363,1
38719,1
142592,1
43947,1
6799,1
214390,1
26042,1
202543,1
210656,1
48763,1
59786,1
23522,1
205544,1
38369,1
61144,1
16793,1
50872,1
36459,1
35416,1
37963,1
42948,1
15512,1
207569,1
137409,1
28771,1
204163,1
215206,1
12678,1
44377,1
14340,1
39566,1
29549,1
22720,1
44085,1
56837,1
147168,1
24898,1
6821,1
197874,1
29141,1
207809,1
8262,1
213002,1
20559,1
20523,1
42371,1
139057,1
18905,1
197902,1
59467,1
399629,1
29208,1
200914,1
51013,1
24956,1
199193,1
214813,1
211154,1
9121,1
41543,1
22653,1
29624,1
13091,1
44143,1
197816,1
202115,1
25365,1
21581,1
43641,1
206980,1
44696,1
58212,1
8069,1
206972,1
394745,1
25117,1
51008,1
64999,1
32632,1
198913,1
214124,1
215322,1
208443,1
398033,1
393689,1
7859,1
43927,1
24868,1
5761,1
33083,1
44133,1
8387,1
205607,1
213980,1
210079,1
49126,1
8523,1
31586,1
53332,1
43394,1
50090,1
206871,1
49402,1
50249,1
48326,1
34619,1
42532,1
3209,1
16556,1
57623,1
29166,1
53303,1
202230,1
49127,1
11281,1
54290,1
35280,1
42312,1
34304,1
