asn,nb_hostnames
395747,2571
21664,1022
213120,846
394192,432
394507,363
8075,121
2635,87
39572,68
35540,62
62567,58
204915,54
19551,46
215859,45
53824,44
46606,37
14853,35
31936,34
26496,33
7979,31
264645,27
401200,25
214455,25
63018,24
40824,22
63293,21
36420,19
15317,18
30148,17
133795,14
8560,13
60068,13
22720,13
55033,12
12178,11
26347,11
14441,11
26666,10
59692,10
200325,10
14907,10
20264,10
10480,10
397849,10
215740,9
22612,9
54641,9
25697,8
10929,8
6185,7
202053,7
33265,7
55293,7
27589,7
27647,7
38369,6
50989,6
3457,6
60781,6
6698,6
11139,5
5639,5
12322,5
36080,5
36352,5
49025,5
5761,5
54994,5
199524,5
200019,4
7393,4
210250,4
139341,4
400754,4
37963,4
4258,4
14813,4
58061,4
64437,4
44907,4
6496,4
199218,4
204800,4
2665,3
33157,3
50980,3
30109,3
22194,3
62856,3
39896,3
63410,3
40021,3
7941,3
32632,3
52148,3
13442,3
31727,3
10753,3
6427,3
26978,3
35425,3
214124,3
141995,3
47846,3
49981,3
7859,3
213232,3
17025,3
47002,2
56898,2
51852,2
398402,2
13767,2
23576,2
4373,2
62243,2
3387,2
202425,2
23522,2
215300,2
24482,2
18945,2
400275,2
3920,2
19377,2
36459,2
328832,2
215540,2
33191,2
200449,2
42567,2
3728,2
13601,2
28753,2
23470,2
64999,2
206264,2
211922,2
63993,2
34655,2
46505,2
30689,2
44534,2
49714,2
27223,2
45090,2
35280,2
61969,2
24961,2
399250,2
36850,2
44009,2
13830,2
32780,2
198993,2
28067,2
53667,2
19225,2
200195,2
137409,2
15149,2
48729,2
14472,2
24600,2
17668,2
20033,2
771,2
215730,1
14745,1
33664,1
44160,1
53269,1
27634,1
8705,1
10520,1
60550,1
205193,1
60144,1
35916,1
6432,1
30456,1
200000,1
215402,1
197540,1
62082,1
60047,1
39292,1
31782,1
142592,1
35957,1
46864,1
395467,1
31586,1
49612,1
23422,1
200596,1
802,1
8361,1
48669,1
197816,1
140688,1
16972,1
61323,1
12488,1
24282,1
61976,1
9123,1
210976,1
133050,1
10578,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
8195,1
6057,1
62768,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
262427,1
37251,1
15605,1
19422,1
56696,1
329356,1
1916,1
132602,1
50482,1
9730,1
59467,1
55569,1
40034,1
14824,1
26752,1
200044,1
12678,1
7203,1
139057,1
19785,1
53755,1
201706,1
39239,1
21345,1
34309,1
8312,1
24226,1
14555,1
41690,1
23352,1
401764,1
39202,1
201744,1
263575,1
37153,1
138341,1
208561,1
43641,1
60114,1
11556,1
207970,1
199193,1
51468,1
44477,1
30083,1
19973,1
11773,1
38913,1
32338,1
3768,1
20,1
399566,1
27552,1
398256,1
46475,1
24971,1
4872,1
200508,1
17055,1
32903,1
19720,1
19324,1
53332,1
30361,1
18742,1
59776,1
213737,1
61144,1
11878,1
46562,1
786,1
393874,1
395532,1
55017,1
8987,1
54552,1
22653,1
16839,1
11281,1
45894,1
60592,1
214685,1
27264,1
4150,1
30600,1
216154,1
55081,1
8920,1
9009,1
6192,1
39686,1
27665,1
42699,1
398413,1
393689,1
702,1
54290,1
397550,1
8622,1
19715,1
46844,1
400797,1
53589,1
63444,1
2571,1
216071,1
60527,1
13450,1
30606,1
15699,1
213438,1
36066,1
46130,1
398743,1
9752,1
63362,1
205373,1
24611,1
2514,1
48254,1
23033,1
19110,1
394303,1
15685,1
214390,1
33472,1
200928,1
56341,1
150436,1
40651,1
399358,1
15318,1
40539,1
328174,1
