asn,nb_hostnames
395747,5115
21664,747
394507,428
213120,335
16276,208
204915,172
62567,166
39572,144
3457,141
394192,127
215859,94
139341,90
63932,89
8075,87
22612,66
5545,52
138358,52
214455,43
37963,43
45925,39
395458,39
204450,38
24122,33
63961,32
150142,30
38369,28
23876,28
141995,28
24323,25
63293,25
139016,25
147181,24
49287,24
9230,24
141988,23
7979,22
17668,22
10753,21
328832,21
6496,21
204800,21
17025,20
50482,20
37662,20
41722,20
62768,20
12956,20
328137,20
52167,20
137409,20
19653,20
24482,20
24600,20
28320,20
6762,20
18881,20
56696,20
132337,20
15605,20
28398,20
19422,20
3844,20
1916,20
8195,20
6057,20
263945,20
29066,20
63240,19
52468,19
45352,19
136373,19
6327,19
52320,19
17984,19
8919,19
396390,19
61568,19
29169,19
45517,19
20764,19
2027,19
13786,19
51530,19
196753,19
64475,19
207841,19
270014,19
136620,19
5381,19
23520,19
48641,19
35360,19
8708,19
7589,19
15958,19
2614,19
14016,19
35600,19
38726,19
1031,19
29049,19
36678,19
35598,19
264409,19
52025,19
50628,19
14537,19
205920,19
15802,19
31936,19
19551,19
54994,18
23688,18
26496,17
136233,16
150156,16
202492,16
133795,15
140068,15
63969,15
58923,15
55293,15
26666,14
2635,14
60781,13
135524,13
58527,13
147303,13
12178,12
40824,12
14907,11
58521,11
58061,11
148993,11
27589,11
59692,10
32338,10
133938,10
133070,10
151967,10
46606,9
45090,9
44907,9
23956,9
399883,9
211612,8
150132,8
14853,8
38017,8
52148,7
138601,7
24432,7
36420,7
133430,7
38200,7
32903,6
23923,6
38493,6
136246,6
53850,6
49981,6
58445,6
24389,6
54290,6
38203,6
30148,6
152098,6
26042,6
200019,6
53824,5
45245,5
215300,5
134732,5
13442,5
200449,5
3920,5
59321,5
134204,5
58947,5
58689,5
12322,5
33837,5
55531,5
58826,5
136759,5
56898,5
140688,5
23470,5
24342,5
59253,5
136004,5
133477,5
19969,5
199524,5
22,4
136145,4
153528,4
138578,4
14128,4
136738,4
137947,4
45276,4
14441,4
133890,4
151373,4
38744,4
216014,4
138004,4
138341,4
398256,4
18012,4
48040,4
40065,4
131464,4
6939,4
152698,4
134926,4
397273,4
149659,4
207728,4
63526,4
9651,4
6698,4
135032,3
6185,3
136134,3
58768,3
138362,3
135038,3
202425,3
65251,3
200325,3
142605,3
150078,3
45326,3
134790,3
10480,3
138585,3
138203,3
133854,3
153493,3
210250,3
45532,3
65111,3
140228,3
38592,3
24961,3
