asn,nb_hostnames
395747,3185
21664,1108
213120,872
30961,572
16276,465
394507,349
8075,313
394192,292
2611,162
59943,151
215859,137
31586,92
62567,82
28704,60
19551,58
16326,57
211268,56
39572,53
6848,50
202053,50
28707,50
12322,49
42160,47
200995,44
60781,41
29222,41
6696,37
15703,32
14907,29
31936,28
35744,28
34920,27
51468,25
9208,24
50474,23
49677,21
59692,20
3457,18
197690,18
12640,18
39292,18
14853,18
5545,17
206281,17
40824,17
214455,16
31673,16
15383,16
204915,16
63293,16
25117,15
211612,15
28836,15
205876,14
8560,14
20847,14
6496,12
35280,12
49981,12
24600,11
196752,10
20546,10
8839,10
41960,10
133795,10
31080,10
208058,9
58061,9
200325,9
64437,9
2635,9
35833,9
203148,9
62353,9
59524,9
56837,8
34993,8
39923,8
52130,8
44806,7
56682,7
33157,7
12942,7
1152,7
133409,7
8304,7
57724,7
7979,7
8195,7
57633,6
205644,6
35344,6
53589,6
25273,6
13193,6
41008,6
141995,6
42567,6
20559,6
27589,6
207970,6
202425,6
33837,6
39704,6
51091,6
199636,6
35056,5
208725,5
55293,5
56369,5
45666,5
51696,5
3223,5
29169,5
39804,4
29028,4
1897,4
200353,4
198847,4
39591,4
44696,4
202816,4
6939,4
28747,4
38369,4
48729,4
206656,4
36080,4
53667,4
21221,4
26666,4
213232,4
51888,4
206960,4
8221,4
203640,4
39686,4
41441,4
34788,4
49714,4
13238,4
200386,4
215300,4
43722,4
6698,4
29066,4
210770,4
197540,4
10753,4
2057,4
209349,4
26496,4
44907,3
9150,3
31383,3
28674,3
28685,3
205762,3
5761,3
206264,3
6185,3
6656,3
200019,3
12678,3
42848,3
14441,3
15966,3
12565,3
207728,3
60362,3
24586,3
16236,3
210728,3
212098,3
28753,3
401200,3
48638,3
198058,3
47195,3
13088,3
62068,3
32338,3
48260,3
34144,3
21474,3
41191,3
12392,3
31241,3
6661,3
8708,3
201859,3
35425,3
42656,3
14466,3
201896,3
205585,2
52120,2
47836,2
7941,2
10480,2
25428,2
57168,2
201744,2
398256,2
12843,2
59467,2
201200,2
49494,2
43037,2
33191,2
199777,2
31083,2
51433,2
199218,2
48314,2
8535,2
205215,2
20986,2
27223,2
29405,2
35593,2
207208,2
51852,2
60602,2
400513,2
399566,2
12353,2
204983,2
197902,2
200195,2
213504,2
30148,2
14824,2
199524,2
24971,2
41887,2
19969,2
196724,2
57775,2
47447,2
62297,2
47524,2
59827,2
35332,2
38952,2
8856,2
39241,2
31511,2
39210,2
29001,2
62243,2
34222,2
147168,2
20769,2
4259840705,2
34369,2
12595,2
65115,2
56898,2
3320,2
8312,2
204544,2
42755,2
15480,2
207697,2
211187,2
32780,2
23576,2
49127,2
36420,2
39392,2
59939,2
52030,2
204601,2
6724,2
201085,2
