asn,nb_hostnames
395747,3215
394507,1205
21664,1049
213120,567
35540,561
394192,331
204915,162
8075,146
210403,118
215859,103
62567,101
50474,99
12322,88
327871,70
29222,63
202492,58
39572,54
53589,46
19551,44
200356,43
4200000021,42
8560,40
36420,40
37963,40
2057,40
25543,39
214455,33
63293,29
31936,27
26496,27
22612,26
38369,25
24600,25
44976,24
47846,23
141995,23
34240,20
49287,20
14853,20
60781,19
54994,19
7979,18
15317,18
14907,18
60068,17
55293,16
133795,15
8839,15
49981,15
2635,15
54641,15
46606,14
40824,14
3457,13
2611,13
29169,13
34993,13
14441,12
6496,11
139341,11
200325,11
30148,11
57633,11
12178,10
44907,9
60362,9
10753,9
201896,9
395458,9
204800,9
37008,8
59692,8
8228,8
133618,8
47422,8
26666,7
25117,7
328832,7
58061,7
37577,7
53824,7
45090,6
397273,6
210770,6
150078,6
8195,6
1916,6
200107,6
44009,6
200019,6
28683,6
65001,6
139144,6
202053,6
17668,6
17025,6
199777,5
30961,5
5761,5
62068,5
3844,5
28398,5
18881,5
12956,5
263945,5
6057,5
62768,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
37662,5
15605,5
19422,5
56696,5
50482,5
29608,5
14537,5
202242,5
137409,5
24482,5
376,5
151373,5
31586,5
199524,5
37153,4
34788,4
13442,4
6656,4
199636,4
34863,4
26347,4
51888,4
199729,4
36666,4
61098,4
29066,4
33387,4
21409,4
6185,4
24898,4
35744,4
696,4
8304,4
328721,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
61568,4
200039,4
132045,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
44684,4
35589,4
23520,4
48641,4
35360,4
8708,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
205920,4
15802,4
3920,4
39241,4
200449,4
50446,4
201706,4
58521,4
14466,4
209349,4
199218,4
6698,4
29571,3
52148,3
63410,3
35280,3
212815,3
36352,3
42745,3
46475,3
6427,3
34119,3
139057,3
786,3
36786,3
3296,3
41653,3
44534,3
49714,3
401200,3
16326,3
30983,3
61976,3
202425,3
60855,3
49612,3
28753,3
53667,3
43311,3
34920,3
7941,3
49610,3
27589,3
2665,3
39072,3
48744,3
48729,3
199867,3
22720,3
62979,3
44160,2
205762,2
6738,2
33191,2
11807,2
4258,2
57809,2
20264,2
11878,2
327712,2
199758,2
46864,2
59253,2
48809,2
397849,2
201106,2
40021,2
201936,2
216154,2
394432,2
32338,2
13571,2
40699,2
39444,2
10480,2
10954,2
8346,2
42848,2
59467,2
24691,2
199193,2
36483,2
212490,2
51468,2
8399,2
36459,2
60144,2
3387,2
24961,2
150436,2
12640,2
197696,2
202321,2
9009,2
138341,2
51430,2
15456,2
12565,2
50989,2
50980,2
8069,2
25820,2
45420,2
28810,2
207208,2
13193,2
6713,2
206264,2
31705,2
56341,2
14315,2
64437,2
24611,2
214124,2
26277,2
35425,2
48813,2
36924,2
23576,2
198993,2
60550,2
31178,2
56898,2
45666,2
49352,2
328252,2
329306,2
33930,2
42845,2
1842,2
7203,2
33157,2
213232,2
1152,2
34619,1
36925,1
205461,1
393689,1
49835,1
199167,1
15699,1
198913,1
36912,1
329523,1
39506,1
200532,1
31727,1
37054,1
12678,1
39104,1
22653,1
208520,1
59939,1
37649,1
15489,1
398017,1
50624,1
50583,1
197540,1
44477,1
20900,1
60342,1
203461,1
3768,1
36850,1
393299,1
32494,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
206484,1
216194,1
22953,1
208276,1
62744,1
393874,1
49677,1
41690,1
16972,1
11281,1
37738,1
6848,1
51852,1
52030,1
34222,1
47833,1
62856,1
912,1
210544,1
54606,1
208813,1
8987,1
210275,1
8921,1
21449,1
20580,1
39686,1
15480,1
11041,1
23470,1
25540,1
396073,1
213737,1
12993,1
1776,1
210032,1
208488,1
1764,1
11620,1
47384,1
203544,1
31264,1
39134,1
12333,1
40651,1
29104,1
57352,1
205312,1
328193,1
138152,1
48426,1
25094,1
140290,1
14489,1
60368,1
46981,1
15703,1
205585,1
8659,1
8517,1
55569,1
203417,1
201085,1
10578,1
399358,1
611,1
196763,1
202368,1
3208,1
205435,1
204039,1
37107,1
398256,1
48254,1
140688,1
64512,1
12338,1
213394,1
51970,1
29110,1
56798,1
60527,1
136557,1
44112,1
400130,1
9159,1
19853,1
50979,1
328025,1
197107,1
328853,1
55470,1
328245,1
14824,1
57687,1
36066,1
51269,1
57168,1
20068,1
207326,1
56958,1
152880,1
52130,1
16839,1
2780,1
328010,1
216014,1
29691,1
28977,1
61251,1
27841,1
30058,1
680,1
53850,1
36909,1
60114,1
42730,1
28838,1
39029,1
211392,1
328654,1
24863,1
142592,1
33956,1
61144,1
8739,1
15826,1
42400,1
37693,1
15966,1
29264,1
215300,1
37721,1
211904,1
18905,1
60009,1
7489,1
198691,1
64999,1
32632,1
135905,1
8705,1
58487,1
63760,1
18310,1
53332,1
51013,1
41652,1
214744,1
328709,1
51806,1
208789,1
37163,1
198610,1
37648,1
61168,1
133409,1
44850,1
204846,1
212552,1
34235,1
33676,1
30083,1
20989,1
14576,1
51038,1
202917,1
30340,1
48669,1
198792,1
15817,1
36884,1
31043,1
47836,1
49328,1
48040,1
14472,1
15318,1
210079,1
43641,1
203976,1
20546,1
19983,1
400797,1
24971,1
51894,1
2514,1
216353,1
35258,1
214390,1
14415,1
394277,1
42422,1
50517,1
29302,1
37385,1
1835,1
239,1
208353,1
27264,1
4150,1
30600,1
47300,1
54467,1
41410,1
9752,1
34019,1
328867,1
57344,1
29182,1
42567,1
32097,1
44239,1
32903,1
30361,1
208128,1
62243,1
207970,1
65002,1
31992,1
