asn,nb_hostnames
395747,3560
201200,1615
21664,459
213120,409
215859,398
394507,295
197216,262
35540,163
31083,154
394192,151
57344,139
8866,129
60230,94
8672,87
62567,85
39572,77
8075,66
204915,52
44901,40
32338,40
8262,38
202634,36
8739,34
60781,30
14907,29
31936,28
12564,27
15317,26
141995,26
214455,24
49612,24
59692,22
25374,21
44586,20
49981,19
9070,19
6802,18
202543,17
58061,17
19551,17
16344,17
47748,17
61976,17
9009,16
59467,16
63293,16
51025,15
40824,15
133795,14
13147,14
207970,13
12322,13
52130,12
5421,12
35480,12
209922,12
207728,12
60068,12
28753,11
2635,11
44534,10
49714,10
31440,10
39163,10
49815,10
8560,10
7979,10
14853,10
395458,9
29066,8
43037,8
8708,8
200325,8
51852,8
12824,8
200019,8
48040,8
47422,8
204800,8
25554,7
204601,7
47195,7
64437,7
27589,7
6496,7
31080,7
24600,7
31369,6
328832,6
31298,6
139341,6
58153,6
20546,6
50482,6
197604,6
42295,6
41722,6
8431,6
202425,6
24971,6
199364,6
50989,6
26666,6
44696,6
50020,6
17668,6
197540,6
59872,6
60047,5
198627,5
44805,5
30818,5
59546,5
215300,5
37963,5
24482,5
35464,5
17025,5
37662,5
10753,5
62768,5
12956,5
328137,5
137409,5
19653,5
28320,5
6762,5
18881,5
56696,5
132337,5
15605,5
28398,5
19422,5
3844,5
1916,5
8195,5
6057,5
263945,5
15685,5
35489,5
214308,5
51605,5
39392,5
44907,4
200628,4
47453,4
44477,4
35011,4
212023,4
12962,4
57619,4
8288,4
62243,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
49287,4
19782,4
61568,4
29169,4
200039,4
132045,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
44684,4
35589,4
23520,4
48641,4
35360,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
4134,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
200449,4
16193,4
51859,4
29256,4
199524,4
212531,4
56682,4
206566,4
6698,4
14441,4
28949,4
36420,4
42567,4
60168,4
8569,4
48155,3
29085,3
51581,3
31527,3
12178,3
197069,3
47849,3
8808,3
200000,3
43641,3
60916,3
49352,3
29582,3
42794,3
8400,3
211381,3
59939,3
206264,3
48729,3
60560,3
34222,3
8745,3
25472,3
44880,3
21337,3
213232,3
45007,3
49346,3
198744,3
29208,3
210746,3
42848,3
55293,3
22612,3
210756,3
57788,3
56771,3
203484,3
43298,3
56898,3
3245,3
197055,3
42049,3
15512,3
200400,3
24961,3
198203,3
57098,3
20616,3
26496,3
46606,2
199968,2
7941,2
212792,2
44017,2
8535,2
29182,2
204544,2
216014,2
9121,2
50979,2
62160,2
199001,2
206980,2
44201,2
5761,2
216346,2
57352,2
6427,2
5377,2
23576,2
60859,2
34931,2
57840,2
31586,2
8856,2
31287,2
34360,2
54290,2
12436,2
61400,2
9123,2
210656,2
12795,2
210024,2
42191,2
29080,2
41292,2
201012,2
47521,2
201744,2
48314,2
7203,2
34309,2
42216,2
62068,2
42910,2
33853,2
401200,2
48745,2
31708,2
214890,2
203053,2
59524,2
39357,2
53667,2
25166,2
34395,2
204039,2
204770,2
14956,2
200651,2
35744,2
205865,2
60656,2
50506,2
12640,2
31140,2
47524,2
8920,2
198280,2
51954,2
44886,2
197746,2
210250,2
64999,2
32632,2
39505,2
16236,2
34491,2
20911,2
30083,2
213737,2
49737,2
205762,2
43548,2
202561,2
3209,2
60602,2
198259,2
44310,2
208032,2
8734,2
199132,2
201706,2
29222,2
34340,2
44796,2
60955,2
34788,2
24595,2
42240,2
42656,2
56864,1
58010,1
44247,1
24909,1
41537,1
204548,1
51430,1
52011,1
29405,1
205373,1
47890,1
51304,1
216154,1
43091,1
47647,1
210644,1
50980,1
43043,1
56856,1
211922,1
6724,1
208128,1
25393,1
11281,1
53332,1
35704,1
48896,1
207697,1
12555,1
33083,1
42532,1
60922,1
395162,1
48757,1
50517,1
201471,1
209847,1
41690,1
24611,1
35293,1
40994,1
29667,1
197050,1
399358,1
12993,1
35448,1
49421,1
16839,1
206718,1
211864,1
50474,1
7859,1
44112,1
198610,1
6793,1
42100,1
27223,1
207640,1
50448,1
202492,1
215845,1
47174,1
49604,1
42800,1
203578,1
203444,1
35785,1
12713,1
50214,1
54643,1
10480,1
39134,1
50313,1
49676,1
34369,1
204949,1
6185,1
39020,1
15817,1
207148,1
210624,1
14466,1
31435,1
198482,1
60441,1
206548,1
35280,1
207304,1
200532,1
21288,1
43896,1
47544,1
58065,1
8069,1
3187,1
34342,1
30961,1
31577,1
61102,1
47169,1
63362,1
24676,1
45090,1
12525,1
15149,1
214813,1
197168,1
56322,1
14340,1
48894,1
12678,1
49072,1
41610,1
60447,1
215402,1
210992,1
51008,1
208488,1
197304,1
44009,1
198202,1
34798,1
60248,1
210275,1
202357,1
201512,1
202816,1
46844,1
42422,1
41352,1
43944,1
213306,1
215266,1
199218,1
8751,1
58219,1
205585,1
14576,1
49127,1
6848,1
201079,1
29691,1
62037,1
39024,1
400797,1
25394,1
35425,1
38952,1
134963,1
20799,1
206765,1
43927,1
63993,1
210646,1
53292,1
54994,1
29122,1
60580,1
200195,1
213438,1
59934,1
3920,1
13172,1
197431,1
30148,1
207362,1
60368,1
44932,1
56462,1
20523,1
42371,1
209524,1
213995,1
13627,1
29686,1
43427,1
61272,1
12437,1
64427,1
34989,1
39796,1
61065,1
12417,1
209150,1
56837,1
207809,1
39737,1
60089,1
202242,1
57305,1
53264,1
202368,1
198938,1
56655,1
206645,1
60457,1
65115,1
395409,1
44672,1
51468,1
45559,1
202053,1
9080,1
34594,1
203390,1
57152,1
15456,1
201768,1
393874,1
51577,1
205948,1
207826,1
44370,1
49176,1
20988,1
44094,1
47577,1
42775,1
2057,1
48689,1
42655,1
393689,1
50837,1
32780,1
63473,1
30081,1
44386,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
200386,1
50090,1
21581,1
203864,1
5472,1
52148,1
49950,1
48917,1
12796,1
209736,1
21245,1
39686,1
198745,1
39798,1
57629,1
202115,1
40509,1
208443,1
39790,1
202690,1
216139,1
42160,1
199221,1
212136,1
61306,1
398787,1
205193,1
48965,1
9028,1
43211,1
42846,1
31014,1
12593,1
42681,1
202043,1
196674,1
2780,1
213205,1
60232,1
51433,1
29389,1
214390,1
199512,1
43128,1
29622,1
58521,1
36459,1
33191,1
48746,1
34577,1
39104,1
