asn,nb_hostnames
395747,4958
21664,1190
213120,791
394507,299
394192,261
204915,177
8075,144
16276,131
39572,124
5545,102
215859,85
62567,75
19551,51
26496,51
31936,40
7979,40
214455,39
22612,36
40824,33
46606,32
3457,30
30148,29
2635,25
63293,22
14907,22
141995,22
27589,22
60781,22
14441,20
37963,20
211612,19
148000,19
54641,19
35280,18
59692,17
395458,15
32338,14
213232,14
14853,14
209752,13
133795,13
36420,13
201768,13
8960,12
200325,12
26666,12
8560,12
38369,12
397849,11
13442,11
9829,11
40699,11
12178,11
55293,10
53824,10
10753,10
204800,10
139341,9
204200,9
63410,9
48109,9
205585,9
139144,9
10480,9
62068,9
17668,9
202425,8
49981,8
10297,8
61976,8
52148,7
39273,7
58061,7
51433,7
200019,7
133037,7
56898,7
57724,7
9730,7
6496,7
3920,7
45644,7
49714,6
13238,6
39015,6
45090,6
215322,6
215300,6
48434,6
44907,6
6939,6
33837,6
26347,6
328832,6
202368,6
12322,6
35425,6
34400,6
210275,5
8069,5
207208,5
199729,5
35019,5
42567,5
64437,5
48254,5
204034,5
3844,5
28398,5
18881,5
12956,5
263945,5
8195,5
6057,5
62768,5
17025,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
37662,5
24600,5
15605,5
19422,5
56696,5
1916,5
50482,5
6185,5
49287,5
199524,5
207970,4
53292,4
62243,4
17436,4
786,4
206264,4
40009,4
63932,4
36080,4
49610,4
138341,4
24961,4
45773,4
18229,4
29066,4
398256,4
46844,4
211922,4
19324,4
393299,4
32494,4
201106,4
14117,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
327788,4
132602,4
6698,4
204450,4
62048,3
215740,3
54994,3
204206,3
46475,3
400754,3
19905,3
35457,3
7941,3
14466,3
34369,3
48832,3
141477,3
204601,3
51905,3
203378,3
394695,3
37728,3
7203,3
58521,3
60248,3
132420,3
29684,3
53667,3
5761,3
52167,3
137409,3
24482,3
38264,3
15802,3
22720,3
51852,2
36066,2
216154,2
965,2
393689,2
38617,2
201744,2
23576,2
198993,2
200651,2
13830,2
30058,2
59253,2
24611,2
401200,2
208520,2
147303,2
208710,2
55470,2
42186,2
28885,2
22560,2
210250,2
14576,2
60885,2
21002,2
207728,2
43641,2
200449,2
14824,2
151373,2
49676,2
7544,2
134888,2
40021,2
9583,2
138424,2
133185,2
57168,2
211942,2
30818,2
137978,2
400275,2
57344,2
27223,2
200195,2
213438,2
46130,2
59323,2
213797,2
59451,2
132193,2
215845,2
9752,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
8919,2
396390,2
61568,2
29169,2
45517,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
5381,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
36678,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
36459,2
33191,2
39651,2
134251,2
28753,2
59771,2
204544,2
56126,2
36057,2
202053,2
202024,2
35753,2
42848,2
33182,2
23470,2
7715,2
32097,2
61102,2
20756,2
42532,2
199218,2
9764,2
197540,2
207809,1
60114,1
133128,1
49474,1
19973,1
33676,1
44386,1
2514,1
53850,1
151704,1
43955,1
141504,1
24971,1
203147,1
400797,1
48729,1
11281,1
57900,1
31727,1
27064,1
212552,1
152880,1
60144,1
50041,1
138650,1
58487,1
50010,1
394437,1
512,1
13627,1
8001,1
60012,1
138233,1
33854,1
205762,1
65115,1
132943,1
2665,1
36114,1
53332,1
4769,1
393874,1
211864,1
205435,1
215402,1
59467,1
198610,1
51182,1
197019,1
18222,1
134963,1
62755,1
132557,1
44094,1
141004,1
212792,1
133666,1
141388,1
9121,1
136252,1
140688,1
31276,1
205544,1
41690,1
36850,1
23421,1
49240,1
21050,1
136184,1
55720,1
212216,1
201896,1
14472,1
27647,1
57775,1
9155,1
23674,1
7393,1
399250,1
33387,1
196763,1
63444,1
13601,1
57352,1
134909,1
44066,1
5576,1
18209,1
44932,1
63199,1
56714,1
43766,1
35568,1
38799,1
398787,1
137104,1
141518,1
197816,1
133719,1
39686,1
29605,1
35313,1
1897,1
137854,1
50979,1
205193,1
45221,1
34931,1
29302,1
38913,1
198792,1
34282,1
4775,1
30277,1
30083,1
201484,1
214390,1
13041,1
5852,1
23999,1
45894,1
135086,1
132224,1
135222,1
31458,1
14113,1
13886,1
60718,1
8361,1
25465,1
32780,1
137670,1
139016,1
211904,1
198032,1
39134,1
23352,1
43091,1
35258,1
9123,1
3387,1
3225,1
200851,1
208161,1
216014,1
397273,1
200000,1
41231,1
138767,1
135205,1
207569,1
50722,1
60582,1
150436,1
205588,1
61144,1
62744,1
205373,1
58212,1
133430,1
40651,1
2571,1
63760,1
214744,1
135423,1
198913,1
137130,1
50517,1
147237,1
29757,1
38224,1
25184,1
19969,1
5377,1
132335,1
202492,1
197553,1
57088,1
48763,1
34947,1
133256,1
35179,1
26042,1
38196,1
59939,1
59796,1
13984,1
200928,1
56341,1
55106,1
58294,1
43378,1
206596,1
31586,1
7859,1
50980,1
27473,1
327766,1
49352,1
34222,1
47524,1
64422,1
27264,1
4150,1
30600,1
205554,1
14315,1
204770,1
23522,1
131138,1
23876,1
56872,1
44009,1
39560,1
32903,1
39825,1
8473,1
63993,1
12678,1
35744,1
8705,1
7590,1
60050,1
43211,1
59441,1
216071,1
204050,1
208488,1
22653,1
399358,1
24440,1
9009,1
62563,1
202521,1
328553,1
50837,1
45829,1
131283,1
203976,1
135523,1
22169,1
203214,1
131341,1
63362,1
328654,1
24863,1
136659,1
36352,1
214124,1
