asn,nb_hostnames
395747,3789
21664,1142
213120,616
35540,519
394507,449
394192,303
204915,224
28683,170
8075,160
215859,152
210403,131
65001,111
62567,105
50474,100
2057,95
12322,78
22612,69
39572,57
19551,52
141995,51
53589,47
37963,47
8560,46
29222,43
47846,42
214455,38
202492,35
2635,33
31936,32
63293,31
36420,28
38369,25
24600,21
26496,20
14853,19
7979,18
14907,17
34240,17
204800,17
60781,16
57633,16
49287,16
30148,15
8839,15
133795,15
29169,15
60068,14
26666,13
49981,13
2611,12
59692,11
6496,11
40824,11
44907,10
8228,10
200356,9
327818,9
54641,9
14441,9
34788,9
200019,9
55293,9
139341,9
15317,9
46606,9
200325,9
37424,8
4200000021,8
58061,8
28753,8
25117,8
34993,8
3457,7
139144,7
50989,7
53824,7
376,7
12178,7
210770,7
60362,7
31586,7
203461,7
395458,7
6698,7
54994,6
39072,6
328832,6
60855,6
14555,6
30961,6
12640,6
202053,6
202425,6
55470,6
45090,6
8195,6
47422,6
202242,5
62068,5
35280,5
200107,5
397273,5
10753,5
1916,5
40021,5
44009,5
9009,5
53667,5
150078,5
49610,5
50980,5
17025,5
17668,5
209349,5
199524,5
199218,5
49612,4
37153,4
13442,4
23352,4
21409,4
2665,4
199777,4
24482,4
8304,4
15826,4
40699,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
200039,4
137409,4
19653,4
28320,4
6762,4
18881,4
56696,4
132337,4
15605,4
28398,4
19422,4
3844,4
6057,4
263945,4
13193,4
4258,4
60144,4
5761,4
24691,4
48744,4
10480,4
48729,4
6185,4
205435,4
15456,4
44534,4
49714,4
36666,4
199636,4
3387,3
32338,3
52148,3
133719,3
3920,3
58294,3
48809,3
14489,3
214124,3
199729,3
200449,3
27589,3
397849,3
12678,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
9015,3
19782,3
61568,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
401200,3
34119,3
36786,3
20264,3
33191,3
44160,3
61098,3
51468,3
8069,3
45666,3
6724,3
50446,3
14466,3
205762,3
16326,3
42848,3
51304,3
41653,3
199758,3
29066,3
6427,3
51888,3
30886,3
34863,3
328252,3
43311,3
26347,3
201936,3
44477,3
7941,3
201896,3
14472,3
38365,3
213232,3
201706,2
46864,2
6656,2
64437,2
207970,2
60922,2
133618,2
208128,2
206264,2
51970,2
39444,2
197562,2
11807,2
26277,2
42567,2
46844,2
6738,2
15817,2
28704,2
39104,2
51269,2
62563,2
56958,2
11878,2
36352,2
37385,2
6713,2
397423,2
36459,2
19648,2
216353,2
36924,2
14315,2
328702,2
58521,2
399358,2
139057,2
51430,2
51894,2
48813,2
3296,2
48703,2
34920,2
25543,2
328098,2
33157,2
39020,2
680,2
197540,2
36114,2
696,2
17289,2
62243,2
56341,2
46475,2
198913,2
8346,2
49352,2
212772,2
34931,2
52130,2
35425,2
8920,2
34235,2
30983,2
24961,2
199867,2
207208,2
327979,2
19853,2
36818,2
328709,2
45420,2
19983,2
216154,2
56898,2
208353,2
39241,2
57809,2
213394,2
23576,2
786,2
37010,2
36995,2
31178,2
7203,2
206672,2
22720,2
42240,2
51433,1
30982,1
35744,1
2514,1
42924,1
13273,1
211392,1
204050,1
13041,1
50881,1
198385,1
63362,1
44166,1
33956,1
199236,1
22653,1
211611,1
48254,1
20546,1
18905,1
8100,1
211864,1
3768,1
209003,1
199483,1
4694,1
39686,1
13571,1
20529,1
210544,1
29571,1
44880,1
50517,1
132335,1
198032,1
207697,1
42745,1
198610,1
33930,1
329107,1
30999,1
328147,1
23044,1
1836,1
57344,1
212490,1
43142,1
9123,1
24611,1
202321,1
22953,1
28810,1
27500,1
7684,1
17363,1
36891,1
203412,1
41231,1
63410,1
24971,1
25094,1
55688,1
203976,1
29608,1
39239,1
204145,1
61251,1
3259,1
199790,1
199712,1
1776,1
10578,1
203612,1
10954,1
138341,1
9829,1
205585,1
31124,1
5467,1
37649,1
205544,1
8262,1
42106,1
212815,1
9752,1
59253,1
30475,1
18310,1
210032,1
52120,1
132824,1
11281,1
44493,1
198184,1
56798,1
8399,1
58487,1
41690,1
43948,1
214677,1
395092,1
51392,1
14824,1
15966,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
53038,1
31043,1
41191,1
49328,1
398017,1
42422,1
37054,1
35344,1
51852,1
201085,1
62744,1
36080,1
202368,1
49835,1
29302,1
2780,1
18229,1
400275,1
53755,1
150436,1
61144,1
23522,1
209847,1
29691,1
9208,1
48594,1
42868,1
37648,1
25504,1
50979,1
60550,1
142592,1
216194,1
60032,1
18779,1
45037,1
398256,1
16128,1
57352,1
142002,1
36884,1
56302,1
133409,1
4608,1
34360,1
55569,1
58182,1
400797,1
29110,1
206972,1
41410,1
26441,1
24898,1
213535,1
28838,1
39029,1
59674,1
44136,1
47300,1
36850,1
205461,1
40651,1
15318,1
204039,1
48140,1
204846,1
214390,1
214119,1
48596,1
15480,1
35258,1
41233,1
60114,1
59925,1
48040,1
197161,1
40539,1
239,1
20900,1
393689,1
57687,1
9583,1
200313,1
12525,1
203417,1
215300,1
42730,1
398346,1
214744,1
29264,1
20495,1
47836,1
611,1
34222,1
200651,1
15703,1
777,1
20989,1
197696,1
9159,1
63447,1
8705,1
30295,1
23470,1
327712,1
208276,1
53850,1
55943,1
393845,1
20616,1
1835,1
138995,1
135905,1
137,1
37577,1
198792,1
3359,1
30990,1
12565,1
53332,1
394277,1
200195,1
213438,1
39506,1
39134,1
15964,1
30058,1
199167,1
201579,1
210848,1
203639,1
37292,1
29465,1
20068,1
209042,1
131353,1
62416,1
20580,1
197664,1
42845,1
329523,1
57580,1
327746,1
14415,1
31577,1
34798,1
210250,1
207569,1
151373,1
393874,1
198993,1
207108,1
