asn,nb_hostnames
395747,599
213120,337
21664,312
394192,173
394507,145
8075,37
2635,28
401200,20
53824,20
62567,18
14853,18
26496,15
39572,14
31936,11
63293,11
19551,11
214455,9
211612,9
215859,8
200325,8
46606,8
54641,8
11269,7
133795,6
204915,5
7979,5
35425,5
400754,4
14907,4
201595,4
36420,4
16276,4
134286,3
12178,3
60781,3
6496,3
5761,3
399566,3
6185,3
393440,3
27653,3
8560,3
22720,3
3387,2
12488,2
7941,2
215846,2
5545,2
13601,2
3457,2
14441,2
48254,2
61323,2
26347,2
33157,2
44907,2
30148,2
17668,2
20033,2
19626,1
26752,1
393689,1
15685,1
51468,1
13791,1
200195,1
213438,1
6698,1
6419,1
34655,1
32338,1
13767,1
577,1
54643,1
4258,1
18945,1
18738,1
393874,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
328832,1
8195,1
10753,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
6939,1
24600,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
36692,1
394112,1
24482,1
22169,1
22653,1
26666,1
58061,1
33191,1
138341,1
205373,1
15699,1
13450,1
4373,1
22194,1
36459,1
61969,1
55293,1
399358,1
53332,1
32632,1
395532,1
55081,1
50980,1
64437,1
41690,1
52130,1
27267,1
46475,1
17252,1
23470,1
12640,1
62856,1
22560,1
48669,1
11281,1
34931,1
33182,1
24611,1
31727,1
42400,1
30109,1
400797,1
7859,1
40831,1
214390,1
38369,1
