asn,nb_hostnames
395747,4551
21664,1220
213120,769
394192,474
394507,468
4617,174
8075,128
204915,126
16276,125
39572,110
62567,106
7979,101
2635,78
38369,63
19551,59
5545,58
215859,57
37963,52
214455,37
14853,33
40824,32
31936,31
133795,30
14907,28
9986,27
211612,25
139341,24
46606,23
138341,22
63293,22
204800,21
26496,19
4769,18
30148,17
60781,17
10101,16
22612,16
59692,16
55720,16
54641,16
132372,15
200325,15
45420,14
54994,13
27589,13
45352,13
12178,13
45090,13
58061,12
32338,11
141995,11
24211,10
151373,10
57724,9
13442,9
141201,9
44907,9
131138,9
401200,8
36057,8
17992,8
59253,8
10753,8
6698,8
17668,8
9009,7
49714,7
13238,7
33837,7
6496,7
26666,7
200019,7
38719,7
395458,7
3920,6
29066,6
397849,6
202425,6
132200,6
36420,6
63199,6
398256,6
23576,6
24600,6
55532,5
49981,5
5761,5
12322,5
4837,5
139144,5
135905,5
328832,5
4634,5
62068,5
8560,5
214124,5
60144,5
27647,4
150172,4
139057,4
147168,4
23352,4
61976,4
3844,4
28398,4
18881,4
12956,4
263945,4
8195,4
6057,4
62768,4
17025,4
132337,4
19653,4
6762,4
328137,4
41722,4
28320,4
37662,4
6939,4
15605,4
19422,4
56696,4
1916,4
50482,4
9730,4
14576,4
59210,4
200651,4
62243,4
64437,4
55951,4
150436,4
215846,4
47846,4
9930,4
11878,4
6185,4
215300,4
3457,4
24482,4
206264,4
56898,4
199524,4
9764,4
7203,3
131603,3
45898,3
36066,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
327788,3
132602,3
24282,3
22560,3
30058,3
7859,3
55293,3
53667,3
198032,3
397273,3
38019,3
137409,3
211922,3
37936,3
9123,3
50980,3
35425,3
132634,3
9760,3
40021,3
42567,3
139456,3
53824,3
27223,3
10480,3
24572,3
201744,3
14441,3
8069,3
9505,3
7941,3
36678,3
199218,3
400275,2
137718,2
4835,2
140688,2
207970,2
132198,2
24961,2
23421,2
13830,2
4258,2
7544,2
216154,2
26347,2
48040,2
48254,2
36352,2
36459,2
34388,2
20068,2
40009,2
135054,2
137539,2
23693,2
136080,2
204601,2
14315,2
22720,2
17564,2
138608,2
42532,2
131723,2
213232,2
45474,2
33191,2
45894,2
34655,2
132241,2
134963,2
45644,2
24396,2
53303,2
138148,2
23816,2
55688,2
198610,2
396986,2
58487,2
215740,2
132193,2
58619,2
46016,2
147303,2
49287,2
204450,2
56872,1
142592,1
214744,1
15699,1
11281,1
9728,1
4808,1
53332,1
46475,1
134481,1
45721,1
59467,1
4761,1
205373,1
47002,1
63932,1
12488,1
63362,1
19969,1
201706,1
57088,1
215206,1
136188,1
212490,1
215402,1
140290,1
136959,1
23724,1
58212,1
29091,1
200195,1
213438,1
198792,1
210976,1
400724,1
214677,1
328174,1
46440,1
131704,1
208176,1
131623,1
393874,1
46844,1
10578,1
56111,1
133014,1
61210,1
24971,1
45712,1
135473,1
55470,1
33157,1
59939,1
4872,1
215845,1
37153,1
214390,1
9752,1
211864,1
41690,1
30109,1
132652,1
200508,1
26042,1
11915,1
7671,1
786,1
13041,1
61144,1
19324,1
395532,1
46981,1
141120,1
204050,1
44009,1
208561,1
23979,1
29757,1
18522,1
35280,1
51468,1
400797,1
30456,1
8657,1
48669,1
200440,1
395162,1
7393,1
23033,1
14824,1
4818,1
138650,1
54290,1
18229,1
133050,1
49352,1
135496,1
216071,1
44066,1
152645,1
46786,1
51852,1
23999,1
63444,1
7506,1
140766,1
38731,1
399566,1
135423,1
135387,1
8361,1
202368,1
136191,1
58563,1
2514,1
213848,1
30961,1
35179,1
39560,1
12678,1
137552,1
398743,1
400513,1
134809,1
8705,1
393689,1
33664,1
212792,1
55081,1
17841,1
31586,1
29182,1
42106,1
131775,1
17409,1
132571,1
18905,1
56140,1
394230,1
7715,1
24611,1
44094,1
30083,1
215730,1
7684,1
132111,1
207728,1
200000,1
14361,1
134888,1
205193,1
60527,1
50517,1
63240,1
52468,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
29169,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
5381,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
201755,1
15703,1
47447,1
26277,1
207809,1
133210,1
135360,1
7678,1
7713,1
45344,1
3768,1
39134,1
27264,1
4150,1
30600,1
30361,1
197019,1
39686,1
399358,1
60114,1
131965,1
44477,1
54288,1
11106,1
3361,1
21840,1
10122,1
53755,1
62082,1
14935,1
56325,1
22049,1
142160,1
133843,1
38182,1
131921,1
22653,1
17895,1
6724,1
9688,1
50474,1
216047,1
148000,1
215540,1
131283,1
23522,1
14113,1
207208,1
43641,1
137978,1
46864,1
131745,1
208488,1
140456,1
55106,1
135445,1
40509,1
38631,1
133810,1
60885,1
45945,1
32097,1
394603,1
199867,1
36850,1
206972,1
10010,1
