asn,nb_hostnames
395747,3863
21664,1111
213120,549
394507,447
394192,338
6568,271
35540,252
26210,245
23352,183
204915,168
62567,124
27882,123
8075,120
215859,100
27828,70
39572,70
46606,56
272913,52
22612,49
19551,48
60068,40
26496,38
40021,37
53824,37
8560,36
14441,36
31936,35
2635,35
141995,34
15317,31
133795,29
37963,27
63293,25
214455,25
26666,25
40824,25
30148,23
48254,23
7979,23
204800,22
3457,21
12178,21
213232,21
54641,20
14853,20
36420,19
205193,19
25620,18
10480,17
60781,17
59692,16
263709,15
14907,15
38369,15
264858,14
53667,14
39020,14
200325,12
12322,12
52340,11
42532,11
55293,10
200019,10
49612,10
139341,10
10753,10
27589,9
58521,9
11664,9
17668,9
27823,8
61458,8
49981,8
42612,8
28024,8
46844,8
33182,8
31577,8
53755,7
215300,7
26347,7
14117,7
30961,7
6427,7
200521,7
50989,7
271906,7
25354,7
64437,7
13442,7
17025,7
6698,7
61317,6
44901,6
19648,6
401200,6
44907,6
58061,6
6057,6
61976,6
328832,6
395458,6
24600,6
199524,6
202425,5
150078,5
14555,5
23470,5
3844,5
28398,5
18881,5
12956,5
263945,5
8195,5
62768,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
6496,5
37662,5
15605,5
19422,5
56696,5
1916,5
50482,5
262161,5
56958,5
214124,5
203976,5
270090,5
45090,5
29066,5
206264,5
7203,5
22720,5
24961,4
5761,4
10954,4
139144,4
11014,4
22185,4
63473,4
56898,4
18747,4
393299,4
32494,4
201106,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
329356,4
132602,4
9730,4
23576,4
29182,4
30083,4
202242,4
200960,4
9764,4
203178,3
1251,3
271803,3
13601,3
205796,3
267685,3
54994,3
25697,3
60144,3
50980,3
30277,3
52250,3
36066,3
207970,3
151373,3
3352,3
266745,3
2514,3
35280,3
6185,3
264612,3
265647,3
52580,3
40699,3
7859,3
27223,3
10983,3
394353,3
49635,3
265670,3
42567,3
30340,3
49714,3
44534,3
273584,3
215845,3
62068,3
14576,3
7941,3
49287,3
771,3
398256,3
9094,3
52368,2
28250,2
265779,2
30058,2
138341,2
11807,2
44128,2
11432,2
9123,2
197712,2
201744,2
397423,2
24572,2
4258,2
397273,2
264747,2
59253,2
47195,2
63760,2
10929,2
200000,2
206102,2
28008,2
27647,2
16814,2
51852,2
33157,2
202492,2
2057,2
24611,2
198968,2
264713,2
32338,2
57542,2
3132,2
7393,2
215322,2
62243,2
139057,2
16556,2
22653,2
24482,2
33191,2
1797,2
216154,2
272041,2
200320,2
34222,2
46475,2
199968,2
8069,2
198066,2
211922,2
264690,2
51433,2
206980,2
9760,2
207728,2
266723,2
212792,2
23140,2
137409,2
8708,2
32780,2
200449,2
61475,2
197540,2
60550,2
17147,2
63199,2
29169,2
61745,2
265756,2
63410,2
278,2
198610,2
33664,2
54290,2
36459,2
24971,2
33676,2
35589,2
47422,2
42240,2
13348,2
22445,1
6724,1
42422,1
22860,1
23522,1
35425,1
200107,1
63018,1
399566,1
49127,1
31424,1
393874,1
28291,1
2708,1
56803,1
207569,1
26277,1
12976,1
31586,1
15149,1
399358,1
35744,1
16839,1
28604,1
52355,1
206216,1
52489,1
263173,1
40476,1
18450,1
3920,1
27264,1
4150,1
30600,1
214390,1
28526,1
44477,1
205762,1
65115,1
28839,1
41231,1
200195,1
213438,1
11281,1
267703,1
200532,1
63993,1
21472,1
43641,1
262168,1
142592,1
61144,1
23383,1
400513,1
54288,1
57,1
152880,1
23816,1
14113,1
396356,1
204601,1
265880,1
400304,1
34699,1
62744,1
212332,1
398743,1
273161,1
51894,1
200651,1
3597,1
198032,1
15201,1
15703,1
60527,1
52488,1
53157,1
200508,1
35112,1
29222,1
29014,1
965,1
37153,1
8312,1
21612,1
204039,1
210630,1
207809,1
3790,1
39686,1
16496,1
394432,1
202054,1
28810,1
19373,1
269959,1
215740,1
214308,1
10277,1
41976,1
8739,1
41541,1
15479,1
216014,1
26752,1
8048,1
28838,1
39029,1
42656,1
34309,1
46864,1
215905,1
63362,1
53107,1
204655,1
28753,1
264630,1
264626,1
133618,1
8473,1
39825,1
150436,1
30937,1
48040,1
12357,1
13440,1
52318,1
36080,1
198792,1
397849,1
4694,1
57088,1
10578,1
44998,1
26218,1
43962,1
3273,1
271860,1
58212,1
57352,1
53055,1
55272,1
34119,1
198913,1
39134,1
23876,1
395906,1
61210,1
197876,1
393689,1
11831,1
48324,1
262256,1
16701,1
34282,1
200514,1
212096,1
208488,1
3387,1
206407,1
395226,1
48763,1
22169,1
266660,1
400275,1
52438,1
60945,1
131965,1
394303,1
55081,1
211864,1
61098,1
30361,1
400754,1
33083,1
9752,1
27843,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
23520,1
48641,1
35360,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
265171,1
20068,1
27267,1
202053,1
14824,1
263237,1
266475,1
265839,1
12824,1
41690,1
12678,1
36850,1
58487,1
37936,1
34655,1
208769,1
199218,1
197019,1
28977,1
210250,1
198096,1
8065,1
56872,1
15083,1
216047,1
18945,1
28209,1
60922,1
215402,1
12993,1
64114,1
46440,1
28103,1
138650,1
12640,1
200784,1
9009,1
36352,1
42220,1
209984,1
47846,1
11106,1
3361,1
53332,1
213737,1
34432,1
15699,1
55593,1
18779,1
52335,1
45420,1
19853,1
47447,1
27651,1
2497,1
2780,1
52495,1
42730,1
53038,1
396073,1
30880,1
7671,1
19969,1
8987,1
265652,1
