asn,nb_hostnames
395747,252
213120,172
21664,116
394507,64
394192,53
8075,27
62567,23
31586,10
39572,9
31936,9
2635,8
63293,8
16276,7
215859,7
26496,7
14853,7
206281,6
19551,5
41887,5
39292,5
14907,5
60781,4
39704,4
20847,4
35744,4
33837,4
211612,4
58061,4
6724,3
62353,3
39686,3
30961,3
53824,3
214455,2
8560,2
26347,2
3457,2
401200,2
52389,2
133795,2
3223,2
204800,2
25697,2
62003,2
31673,2
205876,2
36066,2
14415,2
196752,2
11816,2
204915,2
24595,2
12640,1
6185,1
41690,1
33157,1
15685,1
48645,1
42567,1
5761,1
199193,1
36459,1
25599,1
44907,1
22612,1
18945,1
1152,1
7979,1
7941,1
204983,1
393874,1
8739,1
24586,1
34655,1
50980,1
209377,1
29001,1
29097,1
63905,1
200325,1
28836,1
212098,1
207647,1
33512,1
52391,1
64437,1
46606,1
32780,1
51468,1
702,1
26505,1
18747,1
11281,1
28685,1
200428,1
202553,1
21221,1
7859,1
139144,1
211041,1
