asn,nb_hostnames
395747,5024
21664,1364
213120,511
394507,254
8075,212
52580,168
394192,145
16276,109
3457,93
19551,85
204915,78
1916,72
10954,71
266444,66
62567,64
28637,40
4230,37
28310,33
18881,32
215859,29
15201,28
52320,28
2635,23
274483,23
28604,23
19723,23
10670,22
38369,21
39572,21
14441,21
10753,21
63293,19
53107,19
7465,19
214455,17
211612,17
46606,16
33157,16
10480,15
45090,15
26218,14
213232,14
19200,14
2715,13
200325,13
273584,13
11802,13
46475,12
31936,12
30148,12
262714,12
269346,11
35280,11
10938,11
25832,11
53164,10
52890,10
28291,10
53203,10
17668,10
59692,9
28209,9
270424,9
28159,9
28602,8
52958,8
61738,8
271232,8
28320,8
36420,8
10881,8
271755,8
61745,8
263023,8
133795,8
395458,8
14853,8
26496,7
263452,7
6496,7
28656,7
262486,7
28197,7
138341,7
14907,7
60781,7
40021,7
63410,7
53016,7
28299,7
394923,6
53101,6
3844,6
28398,6
12956,6
263945,6
328832,6
8195,6
6057,6
62768,6
17025,6
132337,6
19653,6
6762,6
328137,6
41722,6
37662,6
24600,6
15605,6
19422,6
56696,6
50482,6
262989,6
52925,6
139144,6
400104,6
7979,6
262654,6
141995,6
11242,6
396356,6
262857,5
139341,5
6939,5
327788,5
28343,5
37963,5
28271,5
263842,5
263098,5
265994,5
262349,5
266400,5
263953,5
53303,5
5545,5
269404,5
12322,5
40824,5
5381,5
264338,4
26606,4
63648,4
265212,4
393299,4
32494,4
201106,4
14117,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
132602,4
9730,4
54994,4
57724,4
265064,4
52997,4
262679,4
265262,4
263889,4
53038,4
53237,4
264507,4
14840,4
58521,4
61568,4
133861,4
23470,4
44907,4
262756,4
262352,4
205157,4
1251,4
262787,4
10733,4
7203,4
53055,4
204450,4
24971,3
264468,3
47195,3
23128,3
262458,3
64437,3
137409,3
262978,3
264312,3
53667,3
6698,3
265058,3
53166,3
28629,3
53187,3
29169,3
24482,3
40699,3
6185,3
28186,3
53243,3
263511,3
28292,3
262785,3
28586,3
269175,3
28177,3
61569,3
263639,3
269406,3
63993,3
203976,3
21506,3
61832,3
52866,3
12640,2
28195,2
10897,2
52914,2
270681,2
9009,2
203755,2
52628,2
263909,2
262545,2
33191,2
11993,2
52797,2
264077,2
22612,2
5761,2
272432,2
62068,2
394230,2
34699,2
262448,2
262897,2
215300,2
58061,2
200651,2
270814,2
269613,2
53116,2
63240,2
52468,2
45352,2
136373,2
6327,2
17984,2
8919,2
49287,2
396390,2
52167,2
45517,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
36678,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
263358,2
264019,2
267509,2
265020,2
52965,2
262511,2
262474,2
202425,2
28126,2
205193,2
269103,2
62856,2
267630,2
36666,2
264423,2
23576,2
11097,2
49714,2
13238,2
266432,2
30083,2
263293,2
16891,2
265171,2
268118,2
268014,2
269191,2
400754,2
262742,2
267355,2
13442,2
20116,2
262283,2
19611,2
266031,2
262357,2
28261,2
26666,2
270320,2
264037,2
7941,2
262272,2
22720,2
199524,2
28666,2
269593,1
8560,1
268624,1
18450,1
26118,1
22356,1
262295,1
203119,1
200449,1
263410,1
9059,1
265458,1
267501,1
22148,1
20253,1
25697,1
267197,1
265450,1
30277,1
268713,1
263337,1
28601,1
263009,1
30961,1
28631,1
272693,1
57352,1
266521,1
271023,1
53239,1
53168,1
262512,1
262829,1
270530,1
50980,1
61210,1
46844,1
60550,1
396524,1
269070,1
28193,1
264095,1
33182,1
265479,1
52608,1
30109,1
36459,1
267626,1
28616,1
262475,1
59787,1
22878,1
263325,1
15256,1
33837,1
7313,1
268716,1
269543,1
14204,1
52970,1
271029,1
266539,1
266475,1
206264,1
264363,1
47987,1
27693,1
394432,1
265071,1
263876,1
271256,1
394745,1
262451,1
28008,1
269216,1
43180,1
13767,1
44332,1
28248,1
264555,1
263467,1
28573,1
262499,1
28753,1
14824,1
268685,1
271640,1
264604,1
393874,1
53157,1
29066,1
53066,1
21612,1
23884,1
52885,1
30058,1
4258,1
41690,1
264581,1
399358,1
15685,1
266512,1
54467,1
32338,1
49582,1
268005,1
271145,1
201744,1
51088,1
263558,1
397849,1
19763,1
32780,1
24611,1
268021,1
22515,1
207569,1
263406,1
214308,1
207970,1
262456,1
205762,1
65115,1
263673,1
24961,1
200107,1
46562,1
397273,1
28585,1
9123,1
28216,1
271048,1
52623,1
269610,1
28582,1
36352,1
12678,1
26347,1
42567,1
62243,1
8069,1
52609,1
266390,1
28136,1
3387,1
61803,1
24768,1
53332,1
52950,1
49981,1
268178,1
52853,1
266068,1
268128,1
264141,1
53062,1
52740,1
265933,1
2514,1
200019,1
12926,1
56872,1
270694,1
11281,1
27652,1
263273,1
271239,1
264396,1
31586,1
51025,1
263282,1
215402,1
264470,1
262882,1
28279,1
262503,1
264221,1
22653,1
138650,1
262483,1
263404,1
268807,1
52011,1
214390,1
32097,1
142160,1
267241,1
270439,1
263044,1
61317,1
15699,1
264372,1
12353,1
11921,1
266461,1
61969,1
393689,1
136264,1
52649,1
212792,1
23522,1
23106,1
