asn,nb_hostnames
395747,2484
21664,1105
213120,1002
394192,477
394507,386
8075,121
2635,80
15146,73
39572,61
62567,60
19551,56
204915,50
26496,50
35540,46
8014,43
215859,40
7979,35
31936,34
14853,33
14441,23
40824,23
401200,22
63293,21
30148,20
46606,20
15317,20
133795,17
214455,17
26347,16
14907,16
53824,14
60068,13
60781,12
400754,11
22612,11
59692,10
6185,10
12178,9
20264,9
8560,8
399566,8
33265,8
36420,8
22720,8
55293,7
3457,7
10480,7
50989,6
397849,6
26666,6
22414,6
200325,6
141995,6
5761,5
27589,5
15699,5
62856,5
13442,5
44907,5
36080,5
13767,5
31586,5
54641,5
199218,5
17025,4
37963,4
64437,4
38369,4
6698,4
30109,4
8839,4
54994,4
12322,4
18945,4
27647,4
58061,4
17289,4
33157,4
10753,4
14113,4
24482,3
7859,3
19377,3
199524,3
200019,3
4258,3
22169,3
202425,3
49981,3
40021,3
47846,3
22194,3
50980,3
399250,3
22653,3
14472,3
214124,3
7941,3
31981,3
14555,3
18635,3
33191,2
51468,2
32726,2
23522,2
797,2
57344,2
11807,2
26978,2
49025,2
5377,2
51852,2
13830,2
35425,2
19225,2
398787,2
48729,2
19983,2
46475,2
61969,2
46844,2
13450,2
23576,2
27223,2
61098,2
49714,2
44534,2
398402,2
393874,2
40056,2
14593,2
62243,2
36850,2
394727,2
397550,2
206264,2
207970,2
63410,2
139341,2
31727,2
56898,2
3387,2
139144,2
13601,2
36459,2
397914,2
34655,2
14415,2
55033,2
20033,2
213232,2
45090,2
46832,2
198610,1
32338,1
264713,1
205111,1
62082,1
263575,1
32632,1
37153,1
215402,1
398851,1
398413,1
29992,1
7203,1
6496,1
36818,1
215730,1
395532,1
49287,1
200651,1
394303,1
63444,1
11878,1
214685,1
204800,1
205193,1
59776,1
8987,1
393689,1
3920,1
11273,1
6639,1
20333,1
18738,1
10578,1
34309,1
55081,1
198792,1
46864,1
55569,1
29066,1
28067,1
397497,1
46562,1
40065,1
12678,1
51888,1
45894,1
33664,1
20068,1
11019,1
53667,1
60248,1
44477,1
702,1
43487,1
6352,1
63362,1
53976,1
24961,1
15685,1
24611,1
12092,1
48669,1
40539,1
786,1
398743,1
393965,1
400797,1
36066,1
61144,1
204601,1
30361,1
43211,1
211922,1
30606,1
23352,1
16583,1
14745,1
23470,1
26752,1
14824,1
21345,1
14340,1
137409,1
4872,1
39239,1
6621,1
53332,1
51905,1
23033,1
200195,1
213438,1
214390,1
49352,1
27264,1
4150,1
30600,1
200044,1
8685,1
204544,1
138341,1
212792,1
61976,1
12064,1
49612,1
43415,1
6432,1
6428,1
62563,1
15149,1
16839,1
36483,1
43641,1
41690,1
9123,1
210976,1
30246,1
24971,1
203639,1
197816,1
36352,1
200596,1
3768,1
34920,1
215322,1
263713,1
197540,1
8070,1
46812,1
11281,1
35280,1
9009,1
215740,1
215467,1
24282,1
11773,1
6192,1
60114,1
399358,1
31256,1
399937,1
62813,1
8001,1
62714,1
328832,1
48254,1
2665,1
202917,1
132193,1
30187,1
12640,1
40651,1
2571,1
34788,1
201744,1
6427,1
9752,1
205373,1
45664,1
23304,1
208561,1
44160,1
2514,1
7393,1
216071,1
264645,1
30689,1
401764,1
33208,1
19110,1
8361,1
41000,1
44932,1
397423,1
39686,1
15318,1
