asn,nb_hostnames
395747,2465
21664,737
213120,491
394507,275
394192,234
135666,155
204915,141
18024,84
39572,83
62567,79
8075,65
134715,57
35540,50
7979,49
2635,40
215859,38
31936,37
15317,32
30277,28
214455,24
40824,22
63293,21
38369,20
46606,19
23955,17
37963,17
19551,16
14907,16
60781,16
14555,15
26496,15
14853,15
133795,14
27589,12
148000,11
139341,10
30148,10
60068,10
12178,10
44907,9
53824,7
32338,7
49981,7
151498,7
22612,7
15699,7
395458,7
59692,6
20264,6
10753,6
140695,6
202425,6
47846,6
200325,6
45090,6
200019,6
36420,6
50989,6
152317,6
58061,6
137994,6
22720,6
3457,5
202492,5
214124,5
138341,5
5761,5
14441,5
56898,5
13442,5
204800,5
54994,4
9730,4
137409,4
45644,4
53667,4
12322,4
55532,4
8560,4
55293,4
401200,4
64437,4
58521,4
394695,4
141995,4
47422,4
24600,4
24482,3
328832,3
9123,3
50980,3
63410,3
4258,3
9752,3
30083,3
150078,3
7941,3
29066,3
42567,3
40021,3
153740,3
31586,3
200449,3
62068,3
6185,3
55470,3
49287,3
29169,3
213232,3
199524,3
6698,3
23576,3
17025,2
50482,2
63240,2
52468,2
45352,2
136373,2
6327,2
37662,2
41722,2
52320,2
62768,2
12956,2
17984,2
9015,2
19782,2
328137,2
61568,2
200039,2
132045,2
20764,2
2027,2
19653,2
13786,2
51530,2
196753,2
28320,2
64475,2
6762,2
207841,2
270014,2
44684,2
18881,2
35589,2
23520,2
56696,2
48641,2
35360,2
8708,2
7589,2
17668,2
132337,2
15958,2
2614,2
14016,2
15605,2
28398,2
35600,2
19422,2
38726,2
1031,2
3844,2
29049,2
4134,2
35598,2
1916,2
264409,2
52025,2
50628,2
14537,2
8195,2
205920,2
6496,2
6057,2
263945,2
15802,2
199218,2
13830,2
18222,2
34655,2
28810,2
26666,2
139057,2
15149,2
63199,2
4738,2
40476,2
200651,2
216154,2
206264,2
40009,2
48254,2
9009,2
35425,2
49612,2
3920,2
38799,2
38283,2
151373,2
62243,2
38719,2
7859,2
9829,2
44534,2
49714,2
27223,2
34119,2
397273,2
33191,2
60144,2
132335,2
36459,2
51433,2
54641,2
20756,2
56111,1
17762,1
14576,1
30361,1
208488,1
200596,1
28838,1
39029,1
214073,1
210976,1
38296,1
40539,1
62082,1
397849,1
18905,1
55081,1
215322,1
133661,1
48040,1
140688,1
59467,1
395003,1
216071,1
207660,1
39239,1
399566,1
44094,1
10929,1
131283,1
200107,1
53589,1
58879,1
150706,1
152450,1
27267,1
17363,1
210656,1
200195,1
213438,1
24676,1
131173,1
23999,1
26347,1
198610,1
197019,1
38631,1
215300,1
8960,1
137035,1
132224,1
211864,1
9290,1
393874,1
206225,1
48324,1
2514,1
133210,1
135360,1
45894,1
22653,1
398743,1
134888,1
17482,1
3768,1
48669,1
18229,1
202368,1
27522,1
266444,1
132680,1
52148,1
44477,1
61306,1
150436,1
7396,1
9583,1
133666,1
141680,1
400797,1
47139,1
212490,1
140290,1
36066,1
44460,1
58611,1
399358,1
38955,1
58010,1
8069,1
394230,1
1836,1
62016,1
3387,1
215845,1
131447,1
205585,1
200000,1
53850,1
139144,1
11105,1
393689,1
57687,1
63362,1
24961,1
132557,1
207970,1
56872,1
146943,1
20988,1
7393,1
11281,1
24971,1
54290,1
36352,1
59177,1
211922,1
135423,1
61976,1
49025,1
44436,1
41231,1
401764,1
7678,1
26277,1
214390,1
201755,1
15366,1
61144,1
204436,1
2571,1
210250,1
216047,1
577,1
4835,1
202053,1
43641,1
38185,1
24611,1
786,1
132232,1
41690,1
8920,1
133050,1
141504,1
55960,1
4837,1
198792,1
46475,1
53332,1
134251,1
30961,1
207728,1
133231,1
138529,1
36850,1
7203,1
152307,1
39686,1
139256,1
212216,1
132005,1
132856,1
17561,1
8739,1
10098,1
11106,1
3361,1
205193,1
62563,1
