asn,nb_hostnames
395747,4158
21664,1401
213120,799
394507,528
394192,480
8075,209
204915,144
62567,138
215859,134
37153,100
35540,78
2635,68
39572,63
19551,55
46606,54
22612,45
214455,41
14988,39
37611,33
31936,31
14853,30
63293,29
37963,29
7979,28
26496,28
40824,24
47846,23
60068,23
133795,22
38369,22
37051,21
37678,21
14907,20
60781,20
14441,19
141995,18
36943,17
30148,16
8560,15
9129,15
213232,14
2018,13
12258,13
37604,13
54641,13
15317,12
139341,12
200325,12
12178,12
53824,11
327979,11
329184,11
55293,10
200019,10
329301,10
45090,10
26666,10
204800,10
36420,9
786,9
59692,9
13442,9
36982,8
37395,8
37532,8
327776,8
58294,8
44907,8
27589,8
6185,8
12322,8
56696,8
48254,7
58521,7
202425,7
50989,7
10480,7
24600,7
210250,6
150078,6
36963,6
215740,6
401200,6
53667,6
37028,6
139144,6
35425,6
199524,6
397849,5
37130,5
58061,5
9009,5
328170,5
49025,5
198993,5
54994,5
202492,5
328037,5
400513,5
398256,5
5761,5
23352,5
40021,5
28753,5
10753,5
64437,5
6698,5
328174,4
3920,4
37311,4
200107,4
26347,4
200449,4
37014,4
37100,4
55470,4
46844,4
60144,4
51852,4
7859,4
6496,4
8094,4
214124,4
49287,4
33157,4
199218,4
328064,3
60885,3
50980,3
151373,3
33781,3
43948,3
32338,3
27647,3
4258,3
35280,3
7941,3
61024,3
3457,3
13830,3
52148,3
202053,3
208488,3
52130,3
34309,3
55532,3
198032,3
31586,3
61976,3
23576,3
47002,3
215300,3
139057,3
62068,3
38365,3
8195,3
22720,3
36874,2
24611,2
204548,2
138341,2
394230,2
49981,2
328513,2
48729,2
61144,2
26277,2
399250,2
329278,2
24961,2
34119,2
42848,2
33182,2
46475,2
18945,2
37394,2
56898,2
37251,2
33873,2
132224,2
133096,2
49612,2
12678,2
62243,2
137409,2
36066,2
214073,2
328996,2
52000,2
3387,2
28810,2
37387,2
15149,2
55688,2
27223,2
142592,2
33191,2
44534,2
49714,2
6427,2
393689,2
328832,2
136252,2
14315,2
206264,2
397569,2
205435,2
198610,2
29222,2
397391,2
11807,2
30083,2
14555,2
42567,2
394695,2
37096,2
32,2
10929,2
33387,2
24971,2
199867,2
216071,2
211922,2
3768,2
397273,2
29066,2
15699,2
60230,2
203639,2
200000,2
11105,2
63410,2
36459,2
14466,2
35744,2
54290,2
34222,2
14340,2
147168,2
394297,2
7203,2
36352,2
771,2
32903,2
17025,2
17668,2
197540,1
20661,1
327905,1
200386,1
36850,1
205193,1
215826,1
53332,1
13601,1
200928,1
56341,1
7483,1
2516,1
56302,1
2633,1
57344,1
8069,1
20616,1
395092,1
43362,1
34282,1
393845,1
37917,1
44477,1
8100,1
51468,1
19853,1
53850,1
141518,1
204770,1
203976,1
37179,1
48040,1
44009,1
204545,1
59253,1
63760,1
4738,1
39134,1
43853,1
7040,1
202368,1
205585,1
41690,1
204601,1
133024,1
37501,1
18522,1
10578,1
37344,1
37711,1
15703,1
46864,1
22653,1
32632,1
196763,1
133299,1
62755,1
9123,1
6192,1
60945,1
198913,1
393874,1
30999,1
398787,1
18229,1
2497,1
24482,1
2665,1
41231,1
132680,1
9752,1
207970,1
215402,1
38185,1
45894,1
8070,1
58487,1
26722,1
400754,1
329206,1
198849,1
32097,1
328874,1
399358,1
395162,1
43641,1
2514,1
49791,1
328854,1
41528,1
213737,1
16972,1
396930,1
37257,1
37658,1
37459,1
56594,1
30994,1
131429,1
37515,1
329042,1
214390,1
37520,1
133050,1
11915,1
44160,1
8705,1
33322,1
4872,1
12488,1
202961,1
14415,1
55081,1
400797,1
56322,1
11106,1
3361,1
53755,1
202656,1
36516,1
198792,1
203417,1
212792,1
12064,1
18779,1
35258,1
200195,1
213438,1
12640,1
216154,1
150436,1
27522,1
20580,1
51905,1
62856,1
207809,1
395532,1
398743,1
45352,1
205373,1
23724,1
4808,1
209847,1
63362,1
57,1
37441,1
328633,1
6848,1
15305,1
207208,1
39686,1
34931,1
60592,1
40539,1
215322,1
132856,1
152880,1
212872,1
46440,1
33265,1
9280,1
395412,1
328181,1
328869,1
137697,1
134771,1
4134,1
58466,1
202242,1
400940,1
398017,1
31424,1
207728,1
201936,1
214685,1
37201,1
34788,1
42745,1
11845,1
40651,1
29182,1
62744,1
20677,1
25709,1
14824,1
204846,1
60114,1
5793,1
11281,1
15318,1
211864,1
394277,1
196752,1
399937,1
23367,1
10798,1
14956,1
200514,1
45644,1
18742,1
30475,1
37172,1
397423,1
135377,1
28839,1
32780,1
201755,1
327767,1
202397,1
208561,1
202634,1
32298,1
55569,1
49352,1
1152,1
27500,1
24282,1
14115,1
328797,1
23522,1
36080,1
46981,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
6057,1
62768,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
262427,1
15605,1
19422,1
329356,1
1916,1
132602,1
50482,1
9730,1
965,1
48669,1
19324,1
214677,1
394303,1
5723,1
11773,1
39239,1
23470,1
132420,1
16839,1
