asn,nb_hostnames
6697,1994
395747,1511
60330,867
61976,293
202090,291
57724,277
31345,275
21664,196
60591,175
213120,166
59467,152
215859,152
49352,135
205820,130
29182,126
56740,122
394192,119
198610,116
16276,112
25106,111
207728,102
394507,96
9123,95
58061,77
39572,69
210656,67
215272,64
13238,63
49714,63
204601,55
201706,52
207970,52
59692,49
60781,49
210079,48
43298,46
49981,44
62567,40
210756,38
5545,36
49665,32
48040,29
205312,29
44310,26
31936,23
56694,21
204039,19
8075,18
200019,18
44696,18
211642,18
14907,17
56341,17
37963,17
206980,16
44112,15
214455,15
12322,15
211381,15
60144,14
44128,14
48287,14
19551,13
8920,13
48729,13
42745,12
206407,12
13171,12
39134,12
205155,12
59939,12
42240,12
63293,11
199867,11
32338,11
24961,11
50979,11
51852,10
29066,10
41722,10
50482,10
17668,10
57304,10
50590,9
44477,9
201512,9
44907,9
204915,9
30968,9
203808,8
50294,8
7979,8
50448,8
60922,8
44094,8
30818,8
61400,8
216475,8
62082,8
395458,8
24600,8
40824,8
210644,8
201499,7
21051,7
10753,7
202387,7
211612,7
44901,7
207208,7
206428,7
31143,7
62243,7
201186,7
210976,7
3844,6
28398,6
18881,6
12956,6
263945,6
328832,6
8195,6
6057,6
62768,6
17025,6
132337,6
19653,6
6762,6
328137,6
28320,6
6496,6
37662,6
15605,6
19422,6
56696,6
1916,6
35594,6
28753,6
52130,6
59796,6
42632,6
202425,6
51936,6
48282,6
44256,6
49287,6
200532,6
42656,6
201848,5
35425,5
38980,5
12525,5
50685,5
205865,5
204343,5
212490,5
141995,5
200325,5
200449,5
212136,5
57352,5
216139,5
209283,5
204770,5
42179,5
14853,5
205696,4
14956,4
393299,4
32494,4
201106,4
14117,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
6939,4
262427,4
37251,4
327788,4
132602,4
9730,4
28849,4
51248,4
47577,4
39337,4
38369,4
199669,4
9009,4
209030,4
48614,4
25532,4
64437,4
207362,4
3223,4
60611,4
20848,4
44386,4
60602,4
25393,4
61424,4
47111,4
204450,4
58112,3
200487,3
34665,3
48684,3
30733,3
15699,3
133795,3
4837,3
199524,3
215300,3
48096,3
14576,3
53667,3
60580,3
216154,3
56742,3
214822,3
61280,3
35598,3
61306,3
52167,3
205634,3
24482,3
214744,3
211089,3
214881,3
62170,3
47890,3
50934,3
213166,3
44812,3
48018,3
12555,3
34702,3
201012,3
26496,3
136620,3
41976,3
202925,2
57572,2
60357,2
211263,2
65535,2
205516,2
57530,2
211522,2
44803,2
57375,2
209684,2
62563,2
29226,2
34421,2
20661,2
26666,2
59711,2
57010,2
31586,2
205954,2
206817,2
27589,2
206264,2
33993,2
59840,2
39392,2
22612,2
59601,2
206871,2
212531,2
216071,2
30945,2
43247,2
3920,2
215457,2
201119,2
49526,2
200000,2
30058,2
24676,2
12824,2
200784,2
49682,2
197482,2
47478,2
51011,2
29014,2
30083,2
61251,2
56851,2
208677,2
62160,2
204487,2
34147,2
10480,2
53824,2
14824,2
213737,2
34222,2
207569,2
60367,2
200044,2
5531,2
206728,2
214798,2
215730,2
51520,2
31629,2
201664,2
6698,2
16262,2
7941,2
41793,2
50214,2
214653,2
46606,2
197309,2
139341,2
215840,2
398256,2
203444,2
202696,2
200904,2
44087,2
50053,2
2635,2
208795,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
8919,2
396390,2
61568,2
29169,2
45517,2
20764,2
137409,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
5381,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
36678,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
62197,2
207640,2
209361,2
51365,2
12578,2
42532,2
52000,2
50113,2
212872,2
42849,2
204424,2
33797,1
13442,1
50334,1
197553,1
59684,1
204706,1
51698,1
59861,1
52184,1
215100,1
133777,1
204848,1
50341,1
8767,1
42194,1
12297,1
48922,1
13830,1
207809,1
56462,1
198348,1
51219,1
41619,1
35673,1
42072,1
43267,1
63199,1
34959,1
51276,1
32632,1
64999,1
200088,1
201498,1
397341,1
207104,1
45090,1
197932,1
5523,1
394625,1
42979,1
50980,1
40728,1
43896,1
41441,1
134542,1
199072,1
207713,1
1547,1
216127,1
29479,1
26347,1
201200,1
3320,1
44903,1
214124,1
41690,1
39709,1
216263,1
42474,1
203087,1
22720,1
44160,1
5386,1
24572,1
12997,1
50929,1
212247,1
57271,1
212441,1
57700,1
208058,1
208450,1
211000,1
36420,1
207056,1
41111,1
57152,1
6205,1
23576,1
62005,1
61235,1
19905,1
207986,1
49127,1
33191,1
51304,1
8369,1
63473,1
62255,1
42655,1
21062,1
20616,1
214390,1
63362,1
57580,1
198976,1
16143,1
47447,1
202759,1
203714,1
8856,1
51954,1
28917,1
213530,1
39651,1
61156,1
56631,1
57251,1
204846,1
210416,1
43647,1
56682,1
202053,1
214856,1
33083,1
35587,1
48753,1
42106,1
207304,1
48061,1
204738,1
8560,1
42422,1
210512,1
8515,1
49326,1
33837,1
20545,1
49675,1
200107,1
57363,1
50384,1
61210,1
34619,1
34662,1
198913,1
58143,1
59524,1
43641,1
205762,1
65115,1
399358,1
57088,1
42775,1
56920,1
42972,1
8069,1
31080,1
51497,1
23421,1
47544,1
59627,1
42567,1
62222,1
131659,1
44880,1
53332,1
57331,1
59504,1
61276,1
6769,1
215402,1
202521,1
37936,1
203446,1
43581,1
208119,1
51765,1
212422,1
213877,1
57487,1
48760,1
44820,1
205701,1
203755,1
48763,1
212792,1
200651,1
205125,1
11281,1
8440,1
43278,1
36459,1
197540,1
30475,1
44014,1
215540,1
54994,1
35668,1
49392,1
44704,1
57629,1
24611,1
210390,1
213051,1
52201,1
202656,1
201744,1
210153,1
31200,1
29208,1
208488,1
43232,1
56864,1
58010,1
33157,1
29389,1
58210,1
205193,1
50313,1
55293,1
44493,1
393874,1
56715,1
58031,1
30209,1
209847,1
201589,1
48757,1
205567,1
213220,1
215119,1
12365,1
