asn,nb_hostnames
395747,2132
21664,682
213120,604
394192,334
394507,272
8075,90
39572,71
62567,65
46606,61
35540,59
2635,43
31936,39
7979,36
19551,35
204915,31
215859,31
10269,28
214455,26
14853,24
63293,23
60068,20
401200,18
26496,17
53824,15
200325,14
10843,12
55293,12
14907,12
60781,11
133795,10
15317,10
23352,10
40824,10
30148,9
27589,9
38369,9
8560,9
20264,9
22720,9
12178,8
26347,8
37963,8
14441,7
58521,7
22612,7
50989,6
13442,6
48254,6
267932,6
59692,6
47846,6
6185,6
44907,5
36420,5
58061,5
26666,5
4258,5
214124,5
5761,5
27647,5
10480,5
139341,5
36776,4
397849,4
263824,4
18945,4
3457,4
51852,4
215740,4
6698,4
199218,4
10753,3
202425,3
7203,3
32338,3
64437,3
33265,3
50980,3
40021,3
199524,3
7941,3
39020,3
211922,3
45090,3
15699,3
29066,3
28513,3
55033,3
262239,2
54994,2
44534,2
49714,2
62068,2
265727,2
19853,2
54641,2
31586,2
393874,2
22414,2
398256,2
141995,2
62243,2
24961,2
56898,2
40425,2
24611,2
23576,2
3387,2
62856,2
61976,2
17289,2
137409,2
139144,2
36459,2
200019,2
11807,2
200195,2
49287,2
197712,2
328832,2
24482,2
34655,2
215300,2
206264,2
49612,2
13830,2
33191,2
20033,2
395458,2
47422,2
58212,1
11773,1
4872,1
13601,1
47066,1
63362,1
208561,1
16371,1
26752,1
46475,1
393689,1
29992,1
8920,1
19785,1
51433,1
23033,1
52454,1
198610,1
48669,1
200044,1
786,1
198792,1
203639,1
3920,1
19110,1
30361,1
215730,1
14555,1
59939,1
14985,1
6389,1
46844,1
44160,1
7393,1
12322,1
36850,1
152880,1
215402,1
36066,1
9752,1
62082,1
138341,1
59467,1
40651,1
36080,1
399250,1
211769,1
28067,1
23470,1
6427,1
41690,1
54420,1
397497,1
8739,1
21787,1
200000,1
196608,1
53667,1
6147,1
131660,1
2665,1
702,1
55081,1
201744,1
58182,1
22075,1
42567,1
133050,1
27264,1
4150,1
30600,1
24971,1
394727,1
34119,1
266762,1
51468,1
63410,1
31043,1
48729,1
150078,1
200521,1
22653,1
16839,1
17025,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
62768,1
12956,1
17984,1
9015,1
19782,1
328137,1
61568,1
29169,1
200039,1
132045,1
20764,1
2027,1
19653,1
13786,1
51530,1
196753,1
24600,1
28320,1
64475,1
6762,1
207841,1
270014,1
44684,1
18881,1
35589,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
4134,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
6496,1
6057,1
263945,1
15802,1
204800,1
15149,1
396356,1
216071,1
215540,1
14340,1
214390,1
17072,1
212792,1
30340,1
26277,1
53332,1
10439,1
23522,1
3728,1
30109,1
400754,1
15685,1
11878,1
399358,1
60114,1
9009,1
400797,1
27223,1
204601,1
8987,1
398743,1
207970,1
397273,1
395532,1
135423,1
213438,1
30246,1
197540,1
61144,1
140688,1
40539,1
60144,1
29182,1
207208,1
44477,1
10578,1
14824,1
797,1
40627,1
401764,1
32097,1
214685,1
399566,1
27823,1
33182,1
7859,1
398787,1
35908,1
9123,1
210976,1
32632,1
205193,1
16501,1
27488,1
11281,1
2514,1
60550,1
216154,1
