asn,nb_hostnames
395747,3829
21664,1427
213120,1151
394192,517
8075,338
394507,301
35540,183
19551,133
62567,91
2635,54
215859,46
14853,46
39572,43
577,41
376,35
205585,34
36666,33
33157,31
51433,31
14472,29
31936,27
40699,26
30148,26
2665,26
397569,25
213232,25
14907,23
33265,22
35280,22
53824,22
3457,21
399566,21
15317,19
63293,18
400426,18
60068,18
13571,18
59692,17
214455,16
200325,16
54994,15
36420,15
60781,14
14537,14
8560,14
17025,14
27589,13
133795,12
40824,12
12322,11
46861,11
22414,11
23576,11
26496,11
22720,11
7979,10
6496,10
37963,10
9764,10
53667,9
49612,9
53589,9
6327,9
10753,9
202368,9
802,9
60248,9
4872,9
63410,8
15101,8
49676,8
139341,8
6698,8
21513,8
397474,7
271,7
26347,7
912,7
10480,7
64437,7
202425,7
2675,7
26666,7
7203,7
395458,7
393249,6
24572,6
8839,6
63199,6
393952,6
8195,6
396504,6
38365,6
47422,6
198993,5
11105,5
401200,5
23816,5
50989,5
215740,5
32157,5
21787,5
21564,5
212216,5
17668,5
17289,5
14113,5
45090,5
49025,4
30818,4
45898,4
239,4
5761,4
26996,4
22194,4
13601,4
9760,4
206264,4
15318,4
59524,4
7859,4
25184,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
137409,4
19653,4
24482,4
24600,4
28320,4
6762,4
18881,4
56696,4
7589,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
328832,4
6057,4
263945,4
3848,4
31992,4
200019,4
207970,4
60077,4
34369,4
18310,4
823,4
33185,4
36352,4
1746,4
38369,4
17001,4
46606,4
394277,4
48434,4
44696,4
54643,4
135905,4
6427,4
43358,4
3599,4
211505,4
204544,4
36786,4
808,4
397433,4
49287,4
6185,4
36479,3
55017,3
1824,3
53403,3
4792,3
7941,3
208161,3
19925,3
62068,3
31080,3
19350,3
27606,3
49714,3
44534,3
397849,3
10520,3
63240,3
52468,3
45352,3
136373,3
52320,3
17984,3
9015,3
19782,3
61568,3
29169,3
200039,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
8708,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
205920,3
15802,3
199218,3
55293,3
26361,3
42532,3
12640,3
3633,3
8001,3
27223,3
44907,3
40751,3
9688,3
45894,3
30246,3
51852,3
53755,3
200324,3
44932,3
30045,3
19969,3
33602,3
48729,3
200651,3
33091,3
23299,3
36235,3
55175,3
58061,3
35908,3
10929,3
54641,3
803,3
22017,3
35425,3
32866,3
837,3
26071,2
7057,2
133089,2
46475,2
393845,2
611,2
23522,2
29773,2
394430,2
394821,2
62881,2
15149,2
27346,2
61098,2
30464,2
56898,2
4476,2
37936,2
32347,2
216014,2
19110,2
32298,2
53566,2
215300,2
39962,2
64231,2
30109,2
12678,2
25826,2
201744,2
56682,2
51888,2
393874,2
35857,2
11260,2
36356,2
31782,2
42567,2
26871,2
148000,2
45370,2
51008,2
32638,2
26025,2
34993,2
44477,2
62243,2
8111,2
63993,2
215402,2
400588,2
33676,2
14304,2
200554,2
36066,2
34222,2
16848,2
8400,2
3359,2
204601,2
395162,2
1048,2
8304,2
18905,2
25117,2
61210,2
26206,2
10265,2
200195,2
50474,2
21722,2
199524,2
60976,2
46864,2
18627,2
2571,2
211922,2
11342,2
57352,2
14824,2
18621,2
23237,2
36080,2
53443,2
30336,2
200449,2
213438,2
14576,2
59587,2
30713,2
6407,2
9952,2
53455,2
25833,2
1414,2
12093,2
16462,2
33191,2
14098,2
46401,2
30058,2
33664,2
27647,2
771,2
12178,2
394085,2
63213,2
6404,1
46221,1
33208,1
53414,1
40438,1
16839,1
396486,1
46844,1
399429,1
14745,1
10389,1
53332,1
395956,1
26531,1
36459,1
401764,1
32564,1
63419,1
14007,1
62772,1
215467,1
23107,1
17120,1
22049,1
19171,1
31930,1
134481,1
398696,1
205193,1
400275,1
23784,1
213222,1
401653,1
57088,1
53359,1
214073,1
34918,1
33083,1
397060,1
208128,1
62048,1
23457,1
399398,1
989,1
52489,1
263173,1
24971,1
398983,1
197540,1
47577,1
6171,1
13830,1
39686,1
32780,1
54672,1
819,1
395965,1
34309,1
11409,1
6181,1
48326,1
398299,1
27264,1
4150,1
30600,1
3920,1
400754,1
204915,1
212792,1
53850,1
43532,1
18403,1
19752,1
44112,1
131283,1
207728,1
11522,1
22950,1
43487,1
56864,1
58010,1
204770,1
213737,1
39392,1
139144,1
54961,1
19272,1
6289,1
6352,1
51577,1
17436,1
40065,1
400672,1
214685,1
11181,1
212552,1
14836,1
21121,1
31886,1
26155,1
5645,1
3810,1
203444,1
30340,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
17589,1
32453,1
9906,1
209847,1
207208,1
35634,1
399647,1
23033,1
36850,1
62755,1
18638,1
54070,1
14661,1
9752,1
205373,1
50980,1
40727,1
32762,1
196752,1
32691,1
199636,1
214308,1
394432,1
39020,1
207640,1
394366,1
26752,1
394931,1
202115,1
5110,1
9505,1
14340,1
140766,1
38731,1
212815,1
14744,1
24961,1
30525,1
394949,1
18182,1
11281,1
10954,1
