asn,nb_hostnames
395747,3789
21664,1072
213120,749
394507,462
16276,432
394192,348
204915,220
215859,170
62567,149
210403,145
8075,135
50474,95
39572,83
12322,66
36420,56
19551,56
47846,56
22612,51
29222,49
37963,43
60781,42
214455,42
31936,40
141995,38
8560,34
2635,34
14555,28
2611,27
63293,27
5545,27
38369,26
24600,25
14907,24
54994,24
328442,23
37153,23
7979,23
53589,23
30148,23
2057,23
395458,23
26666,22
46606,22
204450,22
26496,22
6496,20
40824,20
49981,19
49287,19
54641,19
133795,18
204800,18
14853,18
55293,17
58061,16
202492,15
211612,15
29169,15
10753,13
328832,13
8195,13
137409,12
24482,12
56696,12
8708,12
14537,12
6057,12
14441,11
8839,11
37611,11
17025,11
50482,11
63240,11
52468,11
45352,11
136373,11
6327,11
37662,11
41722,11
52320,11
62768,11
12956,11
17984,11
8919,11
396390,11
328137,11
61568,11
52167,11
45517,11
20764,11
2027,11
19653,11
13786,11
51530,11
196753,11
28320,11
64475,11
6762,11
207841,11
270014,11
136620,11
18881,11
5381,11
23520,11
48641,11
35360,11
7589,11
17668,11
132337,11
15958,11
2614,11
14016,11
15605,11
28398,11
35600,11
19422,11
38726,11
1031,11
3844,11
29049,11
36678,11
35598,11
1916,11
264409,11
52025,11
50628,11
205920,11
263945,11
15802,11
57633,11
19648,10
139144,10
12178,10
139341,10
200325,10
26347,10
45090,10
200019,9
3457,9
59692,9
34993,9
44907,8
150078,8
376,8
53824,8
210770,7
37453,7
8228,7
14466,7
35425,7
199524,7
30961,6
46844,6
33837,6
40699,6
9009,6
60362,6
23352,6
215300,6
25117,6
48254,6
6185,5
51468,5
16326,5
31586,5
200449,5
329184,5
28977,5
397273,5
202425,5
46864,5
27589,5
6,5
329096,5
13442,5
37483,5
2665,5
213232,5
6698,5
52130,4
696,4
44009,4
8304,4
62068,4
44477,4
214124,4
200356,4
53667,4
327755,4
29066,4
61098,4
48729,4
1897,4
56898,4
199777,4
202053,4
35280,4
201200,4
22720,4
36666,3
52148,3
9605,3
14472,3
5761,3
148000,3
13238,3
49714,3
42567,3
139057,3
60144,3
216154,3
50446,3
39241,3
3387,3
34119,3
57724,3
48744,3
34920,3
204846,3
397849,3
41653,3
28753,3
15826,3
24961,3
7941,3
64437,3
30058,3
53303,3
33157,3
9059,3
60230,3
4200000021,3
51888,3
51433,3
29691,3
151373,3
36786,3
328569,3
328445,3
197540,3
212531,3
3920,3
131138,3
7203,3
18945,2
45420,2
36943,2
49677,2
46475,2
61065,2
58487,2
34788,2
58521,2
27223,2
133210,2
135360,2
50980,2
28810,2
203178,2
13830,2
37414,2
133861,2
7859,2
60922,2
55960,2
205762,2
39072,2
11807,2
2514,2
42848,2
134251,2
40021,2
202242,2
207208,2
13193,2
36352,2
17436,2
328252,2
39104,2
45644,2
327979,2
62243,2
2675,2
29286,2
12640,2
140133,2
328174,2
14315,2
205585,2
6848,2
207970,2
200107,2
43641,2
33191,2
198610,2
29182,2
26277,2
56798,2
611,2
36459,2
198993,2
39444,2
15699,2
213394,2
60855,2
32338,2
44160,2
10480,2
63410,2
137978,2
36066,2
399358,2
15703,2
29264,2
206264,2
23576,2
34699,2
45666,2
15456,2
43311,2
6738,2
6939,2
211922,2
199218,2
36924,2
2018,2
57809,2
58294,2
215322,2
51430,2
216353,2
20068,2
205215,2
1842,2
42240,2
12091,2
61976,2
201896,2
55569,1
329342,1
34619,1
51806,1
3320,1
200532,1
400130,1
43256,1
35344,1
202917,1
39292,1
50624,1
327712,1
215846,1
25094,1
36850,1
399267,1
8111,1
63760,1
48287,1
24757,1
55017,1
