asn,nb_hostnames
395747,457
213120,157
21664,149
394507,120
16276,48
394192,47
8075,39
39572,28
62567,22
214455,16
63293,13
204915,11
31936,10
19551,10
12322,10
14853,10
14907,7
49981,7
210403,6
8839,6
215859,5
60781,5
133795,5
2057,5
24600,5
38369,4
3457,4
200356,4
4200000021,4
36420,4
8560,3
28977,3
202492,3
29222,3
50474,3
28753,3
37963,3
150078,3
6185,3
6496,3
12178,3
23352,3
34993,2
40824,2
22612,2
8228,2
65002,2
8304,2
44907,2
25117,2
58061,2
14441,2
61098,2
2635,2
57633,2
26666,2
37460,2
199729,2
14555,2
51888,2
44009,2
39134,1
328147,1
51269,1
10753,1
14315,1
24961,1
29110,1
56341,1
55293,1
3296,1
51433,1
376,1
207176,1
12678,1
29264,1
200019,1
8705,1
15817,1
47577,1
29169,1
198993,1
52148,1
39444,1
22653,1
206484,1
212815,1
139341,1
2611,1
328252,1
9009,1
32338,1
393874,1
13193,1
63410,1
197696,1
7979,1
44696,1
6738,1
45666,1
5761,1
208353,1
26496,1
399566,1
14466,1
53824,1
48813,1
56798,1
48744,1
47846,1
37684,1
60550,1
24611,1
43311,1
15964,1
30148,1
39072,1
54641,1
141995,1
36666,1
214124,1
139144,1
41690,1
23470,1
13571,1
45090,1
7941,1
35280,1
140688,1
210770,1
46864,1
54994,1
208128,1
41653,1
46475,1
39506,1
31586,1
39241,1
34222,1
36459,1
15966,1
33157,1
204800,1
50980,1
