asn,nb_hostnames
395747,3315
21664,944
213120,669
35540,431
394192,396
394507,385
8075,137
215859,117
62567,108
204915,104
39572,90
36420,74
210403,65
214455,63
12322,61
50474,57
7979,51
31936,50
395458,50
47422,50
19551,47
24600,41
47846,39
8560,38
10753,33
49287,33
6496,32
29169,32
37963,29
1916,28
29222,28
328832,27
53589,27
8195,27
38369,26
137409,26
24482,26
8708,26
14537,26
22612,26
63293,26
17025,26
50482,25
63240,25
52468,25
45352,25
136373,25
6327,25
37662,25
41722,25
52320,25
62768,25
12956,25
17984,25
9015,25
19782,25
328137,25
61568,25
200039,25
132045,25
20764,25
2027,25
19653,25
13786,25
51530,25
196753,25
28320,25
64475,25
6762,25
207841,25
270014,25
44684,25
18881,25
35589,25
23520,25
56696,25
48641,25
35360,25
7589,25
17668,25
132337,25
15958,25
2614,25
14016,25
15605,25
28398,25
35600,25
19422,25
38726,25
1031,25
3844,25
29049,25
4134,25
35598,25
264409,25
52025,25
50628,25
205920,25
6057,25
263945,25
15802,25
15317,23
2057,21
26496,21
49981,20
40824,20
60781,19
14853,19
14907,18
133795,18
2635,17
12178,15
60068,15
30148,13
8839,13
54994,12
57633,12
58061,12
54641,11
55293,11
141995,11
34993,11
139341,10
8228,10
60362,9
44907,9
200325,9
46606,8
213232,8
200019,7
9009,7
59692,7
2611,7
210770,7
202492,7
214124,7
50989,7
65002,7
137,7
25117,7
199524,7
26347,6
26666,6
28753,6
23352,6
62068,6
6698,6
139144,5
48744,5
5761,5
27589,5
2665,5
60144,5
19648,5
13442,5
200356,5
8304,5
207208,5
34920,5
6185,5
200107,5
53824,5
12640,5
6656,4
41653,4
9123,4
4258,4
397273,4
151373,4
32338,4
4200000021,4
50446,4
39072,4
150078,4
52148,4
14441,4
201896,4
45090,4
199218,4
60230,3
205585,3
139057,3
3387,3
47836,3
44009,3
48703,3
37481,3
198993,3
45666,3
56898,3
51888,3
376,3
63410,3
50980,3
3920,3
36666,3
55960,3
696,3
15964,3
58521,3
35280,3
44160,3
216154,3
202242,3
29066,3
199777,3
62243,3
200449,3
44534,3
49714,3
209349,3
42848,3
43311,3
3457,3
401200,3
30961,3
64437,3
7941,3
39241,3
207970,3
61098,3
48729,3
61976,3
60855,3
42240,3
204800,3
36352,3
18905,2
36786,2
40509,2
15456,2
37054,2
14472,2
328025,2
48254,2
46475,2
29264,2
212490,2
205762,2
199867,2
138341,2
204601,2
215300,2
49352,2
31586,2
202425,2
11807,2
202321,2
216353,2
60922,2
6713,2
212815,2
208128,2
57809,2
49612,2
26277,2
24611,2
12565,2
205435,2
40021,2
213394,2
37451,2
198610,2
34788,2
53667,2
397849,2
51970,2
55688,2
202053,2
42567,2
56341,2
51722,2
14315,2
6427,2
17561,2
36459,2
27223,2
33191,2
31178,2
39444,2
203639,2
34699,2
6738,2
13193,2
28683,2
65001,2
34655,2
8288,2
199636,2
48813,2
208353,2
59939,2
23576,2
10954,2
206264,2
13830,2
36924,2
24961,2
24691,2
15699,2
46844,2
205461,2
43641,2
16326,2
201936,2
44477,2
51430,2
4835,2
22720,2
7203,2
44527,1
208276,1
204770,1
62856,1
198370,1
39104,1
51013,1
205312,1
208488,1
58153,1
10578,1
59467,1
34304,1
34235,1
40699,1
41410,1
15966,1
61251,1
36818,1
24572,1
23816,1
51894,1
24971,1
140688,1
30058,1
40994,1
56798,1
207569,1
59689,1
47300,1
39134,1
9752,1
25094,1
11281,1
43424,1
61306,1
200596,1
327755,1
328252,1
16839,1
55569,1
41690,1
37649,1
214744,1
215730,1
202368,1
10480,1
6724,1
14824,1
3296,1
15703,1
786,1
28824,1
8217,1
208561,1
152880,1
210274,1
400130,1
393689,1
393874,1
33157,1
43800,1
680,1
14576,1
8705,1
34619,1
329523,1
201706,1
41231,1
60592,1
24768,1
38365,1
58487,1
15817,1
21409,1
29110,1
24757,1
48594,1
15489,1
30983,1
200386,1
36850,1
14415,1
25540,1
199167,1
53332,1
41191,1
203976,1
23522,1
48314,1
7859,1
14489,1
37424,1
30992,1
8069,1
399358,1
8517,1
132824,1
56837,1
42389,1
44925,1
20900,1
393845,1
51038,1
34222,1
12926,1
23299,1
35425,1
22653,1
216194,1
198792,1
9605,1
10098,1
34119,1
6,1
329096,1
1897,1
209042,1
2602,1
197562,1
14466,1
20580,1
31727,1
49282,1
204846,1
49677,1
51269,1
47160,1
55081,1
1764,1
33676,1
197712,1
9159,1
50517,1
199758,1
21449,1
22953,1
35344,1
9688,1
37611,1
197696,1
17621,1
33182,1
49835,1
48684,1
55470,1
328193,1
208789,1
49635,1
142592,1
200000,1
63199,1
19983,1
32903,1
150436,1
37693,1
62744,1
394277,1
210250,1
48426,1
15826,1
63362,1
201085,1
45420,1
39896,1
40651,1
47543,1
57687,1
61168,1
397423,1
46864,1
200514,1
37463,1
17363,1
208813,1
57580,1
8262,1
400797,1
57352,1
197161,1
8399,1
8346,1
8921,1
15318,1
208096,1
203417,1
61144,1
58112,1
137718,1
57168,1
48669,1
37153,1
39686,1
204050,1
23470,1
33930,1
398017,1
198913,1
20546,1
50198,1
140576,1
12678,1
133409,1
40539,1
15480,1
51433,1
62082,1
2514,1
28810,1
8739,1
60550,1
43847,1
35744,1
30361,1
8309,1
328867,1
13571,1
42800,1
48968,1
39506,1
39583,1
42422,1
200532,1
214390,1
33956,1
12993,1
197540,1
