asn,nb_hostnames
395747,3278
21664,1064
213120,917
215859,352
394192,296
394507,284
35540,207
8075,202
29222,187
205762,150
199193,148
696,101
29097,96
47302,91
29691,81
39572,63
62567,53
19551,43
47447,43
201011,43
33845,37
14907,36
34788,36
6732,35
31936,34
12322,34
26496,34
197540,33
207143,29
8560,29
60068,26
14853,26
59692,25
2635,25
34432,25
8231,24
61098,23
39040,22
20560,21
48038,21
200386,21
31424,21
15317,20
65115,20
1836,20
60781,19
9100,18
24951,18
13030,18
49612,17
205585,17
198249,17
57633,17
40824,17
63293,16
20546,15
15796,15
200325,15
44066,13
214455,13
34309,13
202242,13
25117,12
52130,12
51433,12
59414,12
35206,12
27589,11
205377,11
54994,10
25563,10
207660,10
50474,10
1897,10
58061,10
24898,10
31080,10
197664,10
204915,9
12347,9
200713,9
8839,9
34578,9
30742,9
62297,9
5403,9
39392,9
42567,9
30148,9
20641,9
12640,9
56682,8
44880,8
133795,8
31052,8
15456,8
49981,8
52030,8
64437,8
12511,8
39210,7
35507,7
31736,7
206891,7
141995,7
7979,7
57788,7
49676,7
43037,7
21994,7
48681,7
24676,6
6724,6
50989,6
15675,6
199236,6
204631,6
21449,6
8400,6
60248,6
205644,6
12306,6
56803,6
33157,6
206484,6
8304,6
202425,6
6698,6
24600,6
15817,5
8535,5
15600,5
49714,5
44534,5
49983,5
207970,5
47506,5
202368,5
30961,5
56798,5
34699,5
8657,5
56898,5
15532,5
29014,5
59467,5
203732,5
35280,5
49130,5
208058,5
3457,5
209042,5
198385,5
24971,5
61976,5
48324,4
51859,4
26666,4
201319,4
24768,4
207728,4
35635,4
34993,4
200019,4
48218,4
51025,4
24572,4
44696,4
212216,4
9025,4
9108,4
210274,4
206123,4
206662,4
15554,4
208813,4
214308,4
6656,4
48729,4
52580,4
214217,4
208216,4
29166,4
211582,4
48314,4
51577,4
199218,4
24961,4
43800,3
62068,3
60059,3
206775,3
32338,3
53667,3
31141,3
44907,3
56341,3
200928,3
23816,3
6185,3
20988,3
203412,3
15585,3
42312,3
200651,3
42371,3
44133,3
30818,3
12313,3
47176,3
12353,3
34222,3
29641,3
31586,3
31577,3
200356,3
2780,3
56655,3
3209,3
199524,3
8793,3
58010,3
42760,3
8856,3
28834,3
34225,3
49457,3
401200,3
215740,3
51888,3
5761,3
42346,3
6496,3
6772,3
208305,3
15149,3
34369,3
204601,3
137409,3
8708,3
204544,3
15479,3
202035,3
60550,3
215300,3
214163,3
41960,3
9764,3
38365,3
13273,3
42656,3
57352,2
210770,2
51013,2
12731,2
16107,2
25472,2
204572,2
16111,2
12928,2
7941,2
33956,2
200324,2
47524,2
16839,2
38927,2
26347,2
201481,2
23576,2
8481,2
62416,2
201744,2
205747,2
