asn,nb_hostnames
395747,3838
21664,1011
394507,630
213120,596
16276,588
394192,294
210403,191
204915,174
8075,149
215859,110
62567,102
50474,100
39572,76
12322,76
19551,74
29571,52
202492,48
328193,45
141995,43
37963,42
53589,41
8560,40
22612,36
31936,35
26496,35
36995,34
29222,33
36420,33
214455,31
55293,28
63293,26
24600,25
2057,24
29169,23
7979,21
328025,21
40824,20
54994,19
38369,19
60781,18
5545,18
46606,18
14853,18
57633,17
133795,17
14907,16
59692,15
49287,15
2635,14
49981,14
30148,14
34240,13
8839,13
54641,13
204800,13
211612,12
6496,12
200356,11
139144,11
47846,11
26666,11
4200000021,10
200019,10
8228,10
139341,9
25117,9
58061,9
44907,9
53824,9
49714,9
13238,9
14441,9
200325,8
37381,8
34920,8
12178,8
34993,8
3457,7
210770,7
48809,7
40021,7
52148,7
202425,7
199524,7
13442,6
52167,6
397273,6
12640,6
33837,6
14466,6
214124,5
10753,5
53667,5
52130,5
2611,5
60362,5
62068,5
23352,5
44009,5
21409,5
328832,5
14576,5
3296,5
24961,5
44477,5
215300,5
199218,5
61976,5
17668,5
33956,4
203461,4
44976,4
207208,4
376,4
28753,4
49352,4
200107,4
37190,4
328620,4
8304,4
13193,4
150078,4
48729,4
6185,4
46844,4
48744,4
19648,4
64437,4
6939,4
201200,4
206264,4
46475,4
35425,4
6698,4
17025,4
395458,4
202242,4
36352,4
24611,4
151373,3
33157,3
9009,3
36924,3
8069,3
45420,3
3920,3
45090,3
61098,3
49152,3
51888,3
2665,3
35744,3
14415,3
63410,3
12678,3
199729,3
58521,3
7941,3
50482,3
37662,3
41722,3
62768,3
12956,3
328137,3
19653,3
28320,3
6762,3
18881,3
56696,3
132337,3
15605,3
28398,3
19422,3
3844,3
1916,3
8195,3
6057,3
263945,3
200449,3
28683,3
65001,3
39241,3
36666,3
39072,3
133210,3
135360,3
199777,3
401200,3
37153,3
12565,3
50446,3
34119,3
42567,3
35280,3
36786,3
56898,3
31586,3
201896,3
7203,3
209349,3
60922,2
24691,2
61047,2
36066,2
15699,2
202053,2
33191,2
204145,2
26277,2
44160,2
328853,2
209042,2
150436,2
201936,2
328174,2
29182,2
49610,2
3387,2
36057,2
59253,2
137409,2
24482,2
8708,2
14537,2
60855,2
57724,2
55470,2
14472,2
20546,2
29264,2
30058,2
216353,2
26347,2
60144,2
6656,2
50624,2
4258,2
5761,2
12357,2
23576,2
9123,2
39444,2
213394,2
36459,2
49582,2
328252,2
19983,2
60230,2
29066,2
32338,2
31178,2
13830,2
212815,2
10480,2
43311,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
327788,2
132602,2
9730,2
139057,2
62243,2
57809,2
27589,2
199867,2
216154,2
696,2
56309,2
34222,2
212490,2
199758,2
51430,2
58487,2
25543,2
14315,2
204251,2
41653,2
152880,2
327746,2
6724,2
44901,2
198993,2
197540,2
34863,2
50980,2
133618,2
8346,2
47836,2
198831,2
134176,2
42240,2
204450,2
9764,2
394432,2
6738,1
42745,1
42422,1
13273,1
34699,1
213232,1
41410,1
51433,1
48130,1
35258,1
48254,1
22953,1
140290,1
201706,1
8262,1
25826,1
30475,1
208813,1
8921,1
214390,1
9752,1
2514,1
43142,1
199636,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
5381,1
23520,1
48641,1
35360,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
205920,1
15802,1
199167,1
63760,1
205461,1
56324,1
50979,1
56322,1
60009,1
205762,1
200508,1
37648,1
10929,1
34619,1
15826,1
211922,1
25094,1
398017,1
30340,1
60550,1
397849,1
202368,1
20900,1
198983,1
36925,1
399358,1
329184,1
204770,1
205373,1
3768,1
9159,1
50881,1
44112,1
51586,1
133409,1
42848,1
23393,1
198610,1
34235,1
207809,1
214119,1
394277,1
212792,1
49835,1
9059,1
205215,1
34788,1
204039,1
41191,1
35916,1
209928,1
215402,1
15703,1
50583,1
28977,1
393874,1
16326,1
15480,1
58182,1
208353,1
24898,1
327809,1
62563,1
205193,1
132824,1
28704,1
41528,1
50517,1
39134,1
59689,1
8312,1
203417,1
58294,1
198178,1
15456,1
47300,1
198913,1
202816,1
211522,1
37107,1
328867,1
48703,1
204846,1
37649,1
207569,1
51852,1
22653,1
63199,1
60087,1
198792,1
37483,1
41690,1
48669,1
40699,1
786,1
57344,1
61144,1
29691,1
200928,1
56341,1
197696,1
36850,1
29608,1
197664,1
55569,1
51894,1
199236,1
197562,1
142592,1
61168,1
8920,1
30983,1
11807,1
54467,1
399566,1
36891,1
18905,1
13571,1
680,1
328355,1
51269,1
45753,1
15966,1
19324,1
204548,1
55688,1
36946,1
36114,1
49127,1
29286,1
