asn,nb_hostnames
395747,136
21664,97
213120,87
394507,63
394192,51
19551,14
8075,11
401200,9
39572,8
10131,7
14853,6
62567,6
63293,5
2635,4
45179,4
31936,4
26347,2
133162,2
33837,2
4770,2
14907,2
12178,2
213232,2
139828,2
214455,2
16276,2
132736,2
215740,1
133795,1
41690,1
36459,1
24226,1
134433,1
4768,1
133096,1
38881,1
211612,1
11281,1
38830,1
14441,1
204915,1
44907,1
9788,1
393874,1
22612,1
26496,1
36352,1
4738,1
34655,1
204800,1
60781,1
64437,1
