asn,nb_hostnames
395747,3475
21664,1732
213120,554
394507,438
394192,350
8075,280
14117,210
17147,188
16276,135
27651,127
19551,125
62567,109
263173,80
213232,78
262256,70
263208,70
204915,66
215859,60
3457,56
265839,53
64161,51
11340,47
265831,46
23352,42
263237,41
139144,41
18747,39
39572,36
52368,35
46606,35
23416,35
22860,33
36420,32
211612,30
266855,26
23140,25
12322,25
264626,24
44901,24
61317,24
52489,24
262237,23
2635,21
10778,20
31936,19
14853,19
5545,18
214455,18
271803,18
14441,18
133795,18
63293,18
20191,16
35280,16
10480,15
59692,15
26347,15
26496,14
273025,14
265656,14
10753,13
26623,12
22612,12
27897,12
53824,12
204800,12
30148,11
7979,11
14907,11
8560,11
60781,11
45090,11
53755,10
397423,10
40824,10
37963,9
57724,9
39020,9
200325,8
12640,7
40021,7
31577,7
263753,7
263214,7
26666,7
12178,7
63410,7
53667,7
264671,7
42532,7
52441,7
13442,6
27823,6
200019,6
30961,6
48254,5
28099,5
52341,5
55286,5
32097,5
64121,5
64437,5
49635,5
273886,5
28091,5
7203,5
395458,5
44907,4
202425,4
30109,4
27946,4
26610,4
206264,4
266726,4
42567,4
46529,4
24971,4
16742,4
12956,4
54994,4
46844,4
205193,4
266902,4
397849,4
42612,4
33837,4
6698,4
6185,4
17668,4
204450,4
14466,3
52511,3
53303,3
207970,3
215300,3
272014,3
23470,3
262147,3
273584,3
33182,3
20015,3
55293,3
15699,3
58521,3
29085,3
64114,3
27952,3
137409,3
29222,3
199242,3
17025,3
50482,3
52468,3
37662,3
41722,3
62768,3
328137,3
19653,3
24482,3
24600,3
28320,3
6762,3
18881,3
56696,3
132337,3
15605,3
28398,3
19422,3
3844,3
1916,3
8195,3
328832,3
6496,3
6057,3
263945,3
8069,3
6939,3
27589,3
401200,3
56958,3
8048,3
64113,3
36678,3
9094,3
30083,2
33157,2
52248,2
215845,2
139341,2
262885,2
7941,2
33676,2
399250,2
36818,2
32338,2
36080,2
205796,2
33191,2
27735,2
9760,2
5761,2
263700,2
61976,2
54641,2
52460,2
23522,2
30277,2
58061,2
14824,2
272022,2
34222,2
40699,2
397273,2
13238,2
49714,2
52396,2
24611,2
63240,2
45352,2
136373,2
6327,2
52320,2
17984,2
8919,2
49287,2
396390,2
61568,2
29169,2
52167,2
45517,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
5381,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
399566,2
199968,2
200449,2
264664,2
6724,2
27647,2
17363,2
264713,2
197712,2
270050,2
131965,2
14576,2
400304,2
6306,2
28120,2
23576,2
62068,2
200521,2
38369,2
200651,2
29182,2
50474,2
262589,2
22720,2
13348,2
37936,1
24572,1
266830,1
53332,1
30340,1
11281,1
14555,1
200960,1
46475,1
11432,1
207481,1
33387,1
36459,1
52438,1
61210,1
19324,1
12678,1
3320,1
13830,1
4694,1
138650,1
61098,1
214308,1
57542,1
31586,1
40728,1
52011,1
202492,1
206980,1
28421,1
400655,1
196752,1
16236,1
200195,1
213438,1
55272,1
11014,1
269925,1
57,1
60550,1
58233,1
200320,1
8361,1
27264,1
4150,1
30600,1
22653,1
52479,1
34953,1
201744,1
15208,1
39134,1
400513,1
47195,1
42249,1
42730,1
214390,1
27880,1
18801,1
202242,1
51852,1
3920,1
4258,1
7049,1
58065,1
28753,1
63648,1
58212,1
49352,1
9059,1
27229,1
211922,1
24961,1
18945,1
57088,1
44332,1
10954,1
398743,1
204601,1
39686,1
27176,1
26210,1
28209,1
54290,1
19969,1
207728,1
266660,1
43641,1
59524,1
29889,1
25697,1
10929,1
16972,1
23421,1
12357,1
203178,1
273091,1
56872,1
62243,1
394439,1
33083,1
200514,1
4373,1
267841,1
32866,1
55256,1
212792,1
61969,1
207569,1
56803,1
140688,1
215402,1
41000,1
198792,1
200508,1
393874,1
28526,1
16990,1
201936,1
393689,1
131106,1
42422,1
46440,1
25354,1
28250,1
1251,1
399358,1
206216,1
8739,1
49981,1
27862,1
262213,1
199927,1
135959,1
269875,1
393299,1
32494,1
201106,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
266771,1
16371,1
45753,1
7393,1
394303,1
205762,1
65115,1
26277,1
36666,1
19632,1
15685,1
2514,1
40476,1
216154,1
394432,1
36165,1
398787,1
138341,1
50980,1
52353,1
45420,1
42106,1
263688,1
23033,1
8001,1
55081,1
6568,1
206102,1
44066,1
3387,1
41976,1
267748,1
198968,1
54288,1
141995,1
278,1
41690,1
61144,1
26752,1
396524,1
3132,1
49127,1
14340,1
214124,1
198066,1
208488,1
56898,1
199524,1
57352,1
60144,1
152880,1
