asn,nb_hostnames
395747,3778
21664,1136
213120,665
394507,546
35540,440
394192,302
204915,233
8075,145
62567,115
215859,111
65002,106
210403,93
22612,89
12322,77
39572,67
141995,61
50474,52
37963,52
8560,43
26666,43
19551,40
26496,36
29222,34
53589,34
31936,34
15964,33
214455,33
202492,33
36420,32
2057,30
63293,28
46606,27
2635,27
60781,24
133795,23
14441,22
14853,22
2611,21
38369,20
30992,20
54641,19
40824,19
15317,18
24600,18
60068,16
36912,15
7979,15
49981,15
14907,15
55293,14
49287,14
53667,13
3457,13
26347,12
54994,12
8839,12
6496,11
47846,11
59692,11
58061,11
30148,11
28753,10
44907,10
200325,10
14555,10
137,10
29169,10
200019,9
8228,9
40021,9
58294,8
139341,8
12178,8
213232,8
200356,7
36905,7
10753,7
57633,7
203461,7
139144,7
53824,7
202425,7
210770,7
36666,7
45090,7
34993,7
395458,7
204800,7
4200000021,6
696,6
55470,6
6327,6
200449,6
328832,6
27589,6
376,6
50989,6
202053,6
29066,6
150078,6
44477,6
49612,6
48729,6
17668,6
6698,6
47422,6
25117,5
786,5
44009,5
62068,5
393960,5
48254,5
46475,5
215322,5
215300,5
60362,5
37672,5
398256,5
6185,5
13571,5
201200,5
6427,4
39241,4
37153,4
2665,4
2675,4
60144,4
34119,4
49714,4
44534,4
36955,4
35280,4
36786,4
41653,4
210250,4
50980,4
40699,4
8288,4
397273,4
17025,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
19653,4
24482,4
28320,4
6762,4
18881,4
56696,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
14537,4
8195,4
6057,4
263945,4
64437,4
31586,4
199524,4
201896,4
36352,4
22720,4
30277,3
328854,3
56898,3
199729,3
611,3
13193,3
8304,3
48744,3
23352,3
44976,3
48040,3
198913,3
16326,3
3920,3
11807,3
5761,3
397849,3
6724,3
328866,3
328840,3
30961,3
39444,3
63240,3
52468,3
45352,3
136373,3
52320,3
17984,3
9015,3
19782,3
61568,3
200039,3
132045,3
20764,3
137409,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
205920,3
15802,3
139057,3
14415,3
9009,3
12640,3
30058,3
33157,3
201106,3
50446,3
42848,3
12678,3
215740,3
52130,3
62243,3
205435,3
210544,3
3296,3
328252,3
49352,3
13442,3
51888,3
63410,3
24961,3
61098,3
7941,3
34619,3
35425,3
199218,3
62979,3
327741,2
203178,2
10480,2
60230,2
48809,2
18945,2
32338,2
25516,2
14315,2
8069,2
7859,2
3387,2
57809,2
199777,2
36066,2
14472,2
15149,2
51433,2
15817,2
20546,2
133210,2
135360,2
213394,2
23470,2
15456,2
60550,2
4258,2
205139,2
56341,2
30475,2
211611,2
200107,2
8346,2
26277,2
36080,2
205762,2
206264,2
43311,2
19853,2
39072,2
216353,2
212815,2
34788,2
51430,2
51468,2
14576,2
58521,2
27223,2
401200,2
29182,2
14466,2
33191,2
207970,2
393299,2
32494,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
29484,2
46844,2
25833,2
42567,2
7203,2
9123,2
214124,2
6656,2
37010,2
20068,2
36459,2
204548,2
53264,2
199758,2
29571,2
52148,2
196645,2
680,2
20264,2
399358,2
23576,2
202242,2
49025,2
8987,2
17841,2
216154,2
21409,2
19983,2
24611,2
46981,2
197540,2
20616,2
20580,2
42240,2
46433,1
327820,1
26206,1
396073,1
37649,1
63447,1
28838,1
39029,1
43009,1
214390,1
8705,1
9605,1
202115,1
44160,1
206672,1
35179,1
39134,1
45666,1
32780,1
61144,1
393874,1
203976,1
9752,1
13830,1
199973,1
198993,1
24691,1
9208,1
208444,1
6713,1
36884,1
202321,1
204145,1
136165,1
39239,1
16839,1
43948,1
399937,1
12357,1
202368,1
397423,1
48813,1
23011,1
24971,1
393952,1
26480,1
210032,1
199167,1
7483,1
40065,1
56958,1
48669,1
48130,1
43641,1
393689,1
216194,1
207208,1
46440,1
60937,1
132224,1
135222,1
15083,1
53332,1
39104,1
133024,1
47836,1
1955,1
49677,1
40994,1
50624,1
8473,1
39825,1
208488,1
15966,1
8921,1
35344,1
50517,1
205461,1
131965,1
6738,1
205585,1
6661,1
58087,1
55688,1
201936,1
149440,1
40651,1
9371,1
35744,1
141518,1
132824,1
55106,1
197553,1
36850,1
394277,1
50979,1
49610,1
208789,1
25094,1
24898,1
395092,1
8960,1
60798,1
24757,1
205544,1
17001,1
53850,1
31892,1
15474,1
208353,1
136891,1
35258,1
35507,1
30983,1
44386,1
8523,1
42656,1
28977,1
204846,1
11878,1
12046,1
34309,1
15826,1
142592,1
3208,1
329278,1
15703,1
60114,1
31577,1
138650,1
54456,1
44696,1
29110,1
202521,1
200195,1
213438,1
204039,1
151373,1
25820,1
200928,1
48703,1
1764,1
211859,1
61136,1
14098,1
62744,1
58487,1
57344,1
200521,1
42422,1
17488,1
201706,1
34235,1
207809,1
400754,1
208128,1
2780,1
329523,1
135377,1
62856,1
30083,1
214677,1
209349,1
45420,1
39506,1
12929,1
29608,1
202656,1
11806,1
34655,1
33956,1
41690,1
51577,1
207728,1
198032,1
12064,1
48314,1
37424,1
58282,1
55569,1
202024,1
15318,1
208276,1
7040,1
133185,1
34699,1
201755,1
18450,1
60922,1
51269,1
51852,1
9986,1
31124,1
9159,1
50881,1
2594,1
215402,1
51586,1
12816,1
400940,1
399250,1
206281,1
203639,1
150436,1
41231,1
398017,1
1048,1
196763,1
33676,1
8312,1
148000,1
63760,1
394432,1
202499,1
63290,1
17363,1
59467,1
58010,1
59939,1
46864,1
199636,1
57352,1
22953,1
22653,1
3259,1
55017,1
54290,1
201188,1
204770,1
37451,1
49835,1
56798,1
198610,1
29691,1
2602,1
208561,1
20,1
8399,1
59253,1
37018,1
37088,1
11281,1
39686,1
24572,1
12565,1
33845,1
328666,1
35916,1
12306,1
140688,1
29264,1
1152,1
198792,1
6848,1
201085,1
399566,1
205193,1
214618,1
44453,1
34222,1
49152,1
198370,1
42400,1
393845,1
203417,1
31043,1
210848,1
147168,1
57580,1
41410,1
34931,1
7396,1
200508,1
20900,1
197696,1
29091,1
12059,1
41000,1
206484,1
51970,1
12488,1
13365,1
51894,1
197562,1
400797,1
42745,1
199193,1
44880,1
5467,1
61168,1
59689,1
43142,1
2514,1
328174,1
