asn,nb_hostnames
395747,3314
37963,886
21664,775
213120,582
45090,323
38369,255
4134,237
395458,227
47422,226
394507,225
201106,211
139341,173
17668,157
394192,155
4837,150
140290,130
214455,120
6496,120
50482,115
137409,115
328832,115
10753,115
24600,115
4835,115
17025,114
37662,114
41722,114
62768,114
12956,114
17984,114
328137,114
200039,114
19653,114
24482,114
28320,114
6762,114
18881,114
56696,114
132337,114
15605,114
28398,114
19422,114
3844,114
1916,114
8195,114
6057,114
263945,114
49287,114
63240,113
52468,113
45352,113
136373,113
6327,113
52320,113
9015,113
19782,113
61568,113
29169,113
132045,113
20764,113
2027,113
13786,113
51530,113
196753,113
64475,113
207841,113
270014,113
44684,113
35589,113
23520,113
48641,113
35360,113
8708,113
7589,113
15958,113
2614,113
14016,113
35600,113
38726,113
1031,113
29049,113
35598,113
264409,113
52025,113
50628,113
14537,113
205920,113
15802,113
40065,112
38019,112
150436,104
396986,104
35540,94
54994,89
4538,88
394432,81
135054,78
131659,73
4808,66
13442,63
139144,60
8075,55
23724,54
39572,50
6427,48
38365,47
393299,43
32494,43
14117,43
49665,43
13030,43
1273,43
61049,43
61573,43
8231,43
48571,43
8529,43
64126,43
1000,43
131073,43
18377,43
262427,43
37251,43
329356,43
132602,43
9730,43
8069,38
906,32
35908,30
25820,28
47384,28
62567,28
31936,27
8796,26
58563,26
134543,25
3204,25
7979,24
59692,22
215859,22
14907,21
4847,21
23576,21
10099,19
58466,19
137539,19
7582,18
9505,18
139057,17
58461,17
19551,17
10122,17
60068,17
14853,17
37936,16
63293,16
63199,16
138341,15
53667,15
401696,14
9764,14
136190,13
137697,13
55960,13
58540,12
24572,12
37944,12
133118,12
152194,11
23816,11
137718,11
134760,11
134238,11
133795,11
41608,10
137687,10
17621,10
204915,10
60781,10
63835,9
135377,9
3457,9
133775,9
15317,9
210110,9
9688,9
44907,9
200325,9
200019,9
400619,9
63572,8
2635,8
512,8
23820,8
58539,8
27589,8
45576,8
136800,8
45753,8
59371,7
4694,7
38283,7
38731,7
136188,7
49612,7
786,7
54801,7
24361,7
35916,7
202425,7
134768,7
6698,7
138415,6
32780,6
46844,6
36420,6
134963,6
49714,6
44534,6
58541,6
151373,6
64437,6
55992,6
50989,6
58593,6
140688,6
36352,6
63210,6
133861,6
42532,6
40824,6
18978,5
146814,5
63902,5
17622,5
4528,5
399358,5
136191,5
7203,5
328543,5
17506,5
63838,5
18310,5
62243,5
131965,5
134773,5
2497,5
134176,5
6185,5
141995,5
26496,5
23338,4
9760,4
9440,4
135575,4
53850,4
24349,4
139659,4
134762,4
37907,4
49304,4
9370,4
42960,4
133774,4
33387,4
134774,4
38272,4
133776,4
54467,4
7684,4
18182,4
146817,4
131921,4
134770,4
24355,4
38631,4
197540,4
9802,4
26666,4
131106,3
206848,3
35112,3
26132,3
131640,3
34309,3
24364,3
138997,3
33191,3
49981,3
134766,3
210644,3
24367,3
134771,3
393689,3
9732,3
38042,3
4616,3
62563,3
131516,3
27223,3
44386,3
45370,3
63993,3
963,3
20068,3
24161,3
12640,3
17775,3
30148,3
134761,3
58689,3
12322,3
32097,3
7617,3
58061,3
215300,3
54288,3
24282,3
30058,3
212792,3
63614,3
63139,3
5761,3
201512,3
206264,3
59019,3
199218,3
22720,3
42656,3
138005,3
205184,3
9952,2
60885,2
24359,2
24090,2
24358,2
13371,2
59467,2
209554,2
63521,2
139180,2
211769,2
201670,2
206300,2
9605,2
131660,2
7377,2
42567,2
46440,2
137798,2
207970,2
3363,2
398256,2
131810,2
136891,2
40021,2
29680,2
4290010055,2
207728,2
58791,2
18241,2
397273,2
24368,2
4713,2
7941,2
8560,2
61112,2
204601,2
9858,2
397066,2
35280,2
26752,2
24396,2
199524,2
4515,2
15318,2
7506,2
59073,2
29066,2
36459,2
134365,2
63473,2
55532,2
53824,2
205762,2
201744,2
200651,2
36642,2
136144,2
400464,2
62068,2
24372,2
149656,2
2513,2
51852,2
2907,2
24351,2
40850,2
24357,2
17623,2
4641,2
50980,2
9232,2
24365,2
41231,2
137693,2
132153,2
131325,2
136194,2
137698,2
134835,2
23470,2
134677,2
149042,2
4792,2
63548,2
23910,2
18403,2
26042,2
131279,2
140224,2
132068,2
11106,1
3361,1
152644,1
14340,1
49127,1
5723,1
18239,1
15149,1
142002,1
16034,1
10167,1
136897,1
140766,1
147060,1
17638,1
203417,1
216014,1
48326,1
44932,1
61144,1
397423,1
15113,1
152705,1
24544,1
198032,1
12929,1
47577,1
51008,1
137699,1
9986,1
210870,1
42106,1
2857,1
3387,1
23620,1
21513,1
30209,1
213232,1
16839,1
200508,1
206924,1
22213,1
28753,1
133201,1
197553,1
2514,1
55034,1
56771,1
22612,1
211413,1
31972,1
63700,1
135905,1
62838,1
14472,1
9607,1
9906,1
142036,1
29014,1
63641,1
13462,1
401200,1
207809,1
202015,1
2832,1
133073,1
31713,1
45894,1
137764,1
58519,1
44112,1
20546,1
138152,1
56282,1
69,1
65115,1
26832,1
131623,1
5739,1
10032,1
7859,1
58879,1
150706,1
152450,1
41441,1
201755,1
28838,1
39029,1
214390,1
137280,1
46829,1
11643,1
17686,1
131457,1
212628,1
200596,1
53587,1
1152,1
5408,1
49042,1
9729,1
38027,1
393874,1
205373,1
30340,1
56803,1
8046,1
58543,1
47002,1
205193,1
52130,1
6907,1
138995,1
63629,1
59796,1
201768,1
9924,1
17428,1
211392,1
215845,1
24362,1
17816,1
6352,1
142594,1
30818,1
54913,1
211922,1
24348,1
11878,1
59078,1
215402,1
24370,1
31577,1
131,1
44696,1
142040,1
7396,1
36483,1
9371,1
20641,1
62468,1
62904,1
147002,1
30886,1
53268,1
63410,1
205960,1
215269,1
201773,1
200514,1
152711,1
13041,1
208488,1
25916,1
216047,1
13767,1
132252,1
27264,1
4150,1
30600,1
41378,1
24971,1
34432,1
22828,1
20111,1
201012,1
197902,1
24961,1
132688,1
46783,1
21581,1
46010,1
14745,1
205585,1
133929,1
59025,1
48815,1
33157,1
53332,1
137736,1
7483,1
147296,1
45420,1
133905,1
239,1
17514,1
142052,1
215467,1
17242,1
41690,1
138968,1
200195,1
213438,1
204800,1
65500,1
49392,1
30083,1
680,1
21840,1
328174,1
7671,1
7650,1
63228,1
151487,1
33083,1
45898,1
397849,1
139138,1
11094,1
61210,1
142132,1
7690,1
27500,1
200449,1
12178,1
14744,1
45064,1
40430,1
207640,1
50313,1
57088,1
139110,1
7514,1
9321,1
3768,1
19973,1
136209,1
31083,1
36850,1
206888,1
58542,1
133752,1
213802,1
31586,1
24611,1
10480,1
32338,1
11281,1
62325,1
