asn,nb_hostnames
395747,3183
21664,1805
213120,564
8075,467
394507,430
35540,261
394192,225
204915,174
3457,157
19551,152
27864,143
62567,136
8065,124
10753,98
19429,94
215859,88
265667,80
262191,74
23352,73
3816,69
26496,62
213232,60
33182,58
17668,56
18747,52
214455,45
46606,44
39572,41
53824,36
6496,34
18881,31
395458,31
36420,30
12956,30
3844,29
28398,29
263945,29
328832,29
8195,29
6057,29
62768,29
17025,29
132337,29
19653,29
6762,29
328137,29
41722,29
28320,29
37662,29
24600,29
15605,29
19422,29
56696,29
1916,29
50482,29
60068,28
14117,28
6427,28
393299,27
32494,27
201106,27
49665,27
13030,27
1273,27
61049,27
61573,27
8231,27
48571,27
8529,27
64126,27
1000,27
131073,27
18377,27
262427,27
37251,27
329356,27
132602,27
9730,27
22612,26
26619,25
31936,24
8560,23
63293,23
30148,22
2635,22
52335,20
14853,20
10480,18
55293,16
40021,16
14441,15
265696,15
37963,15
40699,14
35280,14
7979,13
60781,13
133795,13
39020,12
22720,12
15317,11
26666,11
27831,10
7203,10
14907,9
5722,9
200325,9
49612,9
28032,8
59692,8
13442,8
42612,7
48254,7
273584,7
24971,7
397849,7
263719,7
204800,7
269954,6
400754,6
262186,6
200019,6
12640,6
397273,6
267708,6
139144,6
52468,6
8048,6
267893,6
264714,6
53667,6
14340,6
263710,6
40824,6
141995,5
21578,5
265652,5
31577,5
58061,5
58521,5
139341,5
63410,5
64620,5
30961,5
27817,5
26347,5
29066,5
49635,5
266669,5
13601,5
54641,5
6698,5
27589,4
49981,4
38369,4
36080,4
5761,4
23520,4
205193,4
215300,4
273204,4
202492,4
4258,4
271773,4
133861,4
267841,4
206264,4
30083,4
47422,4
50989,3
397993,3
44907,3
54994,3
137409,3
56958,3
30109,3
200521,3
401200,3
22653,3
266869,3
202425,3
266737,3
12322,3
24482,3
7589,3
26605,3
25354,3
52247,3
42567,3
25697,3
49714,3
44534,3
27647,3
23576,3
271825,3
262589,3
18905,3
27823,3
64437,3
12386,3
61467,3
6185,3
264718,3
52488,3
34655,3
199524,3
200960,3
400275,3
12178,3
9094,3
29222,2
267682,2
269902,2
52330,2
10297,2
19373,2
8312,2
24611,2
63240,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
49287,2
19782,2
61568,2
29169,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
48641,2
35360,2
8708,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
48040,2
271859,2
18945,2
7941,2
64562,2
27640,2
262214,2
269972,2
48083,2
14187,2
34222,2
271818,2
63648,2
27810,2
29182,2
214124,2
10299,2
395412,2
7087,2
264713,2
64113,2
273829,2
53107,2
61976,2
263802,2
393874,2
273027,2
14113,2
207728,2
14555,2
47869,2
14867,2
269999,2
3352,2
32338,2
8069,2
36640,2
47836,2
33191,2
399566,2
205796,2
200320,2
33157,2
200449,2
203976,2
52580,2
16556,2
19969,2
269885,2
273993,2
262158,2
45090,2
48968,2
394727,2
14576,2
199968,2
52341,2
135377,2
13348,2
10929,2
31586,2
14466,1
20264,1
32097,1
198792,1
204601,1
28526,1
214273,1
8422,1
395226,1
53332,1
30058,1
38945,1
205762,1
65115,1
61144,1
15130,1
271845,1
396356,1
3387,1
39534,1
44477,1
6656,1
62856,1
15083,1
271833,1
27910,1
16839,1
393922,1
43009,1
398743,1
54913,1
200195,1
213438,1
55569,1
214308,1
60550,1
3768,1
63760,1
42532,1
23470,1
60144,1
44998,1
200107,1
48729,1
27882,1
266736,1
58065,1
10954,1
27837,1
12678,1
264805,1
6724,1
56803,1
45420,1
267788,1
132111,1
198032,1
267928,1
272988,1
6352,1
16371,1
24961,1
1761,1
395092,1
203178,1
36165,1
48763,1
2514,1
273080,1
264648,1
393689,1
210250,1
61098,1
36459,1
152880,1
22194,1
29085,1
138341,1
3920,1
214390,1
197876,1
262226,1
270062,1
40539,1
27862,1
263804,1
264803,1
25820,1
201346,1
399358,1
265682,1
51025,1
34953,1
263819,1
203755,1
27650,1
3603,1
8987,1
11281,1
57352,1
62243,1
36352,1
43937,1
196752,1
397423,1
26752,1
21856,1
11014,1
53755,1
212792,1
216154,1
51852,1
272007,1
52489,1
263173,1
11432,1
14824,1
52236,1
398787,1
41690,1
42730,1
201744,1
266602,1
206216,1
197712,1
46475,1
211922,1
2665,1
28753,1
266860,1
205544,1
27941,1
394432,1
20718,1
40728,1
9009,1
8387,1
397373,1
55081,1
61210,1
12357,1
396524,1
8739,1
136264,1
263210,1
61463,1
271820,1
40065,1
131640,1
274015,1
26505,1
264653,1
12993,1
208488,1
272003,1
46440,1
62068,1
53589,1
26277,1
12641,1
207970,1
207569,1
199242,1
56872,1
264829,1
50980,1
269777,1
42422,1
6306,1
30340,1
278,1
52438,1
200651,1
13886,1
46844,1
215402,1
12064,1
