asn,nb_hostnames
395747,3740
21664,1370
213120,779
394507,554
394192,385
8075,347
16276,173
28081,163
62567,161
204915,121
263683,102
23352,94
215859,78
19551,63
39572,62
26496,59
3790,55
46606,49
3457,45
213232,42
2635,40
263713,38
262217,37
211612,35
8560,35
30148,34
14441,32
22612,31
31936,31
14853,27
55293,26
267692,26
5545,25
133795,25
63293,23
53824,23
23470,22
26666,21
262197,21
63410,21
12178,19
52423,18
7979,17
60781,17
40021,17
204800,17
59692,16
36420,16
214455,16
273216,16
397849,15
40824,15
33182,14
401200,14
14907,14
46864,13
53667,13
39020,13
205193,13
10480,12
54641,12
26347,11
22720,11
200325,10
27589,10
37963,10
400275,10
8739,9
28050,9
48254,9
141995,9
57724,9
6698,9
45090,9
52468,8
200019,8
52470,8
139144,8
38369,8
31577,8
262149,7
42612,7
30961,7
33837,7
262202,7
267740,6
35280,6
206264,6
64437,6
202425,6
46844,6
58061,6
42532,6
36080,6
12322,6
215300,6
15083,5
399566,5
262145,5
49981,5
44907,5
25697,5
14555,5
58521,5
46475,5
33157,5
205796,4
7393,4
5761,4
202242,4
397373,4
271891,4
266665,4
273987,4
54994,4
207970,4
14576,4
263831,4
13442,4
139341,4
27876,4
6185,4
7203,4
10753,4
12678,3
14340,3
4258,3
61976,3
53303,3
51468,3
32780,3
212792,3
22414,3
199236,3
6939,3
197712,3
25354,3
42567,3
52228,3
400754,3
13238,3
49714,3
28544,3
207728,3
49635,3
54913,3
27647,3
56898,3
23576,3
27223,3
13601,3
200960,3
263232,3
36352,3
199524,3
9094,3
215845,2
200320,2
398256,2
7941,2
60550,2
29066,2
204601,2
393689,2
32338,2
18747,2
49287,2
214124,2
215322,2
200521,2
397273,2
199968,2
24611,2
216154,2
24572,2
199218,2
393874,2
35744,2
266907,2
34222,2
2514,2
16371,2
14117,2
29222,2
56958,2
12640,2
200449,2
211922,2
50980,2
19373,2
271803,2
138650,2
54961,2
14315,2
63199,2
14466,2
262152,2
215740,2
33191,2
32413,2
203178,2
30083,2
197664,2
19853,2
264621,2
201744,2
14824,2
328832,2
264713,2
14754,2
53755,2
24961,2
62068,2
13284,2
61098,2
32097,2
137409,2
6496,2
206102,2
40699,2
205762,2
29182,2
203976,2
31586,2
13348,2
52489,2
42240,2
18881,2
20033,2
27716,2
9764,2
771,2
10929,2
17668,2
24600,2
33676,1
52463,1
401479,1
33512,1
12357,1
58065,1
263220,1
26722,1
198066,1
198610,1
13830,1
200195,1
213438,1
9009,1
42422,1
206980,1
43009,1
264626,1
53107,1
36818,1
56872,1
263783,1
17079,1
399250,1
41976,1
36066,1
62856,1
8065,1
200107,1
398787,1
36850,1
208769,1
395906,1
63362,1
42730,1
55081,1
267797,1
48757,1
57304,1
207809,1
53332,1
263765,1
152880,1
60922,1
34309,1
63760,1
27809,1
395409,1
207569,1
39686,1
8069,1
23816,1
12824,1
9524,1
7859,1
397187,1
3768,1
24482,1
5381,1
49352,1
263173,1
35699,1
3352,1
49683,1
63648,1
48763,1
131965,1
23522,1
28086,1
12993,1
44477,1
198993,1
26978,1
210250,1
2665,1
27862,1
20784,1
27823,1
44128,1
48324,1
14187,1
395412,1
60144,1
266853,1
263762,1
50664,1
30058,1
52438,1
6724,1
6428,1
59432,1
33083,1
270078,1
39560,1
395226,1
15630,1
50583,1
30246,1
208488,1
6306,1
11014,1
24971,1
3387,1
8361,1
49127,1
27999,1
56594,1
8657,1
6352,1
1897,1
11432,1
200651,1
3262,1
3920,1
47195,1
61144,1
198968,1
9059,1
215402,1
60114,1
198432,1
36356,1
23393,1
19324,1
22889,1
13324,1
47447,1
36165,1
8048,1
200000,1
11041,1
48729,1
13041,1
9123,1
27264,1
4150,1
30600,1
273584,1
27651,1
264686,1
62243,1
3816,1
14415,1
61210,1
400513,1
263749,1
198792,1
13122,1
204039,1
22056,1
36459,1
394303,1
56803,1
41690,1
41231,1
28526,1
14657,1
200508,1
18905,1
22194,1
33260,1
10954,1
18945,1
32903,1
28022,1
202054,1
6621,1
200386,1
393299,1
32494,1
3844,1
201106,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
8195,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
397423,1
30277,1
267739,1
22878,1
200928,1
56341,1
60527,1
273147,1
53589,1
211611,1
22653,1
30109,1
209674,1
58212,1
28553,1
26277,1
11281,1
278,1
65115,1
200514,1
51852,1
198032,1
26752,1
212363,1
54288,1
208677,1
4694,1
15273,1
214390,1
151373,1
23421,1
19969,1
36057,1
196752,1
27552,1
52385,1
399358,1
214308,1
57352,1
262185,1
398743,1
213737,1
54548,1
21787,1
28513,1
263785,1
203417,1
14472,1
28753,1
