asn,nb_hostnames
395747,3923
21664,965
213120,641
394192,577
264713,372
35540,265
394507,254
204915,240
23352,237
215859,129
39572,98
62567,94
8075,92
8560,77
22612,71
2635,64
60068,55
19551,49
31936,46
26496,40
55045,38
133795,36
7979,31
37963,30
15317,30
200521,30
47846,29
42612,26
60781,23
63293,23
12178,21
39020,20
14907,20
30961,19
214455,19
40824,19
30148,15
38369,15
3352,15
25354,15
14853,15
56958,14
141995,14
12322,14
3457,14
10569,14
31577,13
200325,13
46606,13
40021,13
15699,13
200019,13
14441,12
205193,12
36420,12
49981,11
53667,11
58061,11
58521,11
61976,11
42532,11
49635,10
10480,10
53824,10
16371,9
198968,9
13601,9
23470,9
59692,9
139341,9
44907,9
202242,9
1897,9
200960,9
197712,8
26666,8
54994,8
44534,8
49714,8
45090,8
214124,8
56341,7
55293,7
6057,7
49612,7
60144,7
27589,7
24600,7
6698,7
26347,6
206264,6
29066,6
151373,6
13442,6
202425,6
207970,6
401200,6
12678,6
204800,6
9094,6
63410,5
200928,5
35280,5
44477,5
9123,5
203178,5
8048,5
199968,5
273584,5
64437,5
139144,5
12640,4
208769,4
58062,4
198610,4
42567,4
205585,4
51433,4
31586,4
205796,4
63760,4
50989,4
215300,4
278,4
48729,4
397273,4
28513,3
61098,3
198096,3
48040,3
216071,3
202053,3
271803,3
202656,3
34788,3
34119,3
12386,3
200000,3
14117,3
14745,3
34222,3
400304,3
150078,3
7941,3
216154,3
10954,3
6185,3
6724,3
44160,3
40699,3
139057,3
6427,3
6762,3
7203,3
54641,3
213232,3
199218,3
8195,3
56872,2
15685,2
198934,2
59939,2
210756,2
30058,2
328832,2
33265,2
45037,2
203639,2
57929,2
200449,2
6356,2
11807,2
62243,2
20546,2
46475,2
24961,2
3273,2
2665,2
200107,2
197876,2
9009,2
44998,2
54643,2
3920,2
24971,2
27716,2
1251,2
140762,2
263208,2
42221,2
207728,2
2514,2
11014,2
204601,2
203280,2
57352,2
204846,2
34699,2
59253,2
399358,2
200514,2
27823,2
57656,2
1916,2
13830,2
138341,2
51970,2
17561,2
49352,2
19373,2
200195,2
200320,2
199524,2
203461,2
196713,2
50980,2
211922,2
27887,2
23140,2
22653,2
50474,2
27968,2
56898,2
212096,2
23576,2
42220,2
35425,2
8231,2
29222,2
3387,2
200651,2
24611,2
