asn,nb_hostnames
395747,1764
21664,570
213120,517
394507,223
394192,213
35540,81
8075,79
62567,69
327862,56
204915,55
39572,54
24768,44
215859,44
8657,35
31936,34
328941,30
19551,30
1897,28
2635,26
7979,26
214455,26
12833,25
28604,20
63293,20
59787,19
60068,19
52580,18
31080,16
14853,16
15201,15
14907,14
14441,13
37575,12
202242,12
12322,12
46606,11
43037,11
58521,10
58061,10
39384,10
133795,10
34788,9
37963,9
47846,8
141995,8
3457,8
33876,8
12353,8
266444,8
56682,8
60781,7
36420,7
8560,7
200325,7
26496,7
63410,6
47242,6
15317,6
44907,6
20264,6
199524,6
10480,5
8839,5
23352,5
30148,5
38369,5
50989,5
62416,5
12926,5
8535,5
6656,4
6496,4
42848,4
31577,4
197664,4
6698,4
53038,3
12640,3
34309,3
6185,3
13442,3
49941,3
270424,3
12178,3
40824,3
50980,3
329138,3
20634,3
12306,3
139341,3
5761,3
42656,3
213232,3
201936,2
50474,2
200019,2
9009,2
396356,2
59692,2
29222,2
60550,2
53107,2
200195,2
52030,2
29003,2
44672,2
57633,2
215740,2
202425,2
28209,2
60047,2
150078,2
49714,2
44534,2
22612,2
28299,2
15699,2
7941,2
44009,2
33191,2
31586,2
200521,2
8228,2
5626,2
43887,2
26347,2
24611,2
211922,2
216154,2
32338,2
51433,2
25117,2
4258,2
45666,2
55293,2
35744,2
25253,2
34655,2
202053,2
54994,2
207208,2
206264,2
10954,2
138341,2
197540,2
24600,2
60855,1
50446,1
1916,1
140688,1
51025,1
786,1
139144,1
208128,1
3387,1
39444,1
15967,1
2057,1
210274,1
14745,1
58233,1
53055,1
34931,1
37153,1
48669,1
62904,1
216353,1
196752,1
60798,1
42612,1
27589,1
41690,1
56958,1
12678,1
208561,1
208160,1
28998,1
30961,1
12824,1
207697,1
20253,1
29097,1
38952,1
9123,1
210976,1
41468,1
2819,1
62068,1
55569,1
397273,1
9248,1
47217,1
53332,1
200356,1
28753,1
18450,1
24961,1
203461,1
204800,1
200596,1
328252,1
22720,1
28629,1
61144,1
398017,1
59939,1
201085,1
30058,1
398256,1
206225,1
12641,1
10753,1
138650,1
393874,1
15685,1
48348,1
36066,1
44477,1
64437,1
24482,1
45090,1
213438,1
40651,1
29182,1
42567,1
138152,1
214124,1
23470,1
198032,1
152880,1
3920,1
207970,1
208353,1
46844,1
30361,1
199218,1
200532,1
3352,1
14466,1
12527,1
39239,1
57542,1
2514,1
35425,1
63290,1
22653,1
8262,1
20406,1
53243,1
53755,1
271755,1
14824,1
3273,1
24971,1
6661,1
399358,1
10897,1
6427,1
205762,1
55081,1
29001,1
8739,1
8987,1
20546,1
40539,1
61976,1
23576,1
57344,1
61098,1
30109,1
205373,1
36818,1
9118,1
37096,1
49981,1
266390,1
11281,1
198884,1
202492,1
12357,1
213737,1
214390,1
20847,1
36459,1
19648,1
8069,1
273584,1
400797,1
43028,1
137409,1
23522,1
62243,1
49130,1
39392,1
51888,1
31627,1
42312,1
31705,1
397569,1
52130,1
271232,1
24898,1
47833,1
49612,1
13134,1
2611,1
54641,1
27715,1
205461,1
26666,1
32903,1
43091,1
212422,1
198792,1
63760,1
12129,1
12993,1
30277,1
60592,1
199155,1
14576,1
28291,1
