asn,nb_hostnames
395747,1335
21664,629
213120,579
394507,264
394192,232
8075,82
2635,77
62567,60
39572,45
16276,40
215859,36
31936,29
60781,28
204915,28
31586,28
19551,27
133795,27
46606,22
30961,21
7979,19
14853,19
35744,16
401200,16
63293,16
211612,16
14907,15
214455,14
11081,13
26496,13
1152,12
30148,11
53824,11
39292,10
206281,10
20847,10
15703,10
200325,9
26347,9
41887,9
15699,8
5545,7
22612,7
52391,6
51468,6
26666,6
3457,6
14441,6
8560,6
40824,6
62003,5
36057,5
36066,5
36420,5
272996,5
33837,5
397849,5
58061,5
42585,5
40021,5
54641,5
25697,4
200995,4
14415,4
52233,4
12322,4
24586,4
13442,4
44907,4
24595,4
8048,3
33157,3
5761,3
41960,3
51091,3
202553,3
204800,3
55293,3
205876,3
62353,3
197902,3
6185,3
31673,3
34655,3
20559,3
12178,3
215740,3
27647,3
31577,3
6724,3
48645,3
59692,3
36080,2
27589,2
54994,2
39704,2
199524,2
213340,2
33191,2
33265,2
41441,2
15966,2
30109,2
50980,2
62856,2
11041,2
211499,2
26505,2
212098,2
11816,2
23470,2
328832,2
206264,2
215549,2
63410,2
6698,2
400754,2
49714,2
13238,2
27660,2
139341,2
20769,2
35280,2
38369,2
45666,2
10480,2
202053,2
64437,2
11019,2
37963,2
7203,2
211316,2
7941,2
59524,2
39020,2
202521,2
17668,2
20033,2
213232,2
21221,1
397273,1
62243,1
51758,1
393874,1
4258,1
40994,1
32338,1
209377,1
49677,1
214390,1
208561,1
214744,1
214124,1
13601,1
196752,1
24482,1
36459,1
52130,1
23576,1
12678,1
3223,1
36352,1
213192,1
49635,1
8065,1
200521,1
207257,1
28836,1
45894,1
214273,1
24971,1
26752,1
205796,1
269954,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
8195,1
10753,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
6496,1
18377,1
37662,1
6939,1
24600,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
58051,1
396356,1
20546,1
139144,1
141995,1
133409,1
200195,1
213438,1
702,1
3352,1
42649,1
393689,1
34788,1
25599,1
52301,1
200044,1
60550,1
7859,1
41690,1
200428,1
11281,1
22194,1
29097,1
61144,1
63362,1
27264,1
4150,1
30600,1
28685,1
34309,1
61473,1
3816,1
57775,1
18747,1
12313,1
398743,1
55081,1
33512,1
40034,1
52489,1
263173,1
34953,1
48669,1
200019,1
204983,1
15879,1
35425,1
29169,1
215322,1
213065,1
207970,1
29001,1
27862,1
26978,1
20953,1
60114,1
24611,1
48729,1
215467,1
42422,1
3920,1
29222,1
35260,1
8312,1
57724,1
202425,1
50917,1
57152,1
398256,1
53332,1
9009,1
401048,1
28604,1
46475,1
138650,1
12640,1
13284,1
39686,1
62082,1
18945,1
12595,1
40699,1
36165,1
2514,1
22653,1
9025,1
399358,1
3387,1
54913,1
15685,1
57168,1
22720,1
207647,1
42442,1
42567,1
