asn,nb_hostnames
395747,4384
21664,830
213120,775
215859,432
394507,423
394192,262
8075,144
35540,143
39572,122
9121,111
41657,96
62567,85
204915,62
19551,53
50233,42
60781,41
14907,38
2635,36
49612,36
31936,35
61976,32
40824,31
204800,29
46606,28
49981,28
15317,28
35425,26
59692,26
8705,26
197648,25
59467,24
30961,23
214455,23
35432,23
8560,23
34619,22
209150,21
44534,20
49714,20
133795,20
207970,20
14853,20
54994,19
55293,18
7979,18
26496,18
141995,17
63293,17
58061,17
60068,17
47521,15
207728,15
30148,15
14441,15
8544,15
52130,14
49968,14
46844,12
47883,12
36420,12
200325,12
31080,12
22612,11
64437,11
197746,11
25472,11
24655,10
27589,10
202425,10
5504,9
215322,9
49352,9
31586,8
44696,8
32338,8
56682,8
12322,8
43037,8
202521,8
215740,8
35506,8
21245,7
8535,7
35280,7
8262,7
399566,7
201706,7
42567,7
401200,7
12488,7
15805,7
210656,7
31689,7
200019,7
26666,7
209617,7
8866,7
42846,6
8708,6
31083,6
50989,6
39392,6
20546,6
12178,6
37963,6
42910,6
29182,6
3188,6
48953,6
24600,6
6496,5
204601,5
1967,5
34309,5
44907,5
62243,5
215300,5
63410,5
214744,5
27647,5
29066,5
42216,5
5408,5
210756,5
57788,5
30818,5
200000,5
44310,5
43242,5
213232,5
209853,4
205585,4
6698,4
197216,4
57152,4
6697,4
53824,4
198336,4
54641,4
210250,4
62211,4
200449,4
42926,4
34222,4
41722,4
202254,4
9123,4
12713,4
56898,4
44477,4
52148,4
34788,4
9009,4
201200,4
395458,4
47422,4
60232,4
43260,3
44901,3
786,3
6185,3
206264,3
199218,3
202242,3
8400,3
51025,3
198032,3
7203,3
202816,3
202053,3
198610,3
59939,3
32903,3
56341,3
50520,3
204932,3
51852,3
62160,3
50482,3
49287,3
137409,3
24482,3
328832,3
398256,3
199608,3
208096,3
212792,3
199524,3
31471,3
12400,3
43298,3
38913,3
60047,3
139144,3
203598,3
8517,3
26347,3
7859,3
208058,3
51859,3
62068,3
8288,3
5470,3
47195,3
19969,3
42848,3
38369,3
205865,3
48040,3
22720,3
10753,3
42656,3
28753,2
