asn,nb_hostnames
395747,2347
198627,790
51025,562
21664,546
24971,480
213120,411
39392,303
15685,266
197019,222
394507,192
51278,190
215859,170
8075,157
25234,138
394192,135
16276,131
2852,128
34222,115
2819,112
62567,107
24806,106
215846,91
39790,88
41824,86
24641,75
25248,61
50825,59
39572,57
51013,56
15512,51
43037,40
206344,37
43542,36
206548,32
212224,31
211612,31
42422,30
29208,30
61976,28
57724,27
31936,27
200325,25
14907,25
29405,25
204949,25
38952,24
58061,24
8288,22
197642,22
207728,22
59692,21
43614,20
57788,20
59467,20
25512,20
208906,18
15425,17
60781,17
5545,17
48298,17
63293,17
207970,16
57707,15
49981,15
214455,15
19551,15
59925,15
42000,14
13238,14
49714,14
51248,14
44672,14
64407,13
208058,13
52130,13
141995,12
56566,11
28725,11
213232,11
40824,11
42656,11
204915,10
28755,10
29182,9
48689,8
35280,8
200114,8
39791,8
198346,8
204601,8
20723,8
44696,7
51586,7
205300,7
133795,7
34432,7
200019,7
197013,7
31080,7
14853,7
201706,6
30818,6
197451,6
12824,6
47195,6
32338,6
61110,6
25093,6
64437,6
202425,6
17668,6
6939,5
202682,5
48040,5
3457,5
27589,5
50980,5
198143,5
37963,5
2635,5
62083,5
43298,5
49985,5
51433,5
15962,5
33837,5
200844,5
199524,5
56682,5
41456,5
44477,5
28892,5
214308,5
204770,5
24961,4
6496,4
198403,4
48729,4
211381,4
29085,4
210756,4
34342,4
43070,4
41722,4
50482,4
8251,4
60086,4
50695,4
53667,4
7979,4
48254,4
200449,4
62243,4
6698,4
20546,4
206980,4
30148,4
197083,4
44310,4
44901,4
47317,4
12322,4
14956,4
43413,4
197540,4
49665,4
26496,4
206712,3
49494,3
8856,3
201922,3
25238,3
25424,3
198031,3
39453,3
393299,3
32494,3
3844,3
201106,3
14117,3
13030,3
28398,3
1273,3
61049,3
61573,3
18881,3
12956,3
8231,3
48571,3
263945,3
8529,3
64126,3
328832,3
8195,3
10753,3
6057,3
62768,3
17025,3
395458,3
132337,3
19653,3
1000,3
6762,3
131073,3
328137,3
28320,3
18377,3
37662,3
24600,3
262427,3
37251,3
15605,3
19422,3
56696,3
327788,3
1916,3
132602,3
9730,3
51852,3
26666,3
212138,3
55293,3
197353,3
216014,3
20523,3
25393,3
49352,3
44907,3
211490,3
59939,3
39817,3
210498,3
25192,3
196944,3
21430,3
41453,3
56341,3
206264,3
215300,3
47232,3
15953,3
51331,3
33664,3
205316,2
25373,2
197875,2
13274,2
8560,2
47544,2
60248,2
7203,2
197566,2
203417,2
15614,2
205585,2
44386,2
135905,2
202053,2
61306,2
8312,2
215711,2
8520,2
48451,2
210644,2
60955,2
18529,2
207203,2
12678,2
2571,2
61210,2
14576,2
57629,2
24676,2
205865,2
211193,2
9123,2
14824,2
43709,2
12344,2
201457,2
196873,2
138650,2
211922,2
39906,2
39904,2
211187,2
199600,2
199867,2
58112,2
31586,2
60144,2
44770,2
39020,2
34369,2
56898,2
6656,2
205234,2
61425,2
8535,2
47493,2
210656,2
5761,2
201163,2
198519,2
48405,2
216475,2
204668,2
201012,2
203165,2
204544,2
23576,2
213737,2
57352,2
34040,2
8920,2
214744,2
207945,2
47577,2
20708,2
50338,2
57007,2
207325,2
9009,2
47447,2
59774,2
57728,2
204907,2
59871,2
50067,2
39896,2
7941,2
39210,2
44112,2
44880,2
9764,2
8257,2
197307,2
42240,2
3330,2
44133,1
60715,1
50698,1
25496,1
50313,1
62297,1
51210,1
9080,1
204394,1
43896,1
197216,1
35046,1
34798,1
203365,1
47111,1
203178,1
50214,1
49130,1
33191,1
202492,1
30880,1
210728,1
14340,1
