asn,nb_hostnames
395747,3342
21664,1020
213120,768
215859,681
394192,234
394507,223
35540,168
8075,136
26496,123
34788,121
8560,116
13282,85
39572,81
47447,77
680,75
34432,60
200386,56
205585,55
2780,53
62567,51
60781,44
197540,44
44599,43
19551,41
20546,41
34309,40
31936,37
6724,37
51433,36
40824,36
15817,35
14907,33
49981,30
61976,30
59692,28
15317,26
44066,25
60068,25
24961,24
49612,23
44880,23
2635,21
59467,20
8481,20
200325,19
47195,19
12640,19
27589,18
198296,18
214455,18
58061,18
56682,17
24898,17
34624,17
31080,17
35704,16
12313,16
207970,16
49130,15
208058,15
12931,14
63293,14
14853,14
30961,13
395458,13
54994,12
24676,12
202368,12
30742,12
3209,12
12306,12
48314,12
8195,12
210274,11
62297,11
17668,11
6496,10
60248,10
49714,10
44534,10
15590,10
207728,10
52130,10
8535,10
15456,10
208488,10
47422,10
50482,9
41722,9
10753,9
64437,9
44780,9
553,9
211582,9
60937,9
12843,9
204915,9
203412,9
141995,9
8422,8
17025,8
37662,8
62768,8
12956,8
328137,8
19653,8
24600,8
28320,8
6762,8
18881,8
56696,8
132337,8
15605,8
28398,8
19422,8
3844,8
1916,8
328832,8
6057,8
263945,8
43066,8
21413,8
133795,8
7979,8
34156,8
206775,8
39210,8
49676,8
48324,8
3457,8
12322,8
9145,8
35589,8
12816,7
33846,7
56898,7
8708,7
7589,7
29014,7
8469,7
16097,7
202425,7
53667,7
199236,7
44696,6
137409,6
24482,6
26666,6
60047,6
60955,6
51025,6
205948,6
44907,6
13045,6
44477,6
43037,6
48434,6
6427,6
198913,6
200019,6
9211,6
35280,6
59587,6
49287,6
212216,5
63240,5
52468,5
45352,5
136373,5
6327,5
52320,5
17984,5
9015,5
19782,5
61568,5
29169,5
200039,5
132045,5
20764,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
44684,5
23520,5
48641,5
35360,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
4134,5
35598,5
264409,5
52025,5
50628,5
14537,5
205920,5
15802,5
34369,5
42567,5
41289,5
204601,5
25184,5
7203,5
62243,5
32338,5
47610,5
202816,5
2857,5
29066,5
30818,5
30148,5
39392,5
34240,5
29182,5
51577,5
204770,5
8937,5
16107,5
48729,4
41960,4
50621,4
42312,4
62354,4
14956,4
207660,4
204544,4
20849,4
8767,4
15479,4
201206,4
210756,4
58010,4
215300,4
208161,4
34225,4
60077,4
29686,4
6733,4
13101,4
198145,4
43358,4
33157,4
12360,4
207143,4
205762,4
211505,4
38927,4
214308,4
39686,4
8899,4
216014,4
24956,4
44225,4
205453,4
48040,4
6698,4
61352,3
8731,3
35833,3
60976,3
8856,3
211381,3
16316,3
205865,3
44486,3
9188,3
5403,3
206264,3
15149,3
20633,3
28834,3
43641,3
147168,3
212674,3
200324,3
49352,3
5520,3
200928,3
56341,3
44453,3
42442,3
44932,3
58212,3
31586,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
329356,3
132602,3
9730,3
44949,3
39020,3
44716,3
14441,3
57667,3
16188,3
8875,3
213232,3
29423,3
207592,3
6656,3
37963,3
44310,3
56655,3
50989,3
24971,3
200449,3
8400,3
6185,3
199524,3
15388,3
62086,3
59939,3
206980,3
12316,3
45090,3
42656,3
215845,2
211007,2
25394,2
202798,2
211187,2
3920,2
12374,2
28753,2
215402,2
14824,2
198610,2
200651,2
25516,2
39225,2
51954,2
207208,2
5385,2
196608,2
44901,2
196818,2
49864,2
12824,2
211922,2
61303,2
200554,2
33828,2
15685,2
24641,2
47524,2
39478,2
42699,2
57352,2
57788,2
57317,2
31083,2
10480,2
20694,2
48173,2
200062,2
34947,2
42216,2
213737,2
50824,2
210644,2
49609,2
48918,2
12678,2
207139,2
42337,2
8361,2
15945,2
208444,2
197539,2
61098,2
25109,2
34222,2
210656,2
29166,2
51852,2
12732,2
62068,2
15451,2
216331,2
60602,2
3352,2
8920,2
61239,2
15372,2
26347,2
1764,2
25011,2
36420,2
25472,2
44545,2
8741,2
42371,2
20523,2
23576,2
203854,2
63199,2
204065,2
199218,2
212224,2
205876,2
12525,2
21245,2
65115,2
201012,2
44152,2
50372,2
44386,2
43298,2
24899,2
16024,2
213438,2
39227,2
205807,2
25393,2
9121,2
8365,2
41441,2
12655,2
197664,2
14576,2
49494,2
210849,2
7941,2
42060,2
12329,2
203777,2
29484,2
8262,2
9123,2
33956,2
25276,2
197216,2
5761,2
215740,2
25260,2
60368,2
34953,2
57687,2
201744,2
18310,2
19969,2
202242,2
204039,2
34360,2
12641,2
9764,2
771,2
200784,2
43415,1
23522,1
48545,1
31352,1
61400,1
1152,1
35515,1
1897,1
42221,1
214124,1
213306,1
12830,1
56864,1
55106,1
21419,1
207809,1
204038,1
48425,1
43354,1
12693,1
43896,1
62160,1
15703,1
12312,1
201201,1
51859,1
21476,1
207704,1
20264,1
55293,1
60380,1
216154,1
57358,1
205831,1
203444,1
57344,1
214881,1
202115,1
21360,1
46844,1
49855,1
43487,1
35258,1
36914,1
34699,1
25418,1
41690,1
20495,1
28838,1
197248,1
53332,1
213205,1
206149,1
43847,1
51483,1
213200,1
34655,1
8312,1
51215,1
22720,1
43091,1
59524,1
208096,1
214197,1
44339,1
43955,1
29624,1
28676,1
215892,1
49796,1
34342,1
57537,1
202223,1
48049,1
200296,1
13627,1
42605,1
41040,1
14744,1
35648,1
197902,1
135905,1
12617,1
33083,1
215556,1
8692,1
196763,1
49099,1
43397,1
210728,1
199867,1
41468,1
205373,1
12731,1
43211,1
205111,1
24868,1
209480,1
44058,1
215467,1
57629,1
42557,1
61065,1
41018,1
207560,1
32632,1
64999,1
696,1
41480,1
61210,1
214253,1
60114,1
62416,1
205435,1
47297,1
398256,1
47381,1
43155,1
32780,1
201634,1
139341,1
201299,1
204983,1
3330,1
30880,1
399566,1
50041,1
51008,1
202694,1
59601,1
16075,1
12813,1
44244,1
12178,1
8303,1
206274,1
47777,1
5605,1
8523,1
12665,1
27223,1
60232,1
213784,1
16839,1
21121,1
54288,1
43722,1
50313,1
34127,1
48519,1
42532,1
400513,1
25560,1
11281,1
208500,1
212422,1
212587,1
15368,1
36080,1
209445,1
34147,1
42910,1
201955,1
43503,1
29097,1
207362,1
59441,1
34372,1
22612,1
60550,1
205425,1
62048,1
44112,1
214568,1
38955,1
34531,1
213049,1
34918,1
45420,1
52000,1
23876,1
206231,1
39104,1
205193,1
204252,1
21192,1
47330,1
24611,1
8517,1
205505,1
13233,1
25506,1
60175,1
9022,1
16182,1
200303,1
60169,1
15415,1
62365,1
29494,1
20616,1
29389,1
48965,1
198972,1
1110,1
25415,1
208508,1
208559,1
44239,1
28674,1
35425,1
202577,1
59507,1
34798,1
42745,1
31673,1
39525,1
196724,1
210759,1
61306,1
139144,1
208712,1
393689,1
399358,1
29616,1
6697,1
47948,1
64422,1
47577,1
12676,1
134963,1
25117,1
39737,1
8193,1
60845,1
42008,1
207697,1
38365,1
34171,1
50214,1
48339,1
201200,1
50979,1
209257,1
50980,1
41416,1
196922,1
35744,1
393874,1
25504,1
47700,1
9150,1
41657,1
215708,1
47674,1
48894,1
211664,1
208028,1
20522,1
44609,1
12400,1
14340,1
206293,1
22049,1
50198,1
9175,1
206141,1
50722,1
34568,1
37936,1
30083,1
206266,1
35293,1
12859,1
64427,1
13128,1
201512,1
989,1
201706,1
209044,1
50090,1
202492,1
49025,1
56324,1
8866,1
12886,1
44133,1
29256,1
31476,1
211769,1
33811,1
45894,1
207304,1
34928,1
48153,1
131106,1
12874,1
196954,1
213980,1
2018,1
38369,1
12437,1
39571,1
212552,1
208209,1
13147,1
48326,1
48164,1
8069,1
21581,1
9135,1
203437,1
214390,1
208656,1
205125,1
207640,1
47309,1
51468,1
40976,1
42389,1
15698,1
198435,1
199163,1
63362,1
43623,1
197874,1
57169,1
200003,1
38952,1
33191,1
47890,1
211864,1
209227,1
205614,1
212792,1
205487,1
200356,1
215992,1
213995,1
42730,1
200195,1
203703,1
213394,1
49127,1
205275,1
43278,1
201530,1
50638,1
20810,1
29141,1
13040,1
56803,1
36459,1
59796,1
209847,1
48950,1
