asn,nb_hostnames
395747,1367
213120,345
21664,331
394507,156
394192,91
16276,75
39572,72
8075,55
62567,44
31936,36
214455,32
30990,31
204915,29
7979,27
5545,23
395458,18
204450,18
215859,16
24600,16
49287,15
19551,14
14907,13
29169,13
14853,13
63293,12
12322,12
40824,12
54994,10
24482,10
6496,10
60781,9
17025,9
50482,9
63240,9
52468,9
45352,9
136373,9
6327,9
37662,9
41722,9
52320,9
10753,9
62768,9
12956,9
17984,9
8919,9
396390,9
328137,9
61568,9
52167,9
45517,9
20764,9
137409,9
2027,9
19653,9
13786,9
51530,9
196753,9
28320,9
64475,9
6762,9
207841,9
270014,9
136620,9
18881,9
5381,9
23520,9
56696,9
48641,9
35360,9
8708,9
7589,9
17668,9
132337,9
15958,9
2614,9
14016,9
15605,9
28398,9
35600,9
19422,9
38726,9
1031,9
3844,9
29049,9
36678,9
35598,9
1916,9
264409,9
52025,9
50628,9
14537,9
8195,9
205920,9
328832,9
6057,9
263945,9
15802,9
202492,8
29222,7
8839,7
207208,7
50474,7
26496,7
36420,6
62068,6
37963,6
8560,6
44907,6
2057,6
58061,5
38369,5
139341,5
46606,5
216014,5
133795,5
24757,5
2635,5
26666,5
57633,4
8228,4
3920,4
30148,4
60855,4
199524,4
7941,3
34993,3
26347,3
6185,3
9009,3
25117,3
36057,3
27589,3
28753,3
200019,3
23352,3
52148,3
49981,3
50980,3
3457,3
8304,3
56898,3
151373,3
5761,3
210403,3
51888,2
49714,2
13238,2
199729,2
30961,2
53589,2
58521,2
12178,2
64437,2
51433,2
22612,2
141995,2
9123,2
41653,2
39072,2
211612,2
216154,2
34863,2
33837,2
3387,2
32338,2
4258,2
48813,2
14472,1
24611,1
39444,1
36786,1
200449,1
39241,1
47846,1
13571,1
55293,1
212815,1
399358,1
12678,1
33157,1
206264,1
43311,1
36459,1
48669,1
202053,1
201085,1
198792,1
50583,1
199218,1
45666,1
55081,1
213232,1
48729,1
42422,1
59692,1
53824,1
13193,1
139057,1
15966,1
41690,1
2514,1
40009,1
12640,1
150078,1
9752,1
42745,1
398256,1
6698,1
8705,1
40021,1
40651,1
48594,1
44477,1
205585,1
210770,1
57344,1
208128,1
63993,1
57687,1
329278,1
23576,1
41453,1
50517,1
44436,1
39239,1
53332,1
34235,1
202425,1
397273,1
212216,1
393874,1
400797,1
56798,1
11281,1
29066,1
200532,1
30361,1
29110,1
55569,1
31178,1
33182,1
60362,1
207970,1
199167,1
44696,1
204050,1
42567,1
15318,1
204800,1
9121,1
14576,1
33191,1
15699,1
22720,1
60368,1
8069,1
198610,1
10480,1
60550,1
214390,1
62243,1
204251,1
34655,1
61098,1
2665,1
57724,1
48040,1
31586,1
