asn,nb_hostnames
395747,3454
202816,997
21664,938
213120,667
8075,579
215859,404
394192,302
394507,246
196724,149
5381,141
51008,128
16276,109
62567,106
12617,71
51468,61
57030,58
39572,45
1835,38
58282,34
14907,33
59795,30
2635,28
19551,28
141995,28
30961,28
12929,28
59701,26
31936,26
31590,26
202053,23
60781,22
43948,21
197288,21
3342,20
5545,20
43167,19
59692,18
3240,17
42876,16
63293,16
211612,15
133795,15
8560,15
40824,15
44869,14
62121,13
31080,13
26496,13
12483,12
210210,12
14853,12
204607,11
27589,11
52130,11
214455,11
6834,10
200325,10
62138,10
208310,9
64437,9
44328,9
56682,9
203581,9
8523,9
44433,8
12322,8
57724,8
44136,8
48295,7
34766,7
202914,7
53667,7
49981,7
401200,7
35678,7
204915,7
215686,7
205206,7
28753,6
3457,6
30736,6
49309,6
30148,6
34788,6
202425,6
6496,6
197308,6
196752,6
207603,6
7203,5
10753,5
58061,5
26666,5
8535,5
210728,5
36420,5
33837,5
24961,5
205316,5
12178,5
207970,5
30818,5
7979,5
51433,5
6698,5
202521,5
31586,5
17668,5
42400,5
6785,4
34920,4
215740,4
51049,4
39651,4
205585,4
215300,4
13238,4
49714,4
42697,4
44696,4
328832,4
215052,4
20546,4
35744,4
133409,4
6939,4
7589,4
199524,4
65529,4
32338,4
199236,4
24853,4
12525,4
395458,4
42656,4
206264,3
34670,3
204866,3
198901,3
59700,3
31264,3
137409,3
38369,3
6185,3
204601,3
44907,3
200449,3
59524,3
57775,3
39392,3
5761,3
50346,3
199374,3
3844,3
28398,3
18881,3
12956,3
263945,3
8195,3
6057,3
62768,3
17025,3
132337,3
19653,3
6762,3
328137,3
41722,3
28320,3
37662,3
24600,3
15605,3
19422,3
56696,3
1916,3
50482,3
2119,3
27223,3
201078,3
206170,3
61098,3
198452,3
203437,3
200651,3
44880,3
8708,3
199218,3
51025,3
51577,3
43037,3
12640,3
14824,2
24676,2
207728,2
18905,2
63199,2
34369,2
26347,2
1342,2
47447,2
62068,2
205721,2
62248,2
21009,2
211551,2
42848,2
59467,2
62243,2
8400,2
196818,2
207934,2
23522,2
210939,2
60248,2
60798,2
36080,2
47195,2
205696,2
201744,2
204544,2
197540,2
204937,2
33191,2
14441,2
51852,2
200019,2
33157,2
202368,2
44009,2
34282,2
213232,2
34309,2
3209,2
211922,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
327788,2
132602,2
9730,2
39020,2
41701,2
44066,2
48729,2
203315,2
211187,2
23421,2
209291,2
7859,2
212792,2
201503,2
34222,2
56898,2
15703,2
12306,2
200386,2
24971,2
47765,2
24482,2
7941,2
200195,2
205425,2
49676,2
50304,2
16236,2
35041,2
51073,2
19324,2
214813,2
58212,2
42567,2
211316,2
212216,2
215402,2
208058,2
8856,2
51088,2
23576,2
206749,2
34432,2
49287,2
41216,2
45090,2
35425,2
204450,2
202242,2
9764,2
24595,2
400754,1
205876,1
33387,1
61189,1
43955,1
202567,1
212422,1
50783,1
224,1
400797,1
200514,1
13442,1
399358,1
1897,1
44386,1
20963,1
39478,1
400513,1
60153,1
42307,1
214308,1
212736,1
206775,1
29222,1
134963,1
206606,1
3320,1
215322,1
213784,1
64407,1
34702,1
201200,1
29024,1
42312,1
201706,1
202492,1
15535,1
59796,1
19225,1
5403,1
27647,1
203288,1
208161,1
203444,1
16075,1
21221,1
39704,1
49494,1
36057,1
201595,1
31441,1
59939,1
41468,1
44225,1
60114,1
49604,1
59979,1
15516,1
61272,1
61976,1
393874,1
201959,1
43806,1
20799,1
393689,1
48760,1
13909,1
209847,1
44477,1
35376,1
48314,1
44581,1
57352,1
399566,1
28707,1
13830,1
31083,1
16107,1
213050,1
8473,1
15479,1
8262,1
9123,1
36459,1
44644,1
58294,1
32306,1
212991,1
205111,1
8001,1
13041,1
29001,1
29066,1
10480,1
200928,1
56341,1
12843,1
205373,1
196608,1
24586,1
989,1
20984,1
205275,1
201206,1
203644,1
14576,1
14744,1
22560,1
215845,1
39029,1
213205,1
214233,1
212552,1
51664,1
48164,1
39239,1
5624,1
200145,1
29166,1
201201,1
205116,1
33676,1
12437,1
2603,1
50572,1
207707,1
41729,1
198614,1
63410,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
29169,1
52167,1
45517,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
23520,1
48641,1
35360,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
39839,1
53824,1
38927,1
208096,1
29003,1
59889,1
6793,1
39790,1
15512,1
39210,1
47577,1
213306,1
215846,1
49409,1
47249,1
38952,1
207569,1
44901,1
209900,1
47948,1
53755,1
24611,1
3330,1
201455,1
29389,1
32780,1
205193,1
55175,1
50980,1
207208,1
35634,1
399647,1
198745,1
200356,1
210465,1
42422,1
59774,1
39787,1
60174,1
34655,1
52489,1
263173,1
53332,1
43927,1
57168,1
213438,1
204274,1
37963,1
61128,1
200313,1
33083,1
11281,1
60602,1
21465,1
51430,1
198203,1
60426,1
205762,1
65115,1
20616,1
20559,1
43211,1
51905,1
203995,1
45894,1
200324,1
202115,1
25506,1
14113,1
50979,1
57866,1
51859,1
216071,1
29217,1
209175,1
61213,1
214390,1
42910,1
400275,1
212531,1
30083,1
206418,1
42532,1
35637,1
206157,1
19969,1
208444,1
21245,1
21581,1
44521,1
42216,1
41690,1
62354,1
12678,1
56864,1
58010,1
24898,1
59441,1
39686,1
55293,1
49130,1
34305,1
47524,1
207640,1
24868,1
43091,1
197902,1
29405,1
51482,1
209125,1
204770,1
9150,1
209214,1
44932,1
201697,1
48326,1
35814,1
15456,1
49282,1
20523,1
42371,1
14466,1
61065,1
41018,1
207560,1
57736,1
201012,1
13720,1
43896,1
8361,1
8481,1
54994,1
42849,1
131659,1
49127,1
15966,1
29686,1
61210,1
6724,1
33984,1
52011,1
