asn,nb_hostnames
395747,571
213120,251
21664,234
394192,105
394507,83
39572,35
62567,25
8075,21
31936,17
2635,14
214455,13
7979,12
14853,12
63293,11
215859,11
33182,9
204915,8
46606,8
264645,7
35540,7
11139,5
26496,5
19551,5
133795,5
54641,5
15317,4
58061,4
14907,4
50989,4
14441,3
8560,3
26347,3
33265,3
22612,3
215740,3
6185,3
60068,3
199524,3
55033,3
22720,3
13601,2
44907,2
26666,2
200325,2
54994,2
36420,2
51852,2
4258,2
60781,2
7941,2
23470,2
20264,2
7859,2
5761,2
12178,2
214124,2
53824,2
59692,2
8839,2
6698,2
20033,2
398402,1
33664,1
151373,1
24482,1
44534,1
49714,1
48252,1
14745,1
398256,1
393874,1
36459,1
27647,1
18945,1
30109,1
3387,1
30961,1
28067,1
24611,1
40824,1
46475,1
400797,1
34309,1
13866,1
44009,1
398787,1
62082,1
51468,1
48669,1
48729,1
139341,1
27264,1
4150,1
30600,1
55081,1
44477,1
64437,1
393689,1
30148,1
35425,1
34655,1
40021,1
201085,1
208561,1
60114,1
41690,1
53332,1
702,1
5639,1
22653,1
197540,1
214390,1
11281,1
63410,1
7393,1
50980,1
9009,1
33191,1
400724,1
63362,1
202425,1
200195,1
213438,1
40476,1
57344,1
15699,1
7203,1
32338,1
