asn,nb_hostnames
395747,4080
21664,1181
213120,780
394507,464
394192,400
8075,292
35540,202
23352,150
204915,149
62567,146
6400,111
215859,96
19551,86
39572,70
8560,58
26496,54
46606,53
60068,41
2635,40
22612,39
3457,38
31936,34
27887,33
10480,33
27824,33
30148,31
14853,30
63293,27
36420,27
52471,26
133795,25
34309,24
214455,23
14441,23
40021,23
26347,22
15317,22
53824,21
37963,20
14555,18
7979,18
38369,16
47846,16
23470,16
60781,15
14907,15
40824,15
59692,14
55293,14
39020,14
141995,13
200019,13
205193,12
200325,12
401200,12
26666,12
139144,12
54641,12
49612,11
27589,10
54913,10
48254,9
12178,9
53667,9
139341,8
58061,8
400275,8
46844,8
12322,8
30961,8
58521,8
10753,8
204800,8
22720,8
63410,7
44907,7
215740,7
29066,7
54994,7
31577,7
42532,7
263212,6
397849,6
49635,6
13442,6
400754,6
200521,6
36080,6
395048,6
50989,6
262178,6
199524,6
6698,6
6185,6
42612,5
5761,5
6496,5
61976,5
150078,5
206264,5
214124,5
215300,5
207970,5
213232,5
7203,5
6427,4
64437,4
14955,4
35280,4
28053,4
16371,4
24961,4
56958,4
49981,4
17668,4
25354,3
18945,3
33157,3
328832,3
197712,3
6762,3
27896,3
15699,3
3352,3
19373,3
205796,3
200449,3
3387,3
42567,3
216154,3
49714,3
44534,3
56898,3
4258,3
46475,3
30083,3
577,3
34699,3
45090,3
7941,3
202425,3
12678,3
14576,3
51468,3
48729,3
18881,3
9009,3
9094,3
138341,2
215845,2
267896,2
273220,2
32338,2
8839,2
27264,2
393874,2
26505,2
62068,2
264713,2
393299,2
32494,2
3844,2
201106,2
14117,2
49665,2
13030,2
28398,2
1273,2
61049,2
61573,2
12956,2
8231,2
48571,2
263945,2
8529,2
64126,2
8195,2
6057,2
62768,2
17025,2
395458,2
132337,2
19653,2
1000,2
131073,2
328137,2
41722,2
28320,2
18377,2
37662,2
24600,2
262427,2
37251,2
15605,2
19422,2
56696,2
329356,2
1916,2
132602,2
50482,2
9730,2
50474,2
2665,2
54467,2
139057,2
200960,2
200651,2
33182,2
23576,2
46864,2
60144,2
34119,2
200320,2
54961,2
36066,2
19969,2
33265,2
198968,2
1897,2
23520,2
201744,2
52335,2
62243,2
397273,2
50980,2
27647,2
34222,2
398256,2
61098,2
26441,2
22653,2
271803,2
24572,2
27223,2
33191,2
17147,2
19648,2
211922,2
14824,2
203976,2
24971,2
2514,2
32097,2
7859,2
8048,2
395412,2
11807,2
24611,2
59432,2
199968,2
14187,2
29222,2
9123,2
200508,2
30277,2
271959,2
22414,2
212792,2
13886,2
42240,2
29169,2
9764,2
12357,2
199218,2
19973,2
13348,2
20033,2
771,2
52580,1
12064,1
7589,1
397423,1
60922,1
24898,1
44128,1
205544,1
4150,1
30600,1
59253,1
52438,1
39134,1
278,1
27823,1
204601,1
262185,1
41653,1
14627,1
394432,1
40699,1
23876,1
9752,1
41231,1
198066,1
702,1
40100,1
14782,1
48763,1
208488,1
266709,1
214618,1
64999,1
32632,1
15685,1
398743,1
267841,1
3262,1
207809,1
150436,1
131965,1
52489,1
263173,1
59210,1
49352,1
19225,1
205373,1
10929,1
33664,1
393689,1
11664,1
203461,1
205762,1
65115,1
20264,1
36850,1
58212,1
12640,1
214390,1
60550,1
13041,1
32866,1
41976,1
30246,1
3920,1
53107,1
26752,1
30340,1
60813,1
17157,1
28513,1
59467,1
262217,1
27522,1
34788,1
48324,1
395226,1
53589,1
50939,1
399566,1
58233,1
55081,1
25970,1
60362,1
399358,1
51433,1
9370,1
42220,1
13324,1
200532,1
11432,1
394684,1
36352,1
197019,1
138650,1
63993,1
24806,1
213737,1
198032,1
28753,1
25234,1
31080,1
142592,1
13830,1
4694,1
4873,1
8473,1
39825,1
32298,1
40728,1
198792,1
41690,1
36776,1
35744,1
11019,1
18310,1
28526,1
33676,1
46841,1
42422,1
29992,1
36165,1
211864,1
27862,1
61210,1
210341,1
2780,1
23522,1
57352,1
3209,1
24482,1
14197,1
39686,1
44477,1
152880,1
200195,1
213438,1
42745,1
36666,1
214308,1
10954,1
198913,1
137409,1
22049,1
17196,1
16839,1
14472,1
8361,1
63173,1
8069,1
3132,1
52130,1
22194,1
30058,1
63648,1
48040,1
12129,1
36459,1
215402,1
200000,1
214165,1
26254,1
53332,1
45420,1
49287,1
273584,1
202492,1
18779,1
207569,1
55569,1
61144,1
210250,1
40256,1
22169,1
60527,1
62856,1
46896,1
26277,1
198610,1
27640,1
204039,1
200928,1
56341,1
14466,1
30109,1
9505,1
6621,1
58487,1
262247,1
207713,1
54456,1
64512,1
12338,1
55045,1
7393,1
400252,1
27651,1
63760,1
12993,1
989,1
43520,1
203417,1
211522,1
56872,1
30818,1
208128,1
262221,1
202242,1
60114,1
23816,1
6352,1
151373,1
62563,1
203178,1
22878,1
27482,1
46981,1
6724,1
11014,1
29691,1
46529,1
13601,1
11281,1
206407,1
15703,1
208561,1
35975,1
3816,1
212332,1
8987,1
31586,1
28209,1
398787,1
43037,1
27968,1
200514,1
43962,1
34655,1
51894,1
19324,1
15149,1
47195,1
3129,1
206980,1
208769,1
42730,1
44160,1
14745,1
29182,1
4566,1
28103,1
