asn,nb_hostnames
395747,4788
21664,676
213120,514
16276,449
394507,367
327712,333
394192,243
204915,217
215859,197
39572,160
62567,89
36891,86
141995,65
5545,62
36420,61
8075,61
40824,53
31936,52
32338,44
214455,39
12322,31
7979,30
19551,29
27589,29
22612,27
37963,27
8560,26
50474,26
63293,25
3208,24
60781,24
26496,24
211612,20
59692,19
49981,19
38369,17
57724,17
29222,16
133795,16
30148,15
14907,15
16214,14
328853,14
14853,14
62068,13
200325,13
6698,12
204800,12
58061,11
54994,11
26666,11
58521,11
139341,11
42567,11
200019,11
24600,11
207208,10
216014,10
2057,10
56898,9
44907,9
199524,9
14441,8
29066,8
53589,8
8228,8
48040,8
8839,8
215300,8
12178,8
64437,7
2635,7
13442,7
33837,7
210403,7
214124,7
46606,7
327931,7
202425,7
60855,7
45090,7
48729,7
7203,7
49714,6
13238,6
57633,6
3920,6
24961,6
150078,6
6496,6
43641,6
202492,6
61976,6
17668,6
53667,5
10480,5
207728,5
51605,5
3457,5
35744,5
33779,5
47846,5
197540,5
49287,5
199636,5
213232,5
53824,4
398256,4
36080,4
34993,4
60362,4
41653,4
328832,4
6939,4
14576,4
21391,4
206264,4
55293,4
52148,4
198610,4
37671,4
62243,4
48314,4
329494,4
42532,4
36352,4
51888,3
25117,3
6185,3
9760,3
200449,3
50980,3
393299,3
32494,3
3844,3
201106,3
14117,3
49665,3
13030,3
28398,3
1273,3
61049,3
61573,3
18881,3
12956,3
8231,3
48571,3
263945,3
8529,3
64126,3
8195,3
10753,3
6057,3
62768,3
17025,3
395458,3
132337,3
19653,3
1000,3
6762,3
131073,3
328137,3
41722,3
28320,3
18377,3
37662,3
262427,3
37251,3
15605,3
19422,3
56696,3
327788,3
1916,3
132602,3
50482,3
9730,3
53850,3
211922,3
199729,3
397273,3
204601,3
151373,3
212792,3
29182,3
48254,3
200651,3
36666,3
207970,3
139057,3
49352,3
54641,3
8069,3
137,3
138341,3
7941,3
39241,3
216154,3
62979,3
8517,2
2665,2
35425,2
41849,2
12678,2
50979,2
17561,2
47836,2
34863,2
34619,2
199218,2
150436,2
36459,2
133719,2
16236,2
44477,2
28753,2
61102,2
212490,2
210656,2
399250,2
3387,2
57344,2
33191,2
35344,2
51433,2
57352,2
215845,2
48703,2
400940,2
14824,2
215740,2
49582,2
42745,2
23576,2
199758,2
46475,2
57775,2
31727,2
60144,2
59253,2
47195,2
8705,2
203976,2
201744,2
201896,2
216139,2
212508,2
216353,2
27647,2
33157,2
200107,2
45352,2
12357,2
200195,2
27223,2
34788,2
214308,2
209349,2
24971,2
61098,2
34222,2
401200,2
53038,2
48744,2
39072,2
42848,2
210770,2
20756,2
394432,2
9121,1
197019,1
200514,1
200487,1
198983,1
32903,1
202368,1
37693,1
200521,1
57088,1
11807,1
2611,1
34304,1
45666,1
15456,1
133024,1
14415,1
42106,1
60550,1
7859,1
131392,1
7684,1
39162,1
50090,1
134926,1
47287,1
139144,1
56837,1
47952,1
198913,1
44386,1
136891,1
56798,1
43927,1
13830,1
50517,1
208488,1
16128,1
10578,1
137870,1
6882,1
201200,1
44932,1
64999,1
32632,1
39444,1
202321,1
27473,1
4258,1
58182,1
18310,1
43311,1
33930,1
34699,1
5576,1
200532,1
18229,1
9009,1
11281,1
207713,1
51269,1
58212,1
48282,1
40021,1
205876,1
9123,1
13627,1
9505,1
32097,1
49474,1
200904,1
44901,1
49127,1
40728,1
138650,1
207569,1
5410,1
44407,1
30081,1
213205,1
205435,1
51468,1
205215,1
22169,1
205762,1
65115,1
46844,1
42730,1
15685,1
23421,1
26277,1
137409,1
152194,1
202242,1
399566,1
15699,1
208353,1
207304,1
214390,1
13571,1
197696,1
20900,1
207809,1
15535,1
150142,1
12640,1
29003,1
26347,1
199167,1
207104,1
211381,1
201085,1
25516,1
201768,1
2514,1
56337,1
22720,1
393874,1
4835,1
63837,1
12488,1
19973,1
39686,1
43581,1
139613,1
48896,1
48140,1
266444,1
202053,1
196763,1
215402,1
36850,1
15703,1
24482,1
30340,1
200000,1
48669,1
49610,1
202054,1
213438,1
63362,1
216416,1
3352,1
21409,1
29169,1
35179,1
212815,1
53332,1
142592,1
23352,1
44976,1
51852,1
9159,1
135377,1
6738,1
4837,1
199777,1
61251,1
35280,1
48763,1
39651,1
52030,1
13193,1
35258,1
9752,1
393689,1
15966,1
37936,1
209853,1
5761,1
47524,1
205461,1
202115,1
37107,1
207143,1
399358,1
42910,1
198792,1
135905,1
3296,1
206407,1
49835,1
40994,1
57687,1
14472,1
400797,1
23393,1
33387,1
203461,1
15479,1
203119,1
208128,1
200386,1
40244,1
44880,1
13601,1
400754,1
41690,1
42656,1
7678,1
210275,1
394277,1
18978,1
59467,1
23470,1
200356,1
38185,1
51091,1
204548,1
52012,1
212422,1
211942,1
3223,1
205193,1
12565,1
60368,1
63760,1
215206,1
61047,1
208276,1
62744,1
8304,1
200102,1
24611,1
198032,1
34655,1
197562,1
20546,1
2609,1
65253,1
44776,1
32780,1
