asn,nb_hostnames
395747,3421
21664,1230
213120,599
394507,469
27968,349
27841,276
394192,276
8075,244
19169,219
35540,201
204915,201
23352,150
215859,140
62567,130
19551,102
46606,56
39572,53
141995,50
22612,49
8560,47
3457,44
40021,43
26496,43
22724,41
213232,41
40699,34
10753,32
26042,31
19114,30
31936,30
23487,30
26666,29
60068,28
60781,28
30148,28
2635,27
14441,27
63293,25
53824,25
52468,24
37963,23
263238,22
214455,21
15317,19
28027,19
14853,19
7979,18
23470,17
133795,17
59692,16
36420,15
54641,15
273993,15
204800,15
12178,13
205193,13
10480,13
267881,13
27844,13
48254,12
53755,12
39020,12
55293,11
38369,11
40824,10
14907,9
139144,9
30961,9
30083,9
269791,9
63410,9
53667,9
26347,8
200019,8
200325,8
16371,8
49612,8
54994,8
7203,8
23246,8
272067,8
42612,7
269992,7
58521,7
12357,7
57542,7
400275,7
33157,7
18881,7
17668,7
270074,6
200521,6
25697,6
12322,6
25354,6
27820,6
401200,6
31577,6
44907,6
6496,6
36080,6
30340,6
9094,6
55045,5
29066,5
139341,5
328832,5
32097,5
12640,5
398256,5
58061,5
206264,5
50989,5
14522,5
395458,5
24600,5
6698,5
42532,5
22720,5
13442,4
270049,4
46844,4
264824,4
56958,4
61976,4
49635,4
33182,4
5761,4
202425,4
215300,4
17025,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
19653,4
28320,4
6762,4
56696,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
8195,4
6057,4
263945,4
64437,4
6427,4
6185,4
397849,3
24961,3
28753,3
35280,3
19582,3
27823,3
8048,3
59253,3
214124,3
14555,3
272140,3
267787,3
203178,3
207970,3
272022,3
3352,3
63993,3
205796,3
46475,3
10439,3
264801,3
49714,3
44534,3
23576,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
329356,3
132602,3
9730,3
27589,3
11664,3
56898,2
16842,2
53107,2
63760,2
8069,2
14824,2
34699,2
19373,2
62563,2
216154,2
198610,2
204601,2
19969,2
265839,2
50980,2
42567,2
4258,2
139057,2
25970,2
11110,2
263792,2
14000,2
205762,2
34953,2
202492,2
278,2
200449,2
52335,2
27998,2
400754,2
201744,2
200320,2
137409,2
34222,2
200107,2
215845,2
29169,2
33191,2
200960,2
202242,2
271929,2
271795,2
203976,2
48729,2
62243,2
6306,2
49287,2
24482,2
14340,2
262257,2
14466,2
7941,2
269805,2
45753,2
267931,2
32338,2
24611,2
269941,2
18747,2
52345,2
199968,2
45090,2
264713,2
10929,2
12386,2
199524,2
47422,2
13348,2
22185,1
27862,1
28103,1
59467,1
8361,1
3790,1
39686,1
28250,1
1251,1
212332,1
30880,1
271803,1
273584,1
36066,1
400513,1
266904,1
197540,1
51852,1
13041,1
44998,1
58212,1
20784,1
49352,1
42848,1
42220,1
23816,1
24572,1
11878,1
9183,1
35744,1
262191,1
45420,1
26277,1
200508,1
198968,1
56803,1
208769,1
269844,1
33676,1
65115,1
2665,1
265667,1
41976,1
4694,1
216014,1
207569,1
269792,1
36352,1
206980,1
23367,1
395412,1
32780,1
48040,1
11807,1
18945,1
212096,1
51678,1
266880,1
61969,1
57352,1
55593,1
10954,1
30277,1
211864,1
210976,1
205544,1
399522,1
207728,1
40476,1
394625,1
57081,1
9760,1
47195,1
197712,1
400304,1
9752,1
200514,1
37936,1
34360,1
36666,1
198993,1
60009,1
3273,1
272034,1
265652,1
15703,1
25820,1
272883,1
206216,1
200000,1
15149,1
202054,1
52438,1
394303,1
131965,1
210630,1
264825,1
27735,1
198913,1
6724,1
400443,1
23522,1
58233,1
59524,1
16617,1
63240,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
35589,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
151373,1
64114,1
29222,1
41690,1
267841,1
209674,1
196752,1
3920,1
3209,1
29182,1
8065,1
60550,1
22653,1
42422,1
11432,1
8987,1
31586,1
14576,1
36165,1
9009,1
200195,1
213438,1
56872,1
262212,1
11014,1
198032,1
13601,1
207809,1
199236,1
131640,1
214308,1
18450,1
3387,1
200651,1
138341,1
6656,1
54913,1
18801,1
138650,1
32866,1
27647,1
53332,1
395226,1
63068,1
30058,1
24971,1
214390,1
272147,1
394432,1
215402,1
39134,1
150078,1
393689,1
27828,1
16839,1
3768,1
577,1
28526,1
13767,1
55081,1
3816,1
48763,1
61098,1
15699,1
23031,1
51520,1
61210,1
54290,1
11281,1
42730,1
152880,1
52238,1
27264,1
4150,1
30600,1
2780,1
214505,1
52511,1
8705,1
27902,1
44477,1
61144,1
7393,1
60144,1
62068,1
398743,1
44901,1
132111,1
393874,1
52011,1
26752,1
57,1
8739,1
52489,1
263173,1
60527,1
63648,1
28097,1
198792,1
262168,1
2514,1
62904,1
211922,1
27640,1
36459,1
399358,1
212792,1
12993,1
20641,1
49981,1
397273,1
12678,1
