asn,nb_hostnames
395747,2599
49604,2025
21664,623
213120,424
61189,409
12929,275
215859,236
394192,206
394507,203
216263,134
207800,134
8075,128
61976,104
16276,98
3221,96
62567,89
57724,71
205696,68
205930,61
141995,57
13272,53
34702,51
59467,50
58061,44
49352,43
39572,41
207970,39
212531,39
207728,37
14907,35
29182,29
19551,29
59692,27
31936,26
39651,26
13238,24
49714,24
49665,23
9123,22
49981,19
198610,19
210656,19
44310,19
60781,18
204601,18
2635,17
63293,17
12322,17
214455,17
6697,15
204915,15
40824,15
39823,14
44696,14
199867,14
201706,14
202635,13
47416,13
43298,13
12578,13
201601,12
210079,12
202053,12
12993,12
48040,12
5545,11
202759,11
210756,11
31586,11
43958,11
30818,10
12976,10
42979,10
211612,10
204039,10
56694,9
401200,9
202816,9
39134,9
51852,9
14853,9
42849,9
64407,8
8560,8
44477,8
47736,8
211381,8
204770,8
50482,7
41722,7
24961,7
200325,7
29066,7
47352,7
44907,7
17668,7
6496,6
7979,6
19905,6
10753,6
64437,6
44901,6
52130,6
15424,6
200019,6
60330,6
42745,6
42532,6
211642,6
26666,5
20546,5
46606,5
12525,5
328832,5
27647,5
50794,5
205312,5
205865,5
14956,5
206980,5
33837,5
56341,5
206844,5
214744,5
62243,5
51025,5
395458,5
24600,5
204800,5
42179,5
26496,5
37963,4
60415,4
6793,4
29600,4
44128,4
32338,4
200449,4
3844,4
28398,4
18881,4
12956,4
263945,4
8195,4
6057,4
62768,4
17025,4
132337,4
19653,4
6762,4
328137,4
28320,4
37662,4
6939,4
15605,4
19422,4
56696,4
1916,4
199524,4
202425,4
399566,4
200386,4
62160,4
3457,4
199328,4
25532,4
53667,4
8856,4
214653,4
61400,4
6698,4
8920,4
5381,4
48287,4
42240,4
36420,3
199218,3
12678,3
50448,3
196752,3
8523,3
212136,3
16279,3
21051,3
393299,3
32494,3
201106,3
14117,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
327788,3
132602,3
9730,3
39324,3
139341,3
5761,3
200000,3
47577,3
48282,3
62082,3
59939,3
42567,3
60602,3
44386,3
215776,3
6185,3
29345,3
60144,3
47890,3
34222,3
210644,3
39038,3
3320,3
197540,3
7203,3
199800,3
44112,3
215300,3
42848,3
200804,3
43682,3
27589,3
51013,3
43948,3
42656,3
12178,3
42657,3
45090,3
214881,2
202509,2
61306,2
15685,2
1342,2
32632,2
64999,2
25234,2
6724,2
7941,2
12306,2
60114,2
201512,2
213737,2
206407,2
50979,2
197553,2
207729,2
205954,2
213232,2
51278,2
133409,2
16262,2
215846,2
202652,2
12824,2
55293,2
215740,2
214308,2
59601,2
63199,2
64421,2
23576,2
61307,2
56803,2
24971,2
42194,2
201906,2
201959,2
28753,2
209587,2
214813,2
201499,2
33157,2
20848,2
207325,2
60922,2
42774,2
201012,2
7859,2
56898,2
44770,2
207362,2
24482,2
59524,2
202090,2
44880,2
203444,2
34342,2
198627,2
43037,2
62260,2
49287,2
48314,2
206264,2
34119,2
33191,2
42012,2
208795,2
51504,2
215402,2
14824,2
214822,2
31080,2
207208,2
48729,2
212490,2
20634,2
214685,2
211187,2
41242,2
61328,2
200651,2
12555,2
41878,2
197611,2
200195,2
57352,2
204424,2
204450,2
42977,1
59504,1
215840,1
36459,1
199669,1
208058,1
8001,1
209847,1
201744,1
202242,1
208488,1
47111,1
38369,1
3223,1
37936,1
50980,1
44014,1
42307,1
57664,1
205373,1
213051,1
210416,1
54641,1
207304,1
199527,1
196724,1
56837,1
43091,1
205193,1
63410,1
12365,1
205111,1
34309,1
61424,1
34989,1
56740,1
50214,1
49282,1
41690,1
27522,1
51894,1
25393,1
210390,1
9022,1
205686,1
51008,1
198745,1
57629,1
34766,1
207202,1
197308,1
24611,1
21096,1
44704,1
39787,1
20545,1
213877,1
209392,1
30798,1
200904,1
12443,1
53755,1
400275,1
44812,1
15544,1
58112,1
48760,1
212228,1
34147,1
1738,1
21581,1
42936,1
213166,1
19969,1
38952,1
27267,1
133795,1
48348,1
197482,1
25106,1
49675,1
30968,1
399358,1
27264,1
4150,1
30600,1
133777,1
33083,1
208834,1
207481,1
44136,1
20523,1
42371,1
210976,1
47467,1
41233,1
13830,1
5531,1
205948,1
5386,1
42632,1
59796,1
48753,1
14744,1
12743,1
13041,1
211316,1
213220,1
51936,1
47302,1
57304,1
56384,1
52184,1
62222,1
202368,1
197289,1
40509,1
15512,1
198547,1
205125,1
207568,1
30961,1
58143,1
212098,1
213205,1
58031,1
212224,1
20984,1
215393,1
39020,1
204846,1
10480,1
5523,1
200532,1
205216,1
207104,1
206714,1
51248,1
57058,1
56864,1
58010,1
202696,1
29243,1
48018,1
43211,1
57030,1
48061,1
51954,1
29389,1
198993,1
64427,1
58269,1
131659,1
44932,1
53332,1
50313,1
208450,1
202448,1
8473,1
60550,1
207640,1
47777,1
393874,1
41701,1
57580,1
205701,1
212792,1
210734,1
199114,1
400513,1
212247,1
43896,1
30083,1
44925,1
209030,1
13101,1
203906,1
34432,1
201589,1
42422,1
211922,1
207697,1
42016,1
39790,1
58051,1
216071,1
12997,1
31424,1
44256,1
196785,1
23421,1
42775,1
46475,1
42649,1
57530,1
8440,1
60580,1
44521,1
215447,1
61272,1
202376,1
43247,1
214390,1
29208,1
2119,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
8919,1
396390,1
61568,1
29169,1
52167,1
45517,1
20764,1
137409,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
136620,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
36678,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
54994,1
57088,1
205567,1
35041,1
200484,1
11281,1
42772,1
8515,1
3330,1
206775,1
397273,1
33993,1
31200,1
393689,1
30058,1
205585,1
35634,1
399647,1
57873,1
49127,1
47331,1
207707,1
44094,1
44066,1
204544,1
213438,1
62024,1
205762,1
65115,1
14576,1
131138,1
39392,1
205544,1
