asn,nb_hostnames
395747,4833
21664,830
213120,447
394507,366
204915,279
37728,218
215859,200
8075,179
16276,179
394192,164
2561,162
62567,133
39572,94
26496,76
24863,52
141995,49
214455,48
24835,44
328762,43
5545,42
22612,40
31936,38
37193,31
36992,30
7979,29
3457,29
40824,28
37963,26
46606,25
63293,25
204800,25
202492,24
19551,22
60781,22
26666,22
24736,21
211612,20
10753,20
133795,19
59692,18
30148,17
395458,17
14441,16
14907,16
55293,16
19905,15
57724,15
17668,15
54641,15
25576,14
46844,13
27589,13
49981,13
38369,13
2635,12
200325,12
36420,12
37031,12
6496,12
49287,12
204450,12
29066,11
328832,11
40021,11
207208,11
216014,11
6127,11
40699,11
139144,11
17025,11
24600,11
12322,10
3844,10
28398,10
18881,10
12956,10
263945,10
8195,10
6057,10
62768,10
132337,10
19653,10
6762,10
328137,10
41722,10
28320,10
37662,10
15605,10
19422,10
56696,10
1916,10
50482,10
37191,10
13238,10
49714,10
15802,10
44907,9
32338,9
397849,9
12178,9
201768,9
35280,8
54994,8
8708,8
53824,8
139341,8
58061,8
62068,8
14853,8
64437,7
8560,7
43641,7
43037,7
6939,7
200019,7
42567,7
202425,7
137409,7
24482,7
328067,6
6698,6
20928,6
37069,6
45090,6
63240,6
52468,6
45352,6
136373,6
6327,6
52320,6
17984,6
8919,6
396390,6
61568,6
29169,6
52167,6
45517,6
20764,6
2027,6
13786,6
51530,6
196753,6
64475,6
207841,6
270014,6
136620,6
5381,6
23520,6
48641,6
35360,6
7589,6
15958,6
2614,6
14016,6
35600,6
38726,6
1031,6
29049,6
36678,6
35598,6
264409,6
52025,6
50628,6
14537,6
205920,6
33837,6
199729,6
328654,6
58294,5
200651,5
3920,5
393299,5
32494,5
201106,5
14117,5
49665,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
262427,5
37251,5
327788,5
132602,5
9730,5
53667,5
25364,5
23470,5
207728,5
210275,5
400041,5
58521,5
13442,5
56898,5
36080,5
215300,5
48729,5
398256,5
60897,4
7203,4
6185,4
62243,4
52148,4
206264,4
22560,4
207970,4
24961,4
35425,4
31080,4
9009,4
34400,4
53850,3
204206,3
211922,3
395092,3
14576,3
48254,3
63993,3
24971,3
57775,3
49352,3
8960,3
28753,3
48040,3
12357,3
10480,3
59467,3
204601,3
35753,3
5761,3
7941,3
200449,3
14555,3
328430,3
50979,3
197540,3
199524,3
198032,2
20705,2
36352,2
150436,2
28885,2
57352,2
51433,2
401200,2
17216,2
29684,2
51605,2
23421,2
33664,2
400754,2
33873,2
34222,2
24878,2
33191,2
201744,2
202024,2
204039,2
21002,2
328062,2
23576,2
214124,2
36459,2
30109,2
134963,2
33157,2
6713,2
51304,2
213797,2
44803,2
205762,2
31586,2
51852,2
42848,2
215845,2
32097,2
216154,2
151373,2
7859,2
9121,2
397273,2
27223,2
63760,2
46475,2
55532,2
62563,2
21232,2
61102,2
50980,2
328405,2
30818,2
59524,2
198610,2
212792,2
328553,2
3387,2
201012,2
37279,2
37585,2
6879,2
63068,2
47195,2
20756,2
19969,2
213232,2
393689,1
49610,1
44696,1
208710,1
202115,1
398787,1
215740,1
200313,1
48763,1
44332,1
36850,1
8796,1
39686,1
49127,1
215206,1
30886,1
201378,1
51182,1
196724,1
9123,1
34309,1
14824,1
63648,1
48669,1
215322,1
38952,1
13886,1
11807,1
58487,1
50474,1
205373,1
198913,1
205435,1
12833,1
198993,1
31408,1
206980,1
202368,1
27267,1
33083,1
3208,1
786,1
212661,1
209349,1
135905,1
214618,1
35593,1
37664,1
35179,1
211942,1
205544,1
207569,1
202242,1
211381,1
8705,1
328011,1
216139,1
6738,1
64999,1
32632,1
213050,1
55235,1
14992,1
25234,1
65115,1
42656,1
42532,1
400513,1
37583,1
43009,1
203417,1
6656,1
33182,1
152644,1
210250,1
50517,1
15685,1
207304,1
22720,1
33387,1
328786,1
198983,1
42745,1
8535,1
203995,1
13601,1
139057,1
203444,1
46864,1
138341,1
150078,1
199968,1
22878,1
203147,1
32780,1
47522,1
15706,1
31043,1
214308,1
43766,1
213220,1
35258,1
8739,1
4258,1
12678,1
10912,1
399250,1
3311,1
10578,1
208740,1
30058,1
200000,1
15699,1
36066,1
201678,1
23011,1
56341,1
200928,1
51905,1
34119,1
34699,1
13041,1
12874,1
61098,1
24572,1
61976,1
47577,1
49240,1
56682,1
25516,1
37091,1
680,1
200487,1
196763,1
7684,1
11281,1
18229,1
3225,1
400797,1
203178,1
399358,1
202521,1
36666,1
8069,1
328645,1
30340,1
56872,1
27473,1
12229,1
212531,1
44386,1
134926,1
13830,1
39832,1
394432,1
36978,1
41690,1
18945,1
328052,1
16161,1
203378,1
22169,1
59451,1
44477,1
2665,1
19973,1
201936,1
15475,1
55286,1
38955,1
200195,1
213438,1
215402,1
55569,1
24611,1
202655,1
13627,1
205193,1
53628,1
208488,1
56038,1
214390,1
393874,1
140290,1
61144,1
63210,1
214640,1
63362,1
19225,1
49474,1
53332,1
50214,1
206192,1
198792,1
59711,1
207809,1
9752,1
58212,1
