asn,nb_hostnames
395747,1818
21664,308
213120,236
394507,187
394192,102
16276,79
39572,63
30983,63
204915,58
6713,56
62567,53
36420,48
36884,44
36925,37
8075,36
31936,35
215859,35
214455,27
7979,25
5545,20
63293,20
58521,11
14907,10
133795,9
62068,8
19551,8
139341,8
207208,8
199524,8
38369,7
328709,7
40824,7
14853,7
26496,7
141995,6
44907,6
202492,6
50474,5
328066,5
33837,5
14441,5
60781,5
53589,5
216014,5
211612,5
22612,5
58061,4
54994,4
57724,4
42848,4
30148,4
8839,4
9009,4
328541,4
12322,3
2635,3
15685,3
59692,3
50980,3
3457,3
6185,3
26666,3
28753,3
36891,3
3920,3
8560,3
13238,3
49714,3
200521,3
200019,3
328577,3
6496,3
36057,3
23352,3
24600,3
213232,3
36459,2
24482,2
48254,2
14537,2
7941,2
33157,2
42567,2
198610,2
62243,2
56898,2
4258,2
13442,2
36352,2
17561,2
200325,2
137409,2
29544,2
37963,2
29066,2
8069,2
210403,2
32338,2
36666,2
2665,2
64437,2
34993,2
395458,2
204450,2
54641,2
206264,1
25117,1
11807,1
196763,1
63362,1
48729,1
35179,1
19973,1
21002,1
209349,1
198792,1
60550,1
15699,1
27589,1
393874,1
216071,1
150078,1
399358,1
51888,1
50517,1
15479,1
44932,1
45090,1
44976,1
61976,1
20847,1
35280,1
10480,1
52012,1
57687,1
14824,1
60362,1
64999,1
32632,1
34655,1
205860,1
213340,1
17025,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
10753,1
62768,1
12956,1
17984,1
8919,1
49287,1
396390,1
328137,1
61568,1
29169,1
52167,1
45517,1
20764,1
2027,1
19653,1
13786,1
51530,1
196753,1
28320,1
64475,1
6762,1
207841,1
270014,1
136620,1
18881,1
5381,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
36678,1
35598,1
1916,1
264409,1
52025,1
50628,1
8195,1
205920,1
328832,1
6057,1
263945,1
15802,1
6939,1
214319,1
12178,1
202425,1
197712,1
53292,1
7203,1
24611,1
202368,1
216139,1
40021,1
328997,1
44477,1
57775,1
51269,1
49352,1
61098,1
18229,1
12678,1
27473,1
48669,1
41690,1
34222,1
33191,1
29302,1
30722,1
205461,1
29423,1
40699,1
24971,1
46475,1
216154,1
45666,1
51433,1
52148,1
214390,1
55293,1
53332,1
208561,1
6698,1
23576,1
133409,1
22720,1
197540,1
29222,1
39241,1
60144,1
24961,1
213212,1
42532,1
11281,1
201085,1
208488,1
211316,1
214197,1
399250,1
27647,1
20986,1
42745,1
208128,1
9752,1
5761,1
13193,1
10578,1
139057,1
8705,1
205544,1
400797,1
46844,1
39444,1
9760,1
398256,1
53667,1
36066,1
201768,1
135377,1
327989,1
53824,1
29097,1
207970,1
37738,1
