asn,nb_hostnames
395747,3285
21664,1190
213120,849
35540,488
394192,400
394507,362
8560,265
3352,224
215859,176
8075,174
42612,131
19551,130
60068,103
25354,80
16371,76
31577,74
200521,72
62567,72
39572,65
49635,49
203178,48
39020,41
198066,38
30961,35
200960,35
12357,35
12386,33
31936,29
56958,28
14907,27
204915,26
208769,23
12338,23
35280,22
12640,22
15317,22
141995,22
3262,21
34285,20
2635,19
197712,19
57542,18
64512,18
60781,18
214455,17
63293,17
6496,17
3457,16
12322,16
40824,16
29481,15
23352,15
200325,14
133795,14
207060,14
14853,14
59692,13
47195,13
6656,12
198968,12
200165,12
7979,12
210158,12
30148,12
202242,12
8195,12
49612,11
40973,11
49981,11
16153,11
33157,10
42220,10
39353,10
48348,10
208036,10
27589,9
15699,9
198096,9
202054,8
205796,8
57656,8
3273,8
64437,8
49851,8
200320,8
39069,8
12946,8
12178,8
45090,8
197829,7
36420,7
213232,7
57269,7
45037,7
6724,7
208058,7
35264,7
35589,7
39263,6
25479,6
202425,6
49493,6
26496,6
9094,6
197876,5
48846,5
10480,5
44998,5
43520,5
44907,5
31586,5
37963,5
15630,5
31428,5
207970,5
205193,5
8839,5
395458,5
24961,5
8708,4
36080,4
57910,4
206264,4
59432,4
15919,4
3844,4
30846,4
205697,4
42567,4
204556,4
52130,4
57929,4
44534,4
49714,4
12319,4
47447,4
211359,4
215300,4
34511,4
46606,4
34920,4
42211,4
58061,4
62068,4
24600,4
17668,4
47422,4
35425,4
7203,3
207697,3
25285,3
44585,3
216014,3
16168,3
16236,3
196713,3
28971,3
42532,3
6698,3
17025,3
50482,3
37662,3
41722,3
10753,3
62768,3
12956,3
328137,3
19653,3
24482,3
28320,3
6762,3
18881,3
56696,3
132337,3
15605,3
28398,3
19422,3
1916,3
328832,3
6057,3
263945,3
48894,3
212792,3
207728,3
6185,3
31627,3
20905,3
20546,3
30818,3
199581,3
42848,3
202053,3
26666,3
25117,3
31080,3
29097,3
43697,3
51718,3
13041,3
50989,3
51025,3
63410,3
197540,3
24971,3
53667,3
198355,3
40021,3
212087,3
35699,3
6427,3
34222,3
49287,3
29169,3
199218,3
62979,3
59939,2
1897,2
62243,2
8304,2
44696,2
56655,2
47217,2
60047,2
15548,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
19782,2
61568,2
200039,2
132045,2
20764,2
137409,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
23520,2
48641,2
35360,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
48221,2
208222,2
14340,2
204601,2
26347,2
198032,2
12678,2
24920,2
53824,2
34788,2
5377,2
15703,2
39392,2
208591,2
200386,2
5761,2
48314,2
3324,2
214855,2
31083,2
14441,2
21009,2
196745,2
7941,2
61181,2
23576,2
57117,2
59467,2
34309,2
32338,2
200019,2
199968,2
51468,2
35744,2
401200,2
3209,2
33191,2
45666,2
48729,2
34699,2
14824,2
61098,2
51678,2
2571,2
136264,2
25267,2
29222,2
44646,2
12696,2
44477,2
24611,2
211187,2
38369,2
201748,2
200651,2
59524,2
49600,2
35171,2
56682,2
12488,2
25487,2
41541,2
20784,2
43037,2
6306,2
48864,2
12353,2
48040,2
13348,2
771,2
214308,1
205585,1
57352,1
400655,1
3330,1
199524,1
207208,1
8657,1
6713,1
43578,1
39384,1
41233,1
39686,1
398743,1
200508,1
52030,1
14744,1
49941,1
43707,1
61210,1
214124,1
34081,1
31441,1
210976,1
48341,1
208128,1
208096,1
47777,1
200596,1
197816,1
268581,1
16085,1
8069,1
22612,1
212096,1
36818,1
15149,1
394432,1
23470,1
41705,1
205373,1
202521,1
27522,1
203280,1
58233,1
393689,1
213784,1
198432,1
30109,1
9159,1
53332,1
397849,1
10929,1
28604,1
8528,1
54641,1
34624,1
39241,1
198993,1
210728,1
44932,1
42165,1
39134,1
30722,1
24608,1
44780,1
48048,1
399358,1
205111,1
42730,1
207569,1
47577,1
49934,1
197069,1
209674,1
56837,1
42147,1
202492,1
29066,1
216154,1
21364,1
49352,1
207362,1
203161,1
48187,1
196724,1
52438,1
52489,1
263173,1
20847,1
50980,1
56864,1
58010,1
62904,1
215656,1
44066,1
28753,1
47302,1
15685,1
215402,1
209478,1
20693,1
60368,1
38952,1
51621,1
208488,1
201200,1
205179,1
203444,1
52011,1
198792,1
50979,1
201976,1
205762,1
65115,1
198934,1
213737,1
209214,1
44593,1
6752,1
8311,1
29389,1
63199,1
5577,1
41690,1
271803,1
8535,1
207809,1
15512,1
36850,1
201346,1
399566,1
213205,1
60144,1
49025,1
202675,1
202210,1
206216,1
400104,1
30058,1
50474,1
205086,1
22194,1
41994,1
36516,1
211694,1
49008,1
41072,1
24592,1
60550,1
199636,1
29117,1
43927,1
196645,1
201085,1
44233,1
269954,1
55293,1
57088,1
44644,1
202305,1
51013,1
49127,1
29661,1
271814,1
262253,1
43937,1
44386,1
14489,1
47836,1
210995,1
30892,1
39447,1
44152,1
54994,1
21409,1
400513,1
15450,1
39737,1
48254,1
36165,1
8048,1
196816,1
39292,1
213475,1
20748,1
56898,1
30933,1
15488,1
215424,1
214390,1
51605,1
42422,1
131106,1
138152,1
197240,1
200928,1
56341,1
55256,1
212833,1
398256,1
15937,1
55081,1
27862,1
202258,1
13186,1
139144,1
8987,1
62353,1
200195,1
213438,1
43919,1
35112,1
7489,1
140688,1
201744,1
34171,1
60314,1
48697,1
30880,1
2514,1
34119,1
44009,1
33932,1
24768,1
20522,1
210181,1
393874,1
36459,1
33083,1
45420,1
200356,1
42249,1
196752,1
206102,1
215467,1
62416,1
59787,1
35486,1
43885,1
10954,1
42656,1
23522,1
152880,1
26752,1
204884,1
147168,1
11281,1
3920,1
8262,1
199589,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
32097,1
29003,1
30937,1
397273,1
396356,1
207136,1
215845,1
209847,1
39691,1
43641,1
395162,1
60675,1
199496,1
204705,1
39787,1
209349,1
207640,1
205860,1
53589,1
43091,1
60350,1
38927,1
211922,1
20523,1
42371,1
394303,1
199236,1
200449,1
