asn,nb_hostnames
395747,4190
21664,1157
213120,618
24757,448
394507,397
394192,306
62567,198
204915,165
52148,159
35540,132
39572,129
215859,128
8075,124
47846,102
204800,64
33182,53
40824,47
214455,44
26496,44
31936,43
19551,39
2635,37
15317,37
22612,36
60781,33
37963,33
63293,30
200039,26
46606,26
7979,25
32338,25
14907,21
27589,20
30148,19
14853,18
3457,17
60068,16
133795,15
26666,15
8560,14
10753,14
139341,13
38369,13
44907,13
395458,13
59692,12
6496,12
55293,12
48254,12
55470,12
36420,11
58061,11
17668,11
200325,10
53824,10
56898,10
200019,10
24600,10
47422,10
10480,9
202492,9
17025,9
49287,9
328832,9
137,9
45090,9
49612,9
207208,9
12178,9
202425,8
50482,8
37662,8
41722,8
62768,8
12956,8
328137,8
19653,8
28320,8
6762,8
18881,8
56696,8
132337,8
15605,8
28398,8
19422,8
3844,8
1916,8
8195,8
6057,8
263945,8
54994,8
14441,8
12322,8
141995,8
6698,8
3920,7
215740,7
215300,7
62068,7
35425,7
199524,7
137409,6
24482,6
50989,6
28753,6
24961,6
786,6
397273,6
328988,6
37153,6
29169,6
15802,6
213232,6
63240,5
52468,5
45352,5
136373,5
6327,5
52320,5
17984,5
9015,5
19782,5
61568,5
132045,5
20764,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
44684,5
35589,5
23520,5
48641,5
35360,5
8708,5
7589,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
4134,5
35598,5
264409,5
52025,5
50628,5
14537,5
205920,5
150078,5
6185,5
13442,5
30083,5
60144,5
216014,5
151373,5
58521,5
398256,5
14466,5
44534,5
49714,5
54641,5
33157,4
49025,4
200449,4
42567,4
52130,4
26347,4
9009,4
48729,4
8960,4
49981,4
214124,4
51852,4
210275,4
64437,4
55532,4
5761,4
965,4
197540,4
1152,4
199218,4
207728,3
40021,3
46864,3
36914,3
137517,3
21840,3
23352,3
4258,3
207970,3
139144,3
42848,3
133210,3
135360,3
51468,3
3387,3
199729,3
36066,3
2611,3
215845,3
202053,3
401200,3
7941,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6427,3
262427,3
37251,3
329356,3
132602,3
9730,3
36352,3
63760,3
201936,3
397849,3
7203,3
329184,3
22720,3
34119,2
208488,2
31586,2
200000,2
7003,2
135575,2
57344,2
150436,2
32780,2
43962,2
201755,2
23576,2
205435,2
3311,2
210250,2
54290,2
51392,2
206264,2
47137,2
56341,2
36080,2
204601,2
33191,2
198610,2
59253,2
58294,2
42745,2
142592,2
205762,2
7859,2
38185,2
55960,2
14415,2
