asn,nb_hostnames
395747,3002
21664,1241
215859,671
213120,483
394507,470
202053,359
8075,352
394192,287
12929,265
58003,137
62567,130
1741,125
45010,123
202509,117
43948,107
16276,98
6793,94
201692,82
49282,75
15424,67
29243,47
39324,46
201057,45
39572,42
49604,39
19551,38
41369,37
14907,29
30798,28
49826,28
211612,27
42977,25
24714,25
31936,24
57724,24
205696,23
207003,23
204915,23
2635,20
39242,19
59692,19
141995,19
59467,19
24751,18
60781,17
42621,17
63293,15
202816,15
207970,15
40824,15
61976,15
39651,14
200325,14
50290,14
215776,13
133795,13
214455,13
216263,13
401200,13
24713,12
8523,12
198024,11
5545,11
64437,9
3457,9
33157,9
8473,9
49981,9
51468,9
207729,9
48618,9
13238,9
49714,9
41242,8
206364,8
13170,8
58061,8
1342,8
52130,8
3238,8
5381,8
12483,7
27589,7
44136,7
205585,7
41993,7
57664,7
6698,7
14853,7
29182,6
207728,6
205449,6
6496,6
202425,6
28883,6
29282,6
44696,6
133409,6
43958,6
33837,6
53667,6
34541,6
201166,6
26496,6
17668,6
49409,5
34702,5
2119,5
10753,5
51025,5
57732,5
40509,5
41216,5
15496,5
29132,5
30818,5
55293,4
211899,4
8560,4
49352,4
62243,4
42649,4
2026,4
212531,4
328832,4
41722,4
6939,4
50482,4
204601,4
43558,4
51433,4
210756,4
26666,4
30148,4
205425,4
1738,4
61189,4
204937,4
41701,4
32338,4
12525,4
207038,4
12322,4
61177,4
197540,4
24600,4
31080,4
199118,3
54528,3
211551,3
393299,3
32494,3
3844,3
201106,3
14117,3
49665,3
13030,3
28398,3
1273,3
61049,3
61573,3
18881,3
12956,3
8231,3
48571,3
263945,3
8529,3
64126,3
8195,3
6057,3
62768,3
17025,3
395458,3
132337,3
19653,3
1000,3
6762,3
131073,3
328137,3
28320,3
18377,3
37662,3
262427,3
37251,3
15605,3
19422,3
56696,3
327788,3
1916,3
132602,3
9730,3
35280,3
199218,3
207065,3
7979,3
200651,3
215300,3
199544,3
199524,3
204770,3
46606,3
12330,3
51852,3
206170,3
8829,3
5761,3
44386,3
44907,3
51728,3
205250,3
57692,3
60970,3
196724,3
59524,3
14441,3
48729,3
41878,3
197308,3
35175,3
44901,3
202368,3
35425,3
41528,3
44880,2
31586,2
63199,2
51311,2
196752,2
211187,2
34766,2
204544,2
34309,2
62068,2
44477,2
44310,2
14340,2
34222,2
201601,2
34369,2
209847,2
205865,2
23576,2
207006,2
8001,2
201512,2
399566,2
51008,2
215740,2
54994,2
201706,2
14824,2
206175,2
201012,2
49676,2
14466,2
44066,2
51013,2
34432,2
61340,2
12630,2
199480,2
9123,2
212574,2
36420,2
29024,2
63410,2
50603,2
200386,2
43298,2
7941,2
198993,2
59939,2
51164,2
200195,2
394230,2
215722,2
43635,2
24809,2
198936,2
198352,2
47577,2
8856,2
200449,2
60248,2
6185,2
42567,2
211922,2
61306,2
201744,2
200019,2
29686,2
206264,2
48040,2
12178,2
42400,2
210656,1
34655,1
41690,1
44932,1
198058,1
50313,1
199215,1
50420,1
1926,1
42307,1
51571,1
205644,1
34989,1
15703,1
13272,1
208161,1
212552,1
211316,1
56864,1
58010,1
214308,1
203609,1
400797,1
56898,1
38927,1
31590,1
21581,1
1897,1
200719,1
205976,1
30754,1
393689,1
210644,1
3221,1
29066,1
23421,1
36850,1
50980,1
34918,1
205193,1
45898,1
12678,1
25176,1
202448,1
10480,1
43211,1
13442,1
199636,1
39020,1
42656,1
43161,1
42848,1
7203,1
3920,1
43682,1
207707,1
200356,1
42540,1
48348,1
62353,1
59796,1
199087,1
30247,1
3352,1
211848,1
29093,1
44581,1
18310,1
6834,1
204800,1
46475,1
12824,1
20769,1
22612,1
202759,1
11281,1
397273,1
44225,1
52170,1
13830,1
215402,1
26347,1
6724,1
29141,1
199236,1
200320,1
60602,1
207640,1
50090,1
57352,1
206980,1
203444,1
27223,1
44112,1
20546,1
30083,1
8920,1
47195,1
59650,1
206775,1
205721,1
36459,1
43127,1
56803,1
33191,1
27264,1
4150,1
30600,1
14744,1
201936,1
47467,1
42121,1
60156,1
38369,1
39078,1
215846,1
20798,1
201078,1
48760,1
201201,1
213438,1
213784,1
51473,1
30961,1
45090,1
42849,1
19905,1
57088,1
207208,1
35634,1
399647,1
42657,1
7589,1
44009,1
47890,1
29222,1
201557,1
43955,1
24961,1
59441,1
214813,1
206547,1
205312,1
34147,1
12437,1
49127,1
3330,1
33083,1
209587,1
213737,1
35041,1
15512,1
24971,1
50214,1
31577,1
31727,1
43896,1
214390,1
12731,1
202242,1
20799,1
62160,1
207282,1
31736,1
53332,1
7859,1
14537,1
212792,1
205876,1
48579,1
202521,1
202635,1
12578,1
393874,1
214073,1
42252,1
3360,1
57030,1
131659,1
39134,1
62357,1
44521,1
13041,1
200087,1
205081,1
62022,1
44297,1
35744,1
49172,1
25234,1
46844,1
39392,1
61210,1
5577,1
29240,1
51664,1
28753,1
210180,1
53755,1
29389,1
213205,1
60922,1
53589,1
63362,1
136620,1
42745,1
30176,1
208058,1
131106,1
41174,1
47524,1
1234,1
201750,1
42532,1
24482,1
24611,1
60955,1
20523,1
42371,1
57580,1
60114,1
207362,1
3223,1
37963,1
51577,1
52148,1
44433,1
43037,1
36080,1
215393,1
9370,1
59397,1
12640,1
21121,1
36057,1
207202,1
208488,1
198745,1
29293,1
59601,1
34801,1
399358,1
47447,1
49079,1
57168,1
20904,1
51430,1
12306,1
204779,1
205373,1
38952,1
989,1
23522,1
45894,1
